Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
2.92389e-05,-2.92389e-05,8.22263e-08,1.41388e-22,1.99884e+00,-1.01342e+00,-1.01495e+00,1,0.00000e+00,3.00000e-01,0.00000e+00,2.00000e-03
9.06609e-05,-9.06609e-05,-6.77512e-09,4.07206e-22,1.99827e+00,-1.01066e+00,-1.01495e+00,1,4.00000e-04,3.00000e-01,4.00000e-04,2.00000e-03
1.58405e-04,-1.58405e-04,-3.00388e-07,6.95992e-22,1.99753e+00,-1.00759e+00,-1.01495e+00,1,8.00000e-04,3.00000e-01,8.00000e-04,2.00000e-03
2.38825e-04,-2.38825e-04,-1.00249e-06,1.01601e-21,1.99641e+00,-1.00391e+00,-1.01495e+00,1,1.20000e-03,3.00000e-01,1.20000e-03,2.00000e-03
3.07427e-04,-3.07427e-04,-2.29537e-06,1.14915e-21,1.99532e+00,-1.00023e+00,-1.01495e+00,1,1.60000e-03,3.00000e-01,1.60000e-03,2.00000e-03
3.69987e-04,-3.69987e-04,-3.89707e-06,1.15802e-21,1.99424e+00,-9.96548e-01,-1.01495e+00,1,2.00000e-03,3.00000e-01,2.00000e-03,2.00000e-03
4.12094e-04,-4.12094e-04,-6.30133e-06,6.92315e-22,1.99320e+00,-9.92867e-01,-1.01495e+00,1,2.40000e-03,3.00000e-01,2.40000e-03,2.00000e-03
4.48093e-04,-4.48093e-04,-8.92335e-06,1.49603e-22,1.99217e+00,-9.89186e-01,-1.01495e+00,1,2.80000e-03,3.00000e-01,2.80000e-03,2.00000e-03
4.72131e-04,-4.72131e-04,-1.19560e-05,-5.34327e-22,1.99115e+00,-9.85505e-01,-1.01496e+00,1,3.20000e-03,3.00000e-01,3.20000e-03,2.00000e-03
4.87213e-04,-4.87213e-04,-1.52513e-05,-1.12612e-21,1.99014e+00,-9.81823e-01,-1.01496e+00,1,3.60000e-03,3.00000e-01,3.60000e-03,2.00000e-03
4.97795e-04,-4.97795e-04,-1.86880e-05,-1.73120e-21,1.98913e+00,-9.78142e-01,-1.01496e+00,1,4.00000e-03,3.00000e-01,4.00000e-03,2.00000e-03
4.99637e-04,-4.99637e-04,-2.23252e-05,-2.42534e-21,1.98814e+00,-9.74460e-01,-1.01496e+00,1,4.40000e-03,3.00000e-01,4.40000e-03,2.00000e-03
4.99789e-04,-4.99789e-04,-2.59984e-05,-3.13839e-21,1.98714e+00,-9.70778e-01,-1.01496e+00,1,4.80000e-03,3.00000e-01,4.80000e-03,2.00000e-03
4.96625e-04,-4.96625e-04,-2.97227e-05,-3.80755e-21,1.98615e+00,-9.67096e-01,-1.01496e+00,1,5.20000e-03,3.00000e-01,5.20000e-03,2.00000e-03
4.91889e-04,-4.91889e-04,-3.34349e-05,-4.03669e-21,1.98515e+00,-9.63413e-01,-1.01497e+00,1,5.60000e-03,3.00000e-01,5.60000e-03,2.00000e-03
4.86383e-04,-4.86383e-04,-3.71498e-05,-4.01256e-21,1.98416e+00,-9.59731e-01,-1.01497e+00,1,6.00000e-03,3.00000e-01,6.00000e-03,2.00000e-03
