Result,U:0,U:1,U:2,SA,p,p_rgh,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
2.16372e-06,-2.16372e-06,1.33570e-06,-1.53289e-22,1.99681e+00,-3.08846e-03,-6.15499e-03,1,0.00000e+00,3.00000e-01,0.00000e+00,2.00000e-03
5.38238e-05,-5.38238e-05,3.67799e-06,-2.41839e-22,1.99624e+00,-3.28115e-04,-6.15531e-03,1,4.00000e-04,3.00000e-01,4.00000e-04,2.00000e-03
1.05756e-04,-1.05756e-04,5.99840e-06,-3.59419e-22,1.99567e+00,2.43223e-03,-6.15563e-03,1,8.00000e-04,3.00000e-01,8.00000e-04,2.00000e-03
1.57962e-04,-1.57962e-04,8.29691e-06,-5.06060e-22,1.99510e+00,5.19258e-03,-6.15595e-03,1,1.20000e-03,3.00000e-01,1.20000e-03,2.00000e-03
2.29234e-04,-2.29234e-04,1.14299e-05,-8.04467e-22,1.99418e+00,8.56676e-03,-6.15663e-03,1,1.60000e-03,3.00000e-01,1.60000e-03,2.00000e-03
3.09949e-04,-3.09949e-04,1.49470e-05,-1.16673e-21,1.99310e+00,1.22479e-02,-6.15749e-03,1,2.00000e-03,3.00000e-01,2.00000e-03,2.00000e-03
3.90664e-04,-3.90664e-04,1.84154e-05,-1.52620e-21,1.99201e+00,1.59290e-02,-6.15835e-03,1,2.40000e-03,3.00000e-01,2.40000e-03,2.00000e-03
4.57655e-04,-4.57655e-04,2.15736e-05,-1.87310e-21,1.99095e+00,1.96102e-02,-6.15937e-03,1,2.80000e-03,3.00000e-01,2.80000e-03,2.00000e-03
4.97113e-04,-4.97113e-04,2.41560e-05,-2.17611e-21,1.98995e+00,2.32919e-02,-6.16071e-03,1,3.20000e-03,3.00000e-01,3.20000e-03,2.00000e-03
5.36450e-04,-5.36450e-04,2.66839e-05,-2.44393e-21,1.98895e+00,2.69735e-02,-6.16205e-03,1,3.60000e-03,3.00000e-01,3.60000e-03,2.00000e-03
5.75664e-04,-5.75664e-04,2.91573e-05,-2.67652e-21,1.98795e+00,3.06552e-02,-6.16339e-03,1,4.00000e-03,3.00000e-01,4.00000e-03,2.00000e-03
5.85453e-04,-5.85453e-04,3.09204e-05,-2.62624e-21,1.98698e+00,3.43373e-02,-6.16522e-03,1,4.40000e-03,3.00000e-01,4.40000e-03,2.00000e-03
5.95163e-04,-5.95163e-04,3.26303e-05,-2.55626e-21,1.98601e+00,3.80195e-02,-6.16706e-03,1,4.80000e-03,3.00000e-01,4.80000e-03,2.00000e-03
6.04794e-04,-6.04794e-04,3.42868e-05,-2.46657e-21,1.98503e+00,4.17017e-02,-6.16890e-03,1,5.20000e-03,3.00000e-01,5.20000e-03,2.00000e-03
6.05624e-04,-6.05625e-04,3.57681e-05,-2.49421e-21,1.98406e+00,4.53842e-02,-6.17108e-03,1,5.60000e-03,3.00000e-01,5.60000e-03,2.00000e-03
6.02076e-04,-6.02076e-04,3.71378e-05,-2.58766e-21,1.98309e+00,4.90669e-02,-6.17343e-03,1,6.00000e-03,3.00000e-01,6.00000e-03,2.00000e-03
