x_velocity,y_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.00000e+00,0.00000e+00,1,0.00000e+00,3.00000e+01,0.00000e+00,5.00000e+00
-2.56744e-02,-1.70029e-04,1,4.00000e-02,3.00000e+01,4.00000e-02,5.00000e+00
-3.98099e-02,-6.10668e-04,1,8.00000e-02,3.00000e+01,8.00000e-02,5.00000e+00
-4.53536e-02,-1.27349e-03,1,1.20000e-01,3.00000e+01,1.20000e-01,5.00000e+00
-4.42055e-02,-2.14325e-03,1,1.60000e-01,3.00000e+01,1.60000e-01,5.00000e+00
-3.95428e-02,-3.08691e-03,1,2.00000e-01,3.00000e+01,2.00000e-01,5.00000e+00
-3.30865e-02,-4.15536e-03,1,2.40000e-01,3.00000e+01,2.40000e-01,5.00000e+00
-2.59267e-02,-5.27394e-03,1,2.80000e-01,3.00000e+01,2.80000e-01,5.00000e+00
-1.87521e-02,-6.38273e-03,1,3.20000e-01,3.00000e+01,3.20000e-01,5.00000e+00
-1.21748e-02,-7.55394e-03,1,3.60000e-01,3.00000e+01,3.60000e-01,5.00000e+00
-7.48134e-03,-8.68805e-03,1,4.00000e-01,3.00000e+01,4.00000e-01,5.00000e+00
-2.77093e-03,-9.83566e-03,1,4.40000e-01,3.00000e+01,4.40000e-01,5.00000e+00
6.11355e-04,-1.09702e-02,1,4.80000e-01,3.00000e+01,4.80000e-01,5.00000e+00
1.71691e-03,-1.20652e-02,1,5.20000e-01,3.00000e+01,5.20000e-01,5.00000e+00
2.82247e-03,-1.31603e-02,1,5.60000e-01,3.00000e+01,5.60000e-01,5.00000e+00
3.92803e-03,-1.42553e-02,1,6.00000e-01,3.00000e+01,6.00000e-01,5.00000e+00
5.03358e-03,-1.53503e-02,1,6.40000e-01,3.00000e+01,6.40000e-01,5.00000e+00
6.15131e-03,-1.64531e-02,1,6.80000e-01,3.00000e+01,6.80000e-01,5.00000e+00
6.18808e-03,-1.75264e-02,1,7.20000e-01,3.00000e+01,7.20000e-01,5.00000e+00
5.57810e-03,-1.85752e-02,1,7.60000e-01,3.00000e+01,7.60000e-01,5.00000e+00
4.94807e-03,-1.96104e-02,1,8.00000e-01,3.00000e+01,8.00000e-01,5.00000e+00
4.31540e-03,-2.06439e-02,1,8.40000e-01,3.00000e+01,8.40000e-01,5.00000e+00
3.68273e-03,-2.16774e-02,1,8.80000e-01,3.00000e+01,8.80000e-01,5.00000e+00
3.05005e-03,-2.27108e-02,1,9.20000e-01,3.00000e+01,9.20000e-01,5.00000e+00
2.41738e-03,-2.37443e-02,1,9.60000e-01,3.00000e+01,9.60000e-01,5.00000e+00
1.78471e-03,-2.47778e-02,1,1.00000e+00,3.00000e+01,1.00000e+00,5.00000e+00
1.51133e-03,-2.57474e-02,1,1.04000e+00,3.00000e+01,1.04000e+00,5.00000e+00
1.33830e-03,-2.67084e-02,1,1.08000e+00,3.00000e+01,1.08000e+00,5.00000e+00
1.18731e-03,-2.77045e-02,1,1.12000e+00,3.00000e+01,1.12000e+00,5.00000e+00
1.03633e-03,-2.87005e-02,1,1.16000e+00,3.00000e+01,1.16000e+00,5.00000e+00
8.85353e-04,-2.96966e-02,1,1.20000e+00,3.00000e+01,1.20000e+00,5.00000e+00
7.34372e-04,-3.06926e-02,1,1.24000e+00,3.00000e+01,1.24000e+00,5.00000e+00
5.83392e-04,-3.16887e-02,1,1.28000e+00,3.00000e+01,1.28000e+00,5.00000e+00
4.32411e-04,-3.26847e-02,1,1.32000e+00,3.00000e+01,1.32000e+00,5.00000e+00
2.94742e-04,-3.36658e-02,1,1.36000e+00,3.00000e+01,1.36000e+00,5.00000e+00
2.07343e-04,-3.45902e-02,1,1.40000e+00,3.00000e+01,1.40000e+00,5.00000e+00
1.19944e-04,-3.55146e-02,1,1.44000e+00,3.00000e+01,1.44000e+00,5.00000e+00
3.25455e-05,-3.64390e-02,1,1.48000e+00,3.00000e+01,1.48000e+00,5.00000e+00
-2.26426e-05,-3.73922e-02,1,1.52000e+00,3.00000e+01,1.52000e+00,5.00000e+00
-6.74845e-05,-3.83546e-02,1,1.56000e+00,3.00000e+01,1.56000e+00,5.00000e+00
-1.12327e-04,-3.93170e-02,1,1.60000e+00,3.00000e+01,1.60000e+00,5.00000e+00
-1.57169e-04,-4.02795e-02,1,1.64000e+00,3.00000e+01,1.64000e+00,5.00000e+00
-3.51053e-04,-4.12135e-02,1,1.68000e+00,3.00000e+01,1.68000e+00,5.00000e+00
-7.98556e-04,-4.20994e-02,1,1.72000e+00,3.00000e+01,1.72000e+00,5.00000e+00
-1.24606e-03,-4.29852e-02,1,1.76000e+00,3.00000e+01,1.76000e+00,5.00000e+00
-1.69356e-03,-4.38710e-02,1,1.80000e+00,3.00000e+01,1.80000e+00,5.00000e+00
-2.10147e-03,-4.47806e-02,1,1.84000e+00,3.00000e+01,1.84000e+00,5.00000e+00
-2.49343e-03,-4.56997e-02,1,1.88000e+00,3.00000e+01,1.88000e+00,5.00000e+00
-2.82601e-03,-4.65824e-02,1,1.92000e+00,3.00000e+01,1.92000e+00,5.00000e+00
-3.12363e-03,-4.74436e-02,1,1.96000e+00,3.00000e+01,1.96000e+00,5.00000e+00
-3.37433e-03,-4.83265e-02,1,2.00000e+00,3.00000e+01,2.00000e+00,5.00000e+00
-3.65412e-03,-4.91681e-02,1,2.04000e+00,3.00000e+01,2.04000e+00,5.00000e+00
-3.93392e-03,-5.00098e-02,1,2.08000e+00,3.00000e+01,2.08000e+00,5.00000e+00
-4.18726e-03,-5.08619e-02,1,2.12000e+00,3.00000e+01,2.12000e+00,5.00000e+00
-4.48724e-03,-5.16806e-02,1,2.16000e+00,3.00000e+01,2.16000e+00,5.00000e+00
-4.81061e-03,-5.24863e-02,1,2.20000e+00,3.00000e+01,2.20000e+00,5.00000e+00
-5.13399e-03,-5.32919e-02,1,2.24000e+00,3.00000e+01,2.24000e+00,5.00000e+00
-5.45736e-03,-5.40975e-02,1,2.28000e+00,3.00000e+01,2.28000e+00,5.00000e+00
-5.78073e-03,-5.49031e-02,1,2.32000e+00,3.00000e+01,2.32000e+00,5.00000e+00
-6.10411e-03,-5.57088e-02,1,2.36000e+00,3.00000e+01,2.36000e+00,5.00000e+00
-6.42748e-03,-5.65144e-02,1,2.40000e+00,3.00000e+01,2.40000e+00,5.00000e+00
-6.82342e-03,-5.72450e-02,1,2.44000e+00,3.00000e+01,2.44000e+00,5.00000e+00
-7.22755e-03,-5.79619e-02,1,2.48000e+00,3.00000e+01,2.48000e+00,5.00000e+00
-7.63168e-03,-5.86788e-02,1,2.52000e+00,3.00000e+01,2.52000e+00,5.00000e+00
-8.03581e-03,-5.93956e-02,1,2.56000e+00,3.00000e+01,2.56000e+00,5.00000e+00
-8.43994e-03,-6.01125e-02,1,2.60000e+00,3.00000e+01,2.60000e+00,5.00000e+00
-8.84408e-03,-6.08294e-02,1,2.64000e+00,3.00000e+01,2.64000e+00,5.00000e+00
-9.24821e-03,-6.15463e-02,1,2.68000e+00,3.00000e+01,2.68000e+00,5.00000e+00
-9.65234e-03,-6.22631e-02,1,2.72000e+00,3.00000e+01,2.72000e+00,5.00000e+00
-1.00565e-02,-6.29800e-02,1,2.76000e+00,3.00000e+01,2.76000e+00,5.00000e+00
-1.04918e-02,-6.36725e-02,1,2.80000e+00,3.00000e+01,2.80000e+00,5.00000e+00
-1.10300e-02,-6.42845e-02,1,2.84000e+00,3.00000e+01,2.84000e+00,5.00000e+00
-1.15683e-02,-6.48966e-02,1,2.88000e+00,3.00000e+01,2.88000e+00,5.00000e+00
-1.20074e-02,-6.55161e-02,1,2.92000e+00,3.00000e+01,2.92000e+00,5.00000e+00
-1.24388e-02,-6.61361e-02,1,2.96000e+00,3.00000e+01,2.96000e+00,5.00000e+00
-1.28701e-02,-6.67562e-02,1,3.00000e+00,3.00000e+01,3.00000e+00,5.00000e+00
-1.33014e-02,-6.73763e-02,1,3.04000e+00,3.00000e+01,3.04000e+00,5.00000e+00
-1.37328e-02,-6.79963e-02,1,3.08000e+00,3.00000e+01,3.08000e+00,5.00000e+00
-1.41641e-02,-6.86164e-02,1,3.12000e+00,3.00000e+01,3.12000e+00,5.00000e+00
-1.45955e-02,-6.92364e-02,1,3.16000e+00,3.00000e+01,3.16000e+00,5.00000e+00
-1.50268e-02,-6.98565e-02,1,3.20000e+00,3.00000e+01,3.20000e+00,5.00000e+00
-1.55517e-02,-7.03998e-02,1,3.24000e+00,3.00000e+01,3.24000e+00,5.00000e+00
-1.61049e-02,-7.09198e-02,1,3.28000e+00,3.00000e+01,3.28000e+00,5.00000e+00
-1.66582e-02,-7.14398e-02,1,3.32000e+00,3.00000e+01,3.32000e+00,5.00000e+00
