U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0,119,1,0,15,0,0
-0.070364,120,1,0.062502,15,0.0625,0.00046875
-0.14149,120,1,0.125,15,0.125,0.0009375
-0.21794,360,1,0.18751,15,0.1875,0.0014063
-0.29495,360,1,0.25001,15,0.25,0.001875
-0.34327,600,1,0.31251,15,0.3125,0.0023438
-0.39186,600,1,0.37501,15,0.375,0.0028125
-0.41152,840,1,0.43751,15,0.4375,0.0032813
-0.43125,841,1,0.50001,15,0.5,0.00375
-0.43595,1081,1,0.56252,15,0.5625,0.0042188
-0.44063,1081,1,0.62502,15,0.625,0.0046875
-0.44115,1321,1,0.68752,15,0.6875,0.0051563
-0.44166,1321,1,0.75002,15,0.75,0.005625
-0.44311,1561,1,0.81252,15,0.8125,0.0060938
-0.44455,1561,1,0.87502,15,0.875,0.0065625
-0.44808,1801,1,0.93753,15,0.9375,0.0070313
-0.45163,1802,1,1,15,1,0.0075
-0.45684,2042,1,1.0625,15,1.0625,0.0079687
-0.46207,2042,1,1.125,15,1.125,0.0084375
-0.46822,2282,1,1.1875,15,1.1875,0.0089063
-0.47438,2282,1,1.25,15,1.25,0.009375
-0.481,2522,1,1.3125,15,1.3125,0.0098437
-0.48763,2522,1,1.375,15,1.375,0.010313
-0.49446,2762,1,1.4375,15,1.4375,0.010781
-0.50131,2763,1,1.5,15,1.5,0.01125
-0.50825,3003,1,1.5625,15,1.5625,0.011719
-0.51516,3003,1,1.625,15,1.625,0.012188
-0.5221,3243,1,1.6875,15,1.6875,0.012656
-0.52901,3243,1,1.75,15,1.75,0.013125
-0.53587,3483,1,1.8126,15,1.8125,0.013594
-0.54269,3483,1,1.8751,15,1.875,0.014063
-0.54937,3724,1,1.9376,15,1.9375,0.014531
-0.55596,3724,1,2.0001,15,2,0.015
-0.56228,3964,1,2.0626,15,2.0625,0.015469
-0.56853,3964,1,2.1251,15,2.125,0.015937
-0.57441,4204,1,2.1876,15,2.1875,0.016406
-0.5802,4204,1,2.2501,15,2.25,0.016875
-0.58552,4444,1,2.3126,15,2.3125,0.017344
-0.59074,4444,1,2.3751,15,2.375,0.017813
-0.59532,4685,1,2.4376,15,2.4375,0.018281
-0.59974,4685,1,2.5001,15,2.5,0.01875
-0.60348,4925,1,2.5626,15,2.5625,0.019219
-0.60708,4925,1,2.6251,15,2.625,0.019687
-0.6099,5165,1,2.6876,15,2.6875,0.020156
-0.61258,5165,1,2.7501,15,2.75,0.020625
-0.61441,5405,1,2.8126,15,2.8125,0.021094
-0.61603,5406,1,2.8751,15,2.875,0.021563
-0.61661,5646,1,2.9376,15,2.9375,0.022031
-0.61702,5646,1,3.0001,15,3,0.0225
-0.61644,5886,1,3.0626,15,3.0625,0.022969
-0.61567,5886,1,3.1251,15,3.125,0.023438
-0.61387,6126,1,3.1876,15,3.1875,0.023906
-0.61188,6126,1,3.2501,15,3.25,0.024375
-0.60882,6367,1,3.3126,15,3.3125,0.024844
-0.60539,6367,1,3.3751,15,3.375,0.025313
-0.60089,6607,1,3.4376,15,3.4375,0.025781
-0.59618,6607,1,3.5001,15,3.5,0.02625
-0.59041,6847,1,3.5626,15,3.5625,0.026719
-0.58443,6847,1,3.6251,15,3.625,0.027188
-0.57741,7087,1,3.6876,15,3.6875,0.027656
-0.57017,7087,1,3.7501,15,3.75,0.028125
-0.56177,7328,1,3.8126,15,3.8125,0.028594
-0.55316,7328,1,3.8751,15,3.875,0.029063
-0.54361,7568,1,3.9376,15,3.9375,0.029531
-0.53386,7568,1,4.0001,15,4,0.03
-0.52323,7808,1,4.0626,15,4.0625,0.030469
-0.51242,7808,1,4.1251,15,4.125,0.030938
-0.50079,8049,1,4.1876,15,4.1875,0.031406
-0.48889,8049,1,4.2501,15,4.25,0.031875
-0.47628,8289,1,4.3126,15,4.3125,0.032344
-0.46353,8289,1,4.3751,15,4.375,0.032813
-0.45018,8529,1,4.4376,15,4.4375,0.033281
-0.43671,8529,1,4.5001,15,4.5,0.03375
-0.42274,8769,1,4.5626,15,4.5625,0.034219
-0.40866,8770,1,4.6251,15,4.625,0.034688
-0.39417,9010,1,4.6876,15,4.6875,0.035156
-0.3796,9010,1,4.7501,15,4.75,0.035625
-0.3648,9250,1,4.8126,15,4.8125,0.036094
-0.34995,9250,1,4.8751,15,4.875,0.036563
-0.33498,9490,1,4.9376,15,4.9375,0.037031
-0.31998,9490,1,5.0001,15,5,0.0375
-0.30501,9731,1,5.0626,15,5.0625,0.037969
-0.29003,9731,1,5.1251,15,5.125,0.038438
-0.27521,9971,1,5.1876,15,5.1875,0.038906
-0.2604,9971,1,5.2501,15,5.25,0.039375
-0.24586,10211,1,5.3126,15,5.3125,0.039844
-0.23136,10211,1,5.3752,15,5.375,0.040313
-0.21724,10451,1,5.4377,15,5.4375,0.040781
-0.20322,10452,1,5.5002,15,5.5,0.04125
-0.18971,10692,1,5.5627,15,5.5625,0.041719
-0.17628,10692,1,5.6252,15,5.625,0.042188
-0.16342,10932,1,5.6877,15,5.6875,0.042656
-0.15066,10932,1,5.7502,15,5.75,0.043125
