p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-2.22105e-05,3.19811e-05,3.12453e-05,0.00000e+00,1,0.00000e+00,4.33013e-01,2.50000e-01,5.00000e-03
-2.23780e-05,3.12834e-05,3.02247e-05,0.00000e+00,1,9.99987e-04,4.34013e-01,2.50000e-01,5.00000e-03
-2.25455e-05,3.05857e-05,2.92040e-05,0.00000e+00,1,2.00000e-03,4.35013e-01,2.50000e-01,5.00000e-03
-2.27130e-05,2.98880e-05,2.81833e-05,0.00000e+00,1,2.99999e-03,4.36013e-01,2.50000e-01,5.00000e-03
-2.28805e-05,2.91902e-05,2.71626e-05,0.00000e+00,1,4.00001e-03,4.37013e-01,2.50000e-01,5.00000e-03
-2.30479e-05,2.84925e-05,2.61420e-05,0.00000e+00,1,5.00000e-03,4.38013e-01,2.50000e-01,5.00000e-03
-2.32154e-05,2.77948e-05,2.51213e-05,0.00000e+00,1,6.00001e-03,4.39013e-01,2.50000e-01,5.00000e-03
-2.33829e-05,2.70971e-05,2.41006e-05,0.00000e+00,1,7.00000e-03,4.40013e-01,2.50000e-01,5.00000e-03
-2.35504e-05,2.63994e-05,2.30799e-05,0.00000e+00,1,7.99999e-03,4.41013e-01,2.50000e-01,5.00000e-03
-2.37179e-05,2.57016e-05,2.20593e-05,0.00000e+00,1,9.00000e-03,4.42013e-01,2.50000e-01,5.00000e-03
-2.38854e-05,2.50039e-05,2.10386e-05,0.00000e+00,1,9.99999e-03,4.43013e-01,2.50000e-01,5.00000e-03
-2.40529e-05,2.43062e-05,2.00179e-05,0.00000e+00,1,1.10000e-02,4.44013e-01,2.50000e-01,5.00000e-03
-2.42204e-05,2.36085e-05,1.89972e-05,0.00000e+00,1,1.20000e-02,4.45013e-01,2.50000e-01,5.00000e-03
-2.43879e-05,2.29108e-05,1.79766e-05,0.00000e+00,1,1.30000e-02,4.46013e-01,2.50000e-01,5.00000e-03
-2.45554e-05,2.22131e-05,1.69559e-05,0.00000e+00,1,1.40000e-02,4.47013e-01,2.50000e-01,5.00000e-03
-2.47229e-05,2.15153e-05,1.59352e-05,0.00000e+00,1,1.50000e-02,4.48013e-01,2.50000e-01,5.00000e-03
-2.48904e-05,2.08176e-05,1.49145e-05,0.00000e+00,1,1.60000e-02,4.49013e-01,2.50000e-01,5.00000e-03
-2.50579e-05,2.01199e-05,1.38939e-05,0.00000e+00,1,1.70000e-02,4.50013e-01,2.50000e-01,5.00000e-03
-2.52254e-05,1.94222e-05,1.28732e-05,0.00000e+00,1,1.80000e-02,4.51013e-01,2.50000e-01,5.00000e-03
-2.53929e-05,1.87245e-05,1.18525e-05,0.00000e+00,1,1.90000e-02,4.52013e-01,2.50000e-01,5.00000e-03
-2.55604e-05,1.80267e-05,1.08318e-05,0.00000e+00,1,2.00000e-02,4.53013e-01,2.50000e-01,5.00000e-03
-2.57279e-05,1.73290e-05,9.81117e-06,0.00000e+00,1,2.10000e-02,4.54013e-01,2.50000e-01,5.00000e-03
-2.58954e-05,1.66313e-05,8.79048e-06,0.00000e+00,1,2.20000e-02,4.55013e-01,2.50000e-01,5.00000e-03
-2.60628e-05,1.59336e-05,7.76982e-06,0.00000e+00,1,2.30000e-02,4.56013e-01,2.50000e-01,5.00000e-03
-2.62303e-05,1.52359e-05,6.74916e-06,0.00000e+00,1,2.40000e-02,4.57013e-01,2.50000e-01,5.00000e-03
-2.63978e-05,1.45380e-05,5.72833e-06,4.78420e-29,1,2.50000e-02,4.58013e-01,2.50000e-01,5.00000e-03
-2.66344e-05,9.94710e-06,4.14614e-08,1.60534e-24,1,2.60000e-02,4.59013e-01,2.50000e-01,5.00000e-03
-2.68709e-05,5.35604e-06,-5.64557e-06,3.21067e-24,1,2.70000e-02,4.60013e-01,2.50000e-01,5.00000e-03
-2.71074e-05,7.65117e-07,-1.13324e-05,4.81596e-24,1,2.80000e-02,4.61013e-01,2.50000e-01,5.00000e-03
-2.73439e-05,-3.82594e-06,-1.70195e-05,6.42130e-24,1,2.90000e-02,4.62013e-01,2.50000e-01,5.00000e-03
-2.75804e-05,-8.41687e-06,-2.27063e-05,8.02659e-24,1,3.00000e-02,4.63013e-01,2.50000e-01,5.00000e-03
-2.78170e-05,-1.30078e-05,-2.83932e-05,9.63188e-24,1,3.10000e-02,4.64013e-01,2.50000e-01,5.00000e-03
-2.80535e-05,-1.75989e-05,-3.40802e-05,1.12372e-23,1,3.20000e-02,4.65013e-01,2.50000e-01,5.00000e-03
-2.82900e-05,-2.21898e-05,-3.97671e-05,1.28425e-23,1,3.30000e-02,4.66013e-01,2.50000e-01,5.00000e-03
-2.85265e-05,-2.67808e-05,-4.54541e-05,1.44478e-23,1,3.40000e-02,4.67013e-01,2.50000e-01,5.00000e-03
-2.87630e-05,-3.13718e-05,-5.11410e-05,1.60531e-23,1,3.50000e-02,4.68013e-01,2.50000e-01,5.00000e-03
-2.89996e-05,-3.59628e-05,-5.68281e-05,1.76585e-23,1,3.60000e-02,4.69013e-01,2.50000e-01,5.00000e-03
-2.92361e-05,-4.05537e-05,-6.25149e-05,1.92638e-23,1,3.70000e-02,4.70013e-01,2.50000e-01,5.00000e-03
-2.94726e-05,-4.51447e-05,-6.82018e-05,2.08690e-23,1,3.80000e-02,4.71013e-01,2.50000e-01,5.00000e-03
-2.97091e-05,-4.97357e-05,-7.38888e-05,2.24744e-23,1,3.90000e-02,4.72013e-01,2.50000e-01,5.00000e-03
-2.99456e-05,-5.43267e-05,-7.95757e-05,2.40797e-23,1,4.00000e-02,4.73013e-01,2.50000e-01,5.00000e-03
-3.01822e-05,-5.89177e-05,-8.52627e-05,2.56850e-23,1,4.10000e-02,4.74013e-01,2.50000e-01,5.00000e-03
-3.04187e-05,-6.35086e-05,-9.09496e-05,2.72903e-23,1,4.20000e-02,4.75013e-01,2.50000e-01,5.00000e-03
-3.06552e-05,-6.80997e-05,-9.66366e-05,2.88956e-23,1,4.30000e-02,4.76013e-01,2.50000e-01,5.00000e-03
-3.08917e-05,-7.26906e-05,-1.02323e-04,3.05009e-23,1,4.40000e-02,4.77013e-01,2.50000e-01,5.00000e-03
-3.11282e-05,-7.72815e-05,-1.08010e-04,3.21062e-23,1,4.50000e-02,4.78013e-01,2.50000e-01,5.00000e-03
-3.13648e-05,-8.18726e-05,-1.13697e-04,3.37115e-23,1,4.60000e-02,4.79013e-01,2.50000e-01,5.00000e-03
-3.16013e-05,-8.64635e-05,-1.19384e-04,3.53168e-23,1,4.70000e-02,4.80013e-01,2.50000e-01,5.00000e-03
-3.18378e-05,-9.10546e-05,-1.25071e-04,3.69222e-23,1,4.80000e-02,4.81013e-01,2.50000e-01,5.00000e-03
-3.20743e-05,-9.56455e-05,-1.30758e-04,3.85275e-23,1,4.90000e-02,4.82013e-01,2.50000e-01,5.00000e-03
-3.23109e-05,-1.00237e-04,-1.36445e-04,4.01328e-23,1,5.00000e-02,4.83013e-01,2.50000e-01,5.00000e-03
-3.23947e-05,-1.11701e-04,-1.51953e-04,4.13468e-23,1,5.10000e-02,4.84013e-01,2.50000e-01,5.00000e-03
-3.24785e-05,-1.23166e-04,-1.67460e-04,4.25608e-23,1,5.20000e-02,4.85013e-01,2.50000e-01,5.00000e-03
-3.25623e-05,-1.34631e-04,-1.82967e-04,4.37748e-23,1,5.30000e-02,4.86013e-01,2.50000e-01,5.00000e-03
-3.26462e-05,-1.46095e-04,-1.98474e-04,4.49888e-23,1,5.40000e-02,4.87013e-01,2.50000e-01,5.00000e-03
-3.27300e-05,-1.57560e-04,-2.13982e-04,4.62028e-23,1,5.50000e-02,4.88013e-01,2.50000e-01,5.00000e-03
-3.28138e-05,-1.69024e-04,-2.29489e-04,4.74168e-23,1,5.60000e-02,4.89013e-01,2.50000e-01,5.00000e-03
-3.28977e-05,-1.80489e-04,-2.44996e-04,4.86308e-23,1,5.70000e-02,4.90013e-01,2.50000e-01,5.00000e-03
-3.29815e-05,-1.91954e-04,-2.60503e-04,4.98448e-23,1,5.80000e-02,4.91013e-01,2.50000e-01,5.00000e-03
