x,y,z,U_0,U_1,U_2
0.5,0,0.005,-1.05919955e-05,2.20014092e-06,6.80585335e-23
0.510825375,0.00625,0.005,2.14415131e-05,-6.98404486e-06,-1.09241635e-22
0.52165075,0.0125,0.005,9.6069155e-05,-3.00922447e-05,0
0.532476125,0.01875,0.005,0.00022645005,-7.7682735e-05,1.03628724e-22
0.5433015,0.025,0.005,0.00022645005,-7.7682735e-05,1.03628724e-22
0.554126875,0.03125,0.005,0.000419425901,-0.000157765369,7.12324749e-24
0.56495225,0.0375,0.005,0.000680261095,-0.000278531992,3.58572301e-24
0.575777625,0.04375,0.005,0.00141782897,-0.000672623548,-8.1714636e-23
0.586603,0.05,0.005,0.00141782897,-0.000672623548,-8.1714636e-23
0.597428375,0.05625,0.005,0.00189624384,-0.000958697534,-1.03562909e-23
0.60825375,0.0625,0.005,0.00244602231,-0.00131022055,-1.61031668e-23
0.619079125,0.06875,0.005,0.00306396767,-0.00172950468,-2.35643697e-23
0.6299045,0.075,0.005,0.00374560766,-0.00221676135,-3.4247817e-23
0.640729875,0.08125,0.005,0.00448541936,-0.00276992437,3.82787189e-23
0.65155525,0.0875,0.005,0.00611343716,-0.00405362847,0
0.662380625,0.09375,0.005,0.00698702601,-0.00476778626,-6.53519014e-23
0.673206,0.1,0.005,0.00788970833,-0.00551507323,-7.68140966e-23
0.684031375,0.10625,0.005,0.00881283922,-0.006281143,-3.93223363e-22
0.69485675,0.1125,0.005,0.00974711629,-0.00704935205,-1.03148174e-22
0.705682125,0.11875,0.005,0.0106824035,-0.00780095222,4.74954677e-22
0.7165075,0.125,0.005,0.0116075068,-0.00851537148,0
0.727332875,0.13125,0.005,0.0125099241,-0.00917060293,0
0.73815825,0.1375,0.005,0.0133755999,-0.00974372275,0
0.748983625,0.14375,0.005,0.0141887166,-0.0102115538,0
0.759809,0.15,0.005,0.0149315613,-0.0105514839,0
0.770634375,0.15625,0.005,0.0155845118,-0.01074243,0
0.78145975,0.1625,0.005,0.0161261808,-0.0107659097,0
0.792285125,0.16875,0.005,0.0165337387,-0.0106071369,0
0.8031105,0.175,0.005,0.0167833825,-0.0102560081,0
0.813935875,0.18125,0.005,0.016850829,-0.00970785453,0
0.82476125,0.1875,0.005,0.0167116656,-0.00896395786,0
0.835586625,0.19375,0.005,0.0163415656,-0.00803198119,0
