x,y,z,U_0,U_1,U_2
0.4455,0.25,0.005,8.16754055e-06,7.38908546e-06,0
0.458,0.25,0.005,3.07778517e-06,-3.82137209e-06,1.07550146e-22
0.4705,0.25,0.005,-3.2643019e-05,-4.3997528e-05,7.53691977e-24
0.483,0.25,0.005,-0.000102216928,-0.000127066413,5.46598752e-24
0.4955,0.25,0.005,-0.000209896506,-0.000264976912,2.95489252e-24
0.508,0.25,0.005,-0.000358867652,-0.000470901336,-1.23508021e-22
0.5205,0.25,0.005,-0.000551070015,-0.000758827548,0
0.533,0.25,0.005,-0.000786895537,-0.00114314921,0
0.5455,0.25,0.005,-0.00106480905,-0.00163817546,0
0.558,0.25,0.005,-0.00138093527,-0.00225746582,0
0.5705,0.25,0.005,-0.00172864996,-0.00301293731,0
0.583,0.25,0.005,-0.00209821949,-0.00391372414,0
0.5955,0.25,0.005,-0.0024765534,-0.00496479356,0
0.608,0.25,0.005,-0.00284715357,-0.00616536035,0
0.6205,0.25,0.005,-0.00319036065,-0.00750719575,0
0.633,0.25,0.005,-0.00348400114,-0.00897299957,0
0.6455,0.25,0.005,-0.00370450522,-0.0105350836,0
0.658,0.25,0.005,-0.00382849919,-0.01215466,0
0.6705,0.25,0.005,-0.00383481905,-0.0137820202,0
0.683,0.25,0.005,-0.003706875,-0.0153578228,0
0.6955,0.25,0.005,-0.0034351386,-0.0168157762,0
0.708,0.25,0.005,-0.00301915777,-0.0180868182,0
0.7205,0.25,0.005,-0.00246850222,-0.0191041284,0
0.733,0.25,0.005,-0.0018027679,-0.0198078437,0
0.7455,0.25,0.005,-0.00105103999,-0.0201496105,0
0.758,0.25,0.005,-0.000250546046,-0.0200970236,0
0.7705,0.25,0.005,0.00055586767,-0.0196370912,0
0.783,0.25,0.005,0.00132319582,-0.0187777823,0
0.7955,0.25,0.005,0.00200806073,-0.0175472962,0
0.808,0.25,0.005,0.00257228789,-0.0159913269,0
0.8205,0.25,0.005,0.00298587194,-0.0141690096,0
0.833,0.25,0.005,0.00322894517,-0.0121483087,0
0.8455,0.25,0.005,0.00329249244,-0.0100012755,0
0.858,0.25,0.005,0.00317798905,-0.00779929799,0
0.8705,0.25,0.005,0.00289636253,-0.00560884942,0
0.883,0.25,0.005,0.00246647596,-0.00348829191,0
0.8955,0.25,0.005,0.0019132258,-0.00148580133,0
0.908,0.25,0.005,0.00126546555,0.000361689221,0
0.9205,0.25,0.005,0.000553997994,0.00202864589,0
0.933,0.25,0.005,-0.000190202542,0.00350036308,0
0.9455,0.25,0.005,-0.000937462236,0.00477185974,0
0.958,0.25,0.005,-0.00166055373,0.00584645086,0
0.9705,0.25,0.005,-0.0023355318,0.0067341767,0
0.983,0.25,0.005,-0.00294229898,0.00745023074,0
0.9955,0.25,0.005,-0.00346495523,0.00801348444,0
1.008,0.25,0.005,-0.00389198734,0.00844516808,0
1.0205,0.25,0.005,-0.00421635703,0.00876774287,0
1.033,0.25,0.005,-0.00443557389,0.00900402695,0
1.0455,0.25,0.005,-0.00455145937,0.00917623125,0
1.058,0.25,0.005,-0.00457038938,0.00930546466,-5.66290775e-12
1.0705,0.25,0.005,-0.00450301144,0.00941136213,5.66290777e-12
1.083,0.25,0.005,-0.00436407003,0.00951147342,0
1.0955,0.25,0.005,-0.00417227604,0.00962092469,0
1.108,0.25,0.005,-0.00395006363,0.00975212639,0
1.1205,0.25,0.005,-0.00372325157,0.00991449778,0
1.133,0.25,0.005,-0.00352063366,0.0101142347,0
1.1455,0.25,0.005,-0.00337347803,0.010354115,0
1.158,0.25,0.005,-0.00331491235,0.0106333413,-7.64987573e-12
1.1705,0.25,0.005,-0.00337916964,0.0109474161,7.64987571e-12
1.183,0.25,0.005,-0.003600654,0.0112880404,8.38099703e-12
1.1955,0.25,0.005,-0.00401276583,0.0116430091,-1.71726394e-11
1.208,0.25,0.005,-0.00464640247,0.011996063,8.79164273e-12
1.2205,0.25,0.005,-0.00552802532,0.0123266365,-9.73163092e-12
1.233,0.25,0.005,-0.00667716995,0.0126094773,9.73163089e-12
1.2455,0.25,0.005,-0.00810326949,0.0128142147,0
1.258,0.25,0.005,-0.00980166333,0.0129051222,0
1.2705,0.25,0.005,-0.0117488219,0.0128413816,0
1.283,0.25,0.005,-0.0138970927,0.0125781515,0
1.2955,0.25,0.005,-0.0161692866,0.0120689438,0
1.308,0.25,0.005,-0.0184536536,0.011269914,0
1.3205,0.25,0.005,-0.0206008855,0.0101472309,0
1.333,0.25,0.005,-0.0224251342,0.00868672326,-1.973723e-11
1.3455,0.25,0.005,-0.0237093337,0.0069042572,4.1974058e-11
1.358,0.25,0.005,-0.0242158901,0.0048582067,-2.22368279e-11
1.3705,0.25,0.005,-0.0237084287,0.00266466339,0
1.383,0.25,0.005,-0.0219927034,0.000516167126,-3.33465167e-11
1.3955,0.25,0.005,-0.0189636776,-0.00131969429,-5.19647271e-12
1.408,0.25,0.005,-0.0145958237,-0.00259596824,8.29815976e-11
1.4205,0.25,0.005,-0.00404432062,-0.00116088159,-7.8115636e-21
1.433,0.25,0.005,-0.0016612308,0.000216112538,-4.94201181e-21
