p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.37655e-03,-1.33589e-04,-1.69870e-04,0.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,5.00000e-03
-1.37625e-03,-1.65120e-04,-1.57364e-04,-1.56872e-23,1,9.99988e-04,5.00707e-01,7.07107e-04,5.00000e-03
-1.37596e-03,-1.96652e-04,-1.44859e-04,-3.13744e-23,1,2.00002e-03,5.01414e-01,1.41421e-03,5.00000e-03
-1.37566e-03,-2.28183e-04,-1.32353e-04,-4.70615e-23,1,3.00001e-03,5.02121e-01,2.12132e-03,5.00000e-03
-1.37537e-03,-2.59715e-04,-1.19847e-04,-6.27487e-23,1,3.99999e-03,5.02828e-01,2.82843e-03,5.00000e-03
-1.37508e-03,-2.91246e-04,-1.07342e-04,-7.84358e-23,1,4.99998e-03,5.03536e-01,3.53553e-03,5.00000e-03
-1.37478e-03,-3.22778e-04,-9.48358e-05,-9.41231e-23,1,6.00001e-03,5.04243e-01,4.24264e-03,5.00000e-03
-1.37449e-03,-3.54310e-04,-8.23301e-05,-1.09810e-22,1,7.00000e-03,5.04950e-01,4.94975e-03,5.00000e-03
-1.37420e-03,-3.85841e-04,-6.98244e-05,-1.25497e-22,1,7.99999e-03,5.05657e-01,5.65685e-03,5.00000e-03
-1.37390e-03,-4.17373e-04,-5.73186e-05,-1.41185e-22,1,9.00002e-03,5.06364e-01,6.36396e-03,5.00000e-03
-1.37361e-03,-4.48905e-04,-4.48129e-05,-1.56872e-22,1,1.00000e-02,5.07071e-01,7.07107e-03,5.00000e-03
-1.37331e-03,-4.80436e-04,-3.23072e-05,-1.72559e-22,1,1.10000e-02,5.07778e-01,7.77817e-03,5.00000e-03
-1.37302e-03,-5.11967e-04,-1.98016e-05,-1.88246e-22,1,1.20000e-02,5.08485e-01,8.48528e-03,5.00000e-03
