U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0,89,1,0,15,0,0
-0.21903,90,1,0.16667,15,0.16667,0.00125
-0.37756,270,1,0.33334,15,0.33333,0.0025
-0.43094,450,1,0.50001,15,0.5,0.00375
-0.44036,631,1,0.66669,15,0.66667,0.005
-0.44405,811,1,0.83336,15,0.83333,0.00625
-0.45225,991,1,1,15,1,0.0075
-0.46446,1171,1,1.1667,15,1.1667,0.00875
-0.47868,1352,1,1.3334,15,1.3333,0.01
-0.49368,1532,1,1.5,15,1.5,0.01125
-0.50868,1712,1,1.6667,15,1.6667,0.0125
-0.52333,1892,1,1.8334,15,1.8333,0.01375
-0.53706,2073,1,2.0001,15,2,0.015
-0.5494,2253,1,2.1667,15,2.1667,0.01625
-0.55989,2433,1,2.3334,15,2.3333,0.0175
-0.56819,2613,1,2.5001,15,2.5,0.01875
-0.57355,2794,1,2.6667,15,2.6667,0.02
-0.5758,2974,1,2.8334,15,2.8333,0.02125
-0.57471,3154,1,3.0001,15,3,0.0225
-0.57014,3335,1,3.1668,15,3.1667,0.02375
-0.56144,3515,1,3.3334,15,3.3333,0.025
-0.54912,3695,1,3.5001,15,3.5,0.02625
-0.53317,3875,1,3.6668,15,3.6667,0.0275
-0.51358,4056,1,3.8334,15,3.8333,0.02875
-0.49056,4236,1,4.0001,15,4,0.03
-0.4647,4416,1,4.1668,15,4.1667,0.03125
-0.43632,4597,1,4.3335,15,4.3333,0.0325
-0.40568,4777,1,4.5001,15,4.5,0.03375
-0.37353,4957,1,4.6668,15,4.6667,0.035
-0.34038,5137,1,4.8335,15,4.8333,0.03625
-0.30673,5318,1,5.0001,15,5,0.0375
-0.27317,5498,1,5.1668,15,5.1667,0.03875
-0.24018,5678,1,5.3335,15,5.3333,0.04
-0.20828,5859,1,5.5002,15,5.5,0.04125
-0.17799,6039,1,5.6668,15,5.6667,0.0425
-0.14953,6219,1,5.8335,15,5.8333,0.04375
-0.12317,6399,1,6.0002,15,6,0.045
-0.099451,6580,1,6.1668,15,6.1667,0.04625
-0.078194,6760,1,6.3335,15,6.3333,0.0475
-0.059458,6940,1,6.5002,15,6.5,0.04875
-0.043499,7121,1,6.6669,15,6.6667,0.05
-0.03004,7301,1,6.8335,15,6.8333,0.05125
-0.018891,7481,1,7.0002,15,7,0.0525
-0.010067,7662,1,7.1669,15,7.1667,0.05375
-0.0032636,7842,1,7.3335,15,7.3333,0.055
0.0018206,8022,1,7.5002,15,7.5,0.05625
0.0053001,8203,1,7.6669,15,7.6667,0.0575
0.0074371,8383,1,7.8336,15,7.8333,0.05875
0.0085028,8563,1,8.0002,15,8,0.06
0.0086111,8744,1,8.1669,15,8.1667,0.06125
0.0079282,8924,1,8.3336,15,8.3333,0.0625
0.0066066,9104,1,8.5002,15,8.5,0.06375
0.0046761,9285,1,8.6669,15,8.6667,0.065
0.0021836,9465,1,8.8336,15,8.8333,0.06625
-0.00084213,9645,1,9.0003,15,9,0.0675
-0.0044746,9826,1,9.1669,15,9.1667,0.06875
-0.0087426,10006,1,9.3336,15,9.3333,0.07
-0.013675,10186,1,9.5003,15,9.5,0.07125
-0.019396,10367,1,9.6669,15,9.6667,0.0725
-0.025884,10547,1,9.8336,15,9.8333,0.07375
-0.033115,10727,1,10,15,10,0.075
-0.041112,10908,1,10.167,15,10.167,0.07625
-0.049648,11088,1,10.334,15,10.333,0.0775
-0.058512,11269,1,10.5,15,10.5,0.07875
-0.067357,11449,1,10.667,15,10.667,0.08
-0.075723,11629,1,10.834,15,10.833,0.08125
-0.082981,11810,1,11,15,11,0.0825
-0.088407,11990,1,11.167,15,11.167,0.08375
-0.091334,12170,1,11.334,15,11.333,0.085
-0.090525,12351,1,11.5,15,11.5,0.08625
-0.085401,12531,1,11.667,15,11.667,0.0875
-0.075004,12712,1,11.834,15,11.833,0.08875
-0.058205,12892,1,12,15,12,0.09
-0.034925,13072,1,12.167,15,12.167,0.09125
-0.0041074,13253,1,12.334,15,12.333,0.0925
0.033957,13433,1,12.5,15,12.5,0.09375
0.078993,13614,1,12.667,15,12.667,0.095
0.1309,13794,1,12.834,15,12.833,0.09625
0.18805,13974,1,13,15,13,0.0975
0.24955,14155,1,13.167,15,13.167,0.09875
0.31344,14335,1,13.334,15,13.333,0.1
0.37783,14516,1,13.5,15,13.5,0.10125
0.44058,14696,1,13.667,15,13.667,0.1025
0.49978,14876,1,13.834,15,13.833,0.10375
0.55286,15057,1,14,15,14,0.105
0.59864,15237,1,14.167,15,14.167,0.10625
0.63517,15418,1,14.334,15,14.333,0.1075
0.66159,15598,1,14.5,15,14.5,0.10875
0.67754,15779,1,14.667,15,14.667,0.11
0.68233,15959,1,14.834,15,14.833,0.11125
0.67741,16139,1,15,15,15,0.1125
0.66238,16320,1,15.167,15,15.167,0.11375
0.63974,16500,1,15.334,15,15.333,0.115
0.61025,16681,1,15.5,15,15.5,0.11625
0.57609,16861,1,15.667,15,15.667,0.1175
0.53882,17042,1,15.834,15,15.833,0.11875
0.50021,17222,1,16,15,16,0.12
0.46184,17403,1,16.167,15,16.167,0.12125
0.42506,17583,1,16.334,15,16.333,0.1225
0.39088,17764,1,16.5,15,16.5,0.12375
0.36023,17944,1,16.667,15,16.667,0.125
0.33335,18125,1,16.834,15,16.833,0.12625
0.31077,18305,1,17,15,17,0.1275
0.29207,18486,1,17.167,15,17.167,0.12875
0.27743,18666,1,17.334,15,17.333,0.13
0.26607,18847,1,17.5,15,17.5,0.13125
0.25791,19027,1,17.667,15,17.667,0.1325
0.25215,19208,1,17.834,15,17.833,0.13375
0.24857,19388,1,18.001,15,18,0.135
0.24652,19569,1,18.167,15,18.167,0.13625
0.24577,19749,1,18.334,15,18.333,0.1375
0.24584,19930,1,18.501,15,18.5,0.13875
0.24657,20110,1,18.667,15,18.667,0.14
0.24776,20291,1,18.834,15,18.833,0.14125
0.24986,20471,1,19.001,15,19,0.1425
0.25368,20652,1,19.167,15,19.167,0.14375
0.25908,20832,1,19.334,15,19.333,0.145
0.25854,21013,1,19.501,15,19.5,0.14625
0.22746,21193,1,19.667,15,19.667,0.1475
0.12888,21374,1,19.834,15,19.833,0.14875
0,21554,1,20.001,15,20,0.15
