U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0,119,1,0,15,0,0
-0.16493,120,1,0.125,15,0.125,0.0009375
-0.32439,360,1,0.25001,15,0.25,0.001875
-0.41126,600,1,0.37501,15,0.375,0.0028125
-0.44277,841,1,0.50001,15,0.5,0.00375
-0.44906,1081,1,0.62502,15,0.625,0.0046875
-0.44942,1321,1,0.75002,15,0.75,0.005625
-0.45175,1561,1,0.87502,15,0.875,0.0065625
-0.45748,1802,1,1,15,1,0.0075
-0.46575,2042,1,1.125,15,1.125,0.0084375
-0.47535,2282,1,1.25,15,1.25,0.009375
-0.48554,2522,1,1.375,15,1.375,0.010313
-0.49593,2763,1,1.5,15,1.5,0.01125
-0.5063,3003,1,1.625,15,1.625,0.012188
-0.51647,3243,1,1.75,15,1.75,0.013125
-0.52631,3483,1,1.8751,15,1.875,0.014063
-0.53558,3724,1,2.0001,15,2,0.015
-0.54408,3964,1,2.1251,15,2.125,0.015937
-0.55167,4204,1,2.2501,15,2.25,0.016875
-0.55817,4444,1,2.3751,15,2.375,0.017813
-0.56326,4685,1,2.5001,15,2.5,0.01875
-0.56688,4925,1,2.6251,15,2.625,0.019687
-0.56891,5165,1,2.7501,15,2.75,0.020625
-0.56922,5406,1,2.8751,15,2.875,0.021563
-0.5675,5646,1,3.0001,15,3,0.0225
-0.56389,5886,1,3.1251,15,3.125,0.023438
-0.55834,6126,1,3.2501,15,3.25,0.024375
-0.55068,6367,1,3.3751,15,3.375,0.025313
-0.54092,6607,1,3.5001,15,3.5,0.02625
-0.52923,6847,1,3.6251,15,3.625,0.027188
-0.51566,7087,1,3.7501,15,3.75,0.028125
-0.50004,7328,1,3.8751,15,3.875,0.029063
-0.48275,7568,1,4.0001,15,4,0.03
-0.4639,7808,1,4.1251,15,4.125,0.030938
-0.44357,8049,1,4.2501,15,4.25,0.031875
-0.42194,8289,1,4.3751,15,4.375,0.032813
-0.39928,8529,1,4.5001,15,4.5,0.03375
-0.37578,8770,1,4.6251,15,4.625,0.034688
-0.35161,9010,1,4.7501,15,4.75,0.035625
-0.32705,9250,1,4.8751,15,4.875,0.036563
-0.30231,9490,1,5.0001,15,5,0.0375
-0.27761,9731,1,5.1251,15,5.125,0.038438
-0.25319,9971,1,5.2501,15,5.25,0.039375
-0.22921,10211,1,5.3752,15,5.375,0.040313
-0.2059,10452,1,5.5002,15,5.5,0.04125
-0.18346,10692,1,5.6252,15,5.625,0.042188
-0.16199,10932,1,5.7502,15,5.75,0.043125
-0.14161,11173,1,5.8752,15,5.875,0.044063
-0.12258,11413,1,6.0002,15,6,0.045
-0.10483,11653,1,6.1252,15,6.125,0.045938
-0.08842,11893,1,6.2502,15,6.25,0.046875
-0.073548,12134,1,6.3752,15,6.375,0.047813
-0.060096,12374,1,6.5002,15,6.5,0.04875
-0.048031,12614,1,6.6252,15,6.625,0.049688
-0.037446,12855,1,6.7502,15,6.75,0.050625
-0.028232,13095,1,6.8752,15,6.875,0.051563
-0.020271,13335,1,7.0002,15,7,0.0525
-0.013574,13576,1,7.1252,15,7.125,0.053438
-0.0080397,13816,1,7.2502,15,7.25,0.054375
-0.0035114,14056,1,7.3752,15,7.375,0.055313
5.0996e-05,14297,1,7.5002,15,7.5,0.05625
0.0027374,14537,1,7.6252,15,7.625,0.057188
0.0047004,14777,1,7.7502,15,7.75,0.058125
0.0059941,15018,1,7.8752,15,7.875,0.059063
0.0066904,15258,1,8.0002,15,8,0.06
0.0069058,15498,1,8.1252,15,8.125,0.060938
0.0066798,15739,1,8.2502,15,8.25,0.061875
0.0060559,15979,1,8.3752,15,8.375,0.062812
0.0051014,16219,1,8.5002,15,8.5,0.06375
0.0038248,16460,1,8.6252,15,8.625,0.064688
0.0022352,16700,1,8.7502,15,8.75,0.065625
0.00035596,16940,1,8.8752,15,8.875,0.066563
-0.0018398,17181,1,9.0003,15,9,0.0675
-0.0043686,17421,1,9.1253,15,9.125,0.068438
-0.0072335,17661,1,9.2503,15,9.25,0.069375
-0.010488,17902,1,9.3753,15,9.375,0.070312
-0.014148,18142,1,9.5003,15,9.5,0.07125
-0.018218,18382,1,9.6253,15,9.625,0.072188
-0.022756,18623,1,9.7503,15,9.75,0.073125
-0.027734,18863,1,9.8753,15,9.875,0.074063
-0.033131,19103,1,10,15,10,0.075
-0.038966,19344,1,10.125,15,10.125,0.075938
-0.045132,19584,1,10.25,15,10.25,0.076875
