p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
2.41360e-05,-3.99520e-05,9.89886e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,5.00000e-03
2.42630e-05,-3.80585e-05,9.14368e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99974e-04,5.00866e-01,5.00000e-04,5.00000e-03
2.43901e-05,-3.61650e-05,8.38851e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-03,5.01732e-01,1.00000e-03,5.00000e-03
2.45172e-05,-3.42716e-05,7.63334e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.99997e-03,5.02598e-01,1.50000e-03,5.00000e-03
2.46442e-05,-3.23781e-05,6.87817e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00000e-03,5.03464e-01,2.00000e-03,5.00000e-03
2.47713e-05,-3.04847e-05,6.12300e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.99998e-03,5.04330e-01,2.50000e-03,5.00000e-03
2.48983e-05,-2.85912e-05,5.36782e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00000e-03,5.05196e-01,3.00000e-03,5.00000e-03
2.50254e-05,-2.66977e-05,4.61265e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.99998e-03,5.06062e-01,3.50000e-03,5.00000e-03
2.51524e-05,-2.48042e-05,3.85748e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,8.00000e-03,5.06928e-01,4.00000e-03,5.00000e-03
2.52795e-05,-2.29108e-05,3.10231e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,8.99998e-03,5.07794e-01,4.50000e-03,5.00000e-03
2.54065e-05,-2.10173e-05,2.34713e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.00000e-02,5.08660e-01,5.00000e-03,5.00000e-03
2.55336e-05,-1.91239e-05,1.59196e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10000e-02,5.09526e-01,5.50000e-03,5.00000e-03
2.56606e-05,-1.72303e-05,8.36785e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.20000e-02,5.10392e-01,6.00000e-03,5.00000e-03
2.57877e-05,-1.53369e-05,8.16173e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.30000e-02,5.11258e-01,6.50000e-03,5.00000e-03
2.59147e-05,-1.34434e-05,-6.73561e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.40000e-02,5.12124e-01,7.00000e-03,5.00000e-03
2.60418e-05,-1.15500e-05,-1.42873e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.50000e-02,5.12990e-01,7.50000e-03,5.00000e-03
2.61689e-05,-9.65646e-06,-2.18391e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.60000e-02,5.13856e-01,8.00000e-03,5.00000e-03
2.62959e-05,-7.76303e-06,-2.93907e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.70000e-02,5.14722e-01,8.50000e-03,5.00000e-03
2.64230e-05,-5.86951e-06,-3.69425e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.80000e-02,5.15588e-01,9.00000e-03,5.00000e-03
2.65500e-05,-3.97609e-06,-4.44942e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.90000e-02,5.16454e-01,9.50000e-03,5.00000e-03
2.66771e-05,-2.08257e-06,-5.20460e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-02,5.17321e-01,1.00000e-02,5.00000e-03
2.68041e-05,-1.89153e-07,-5.95976e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.10000e-02,5.18187e-01,1.05000e-02,5.00000e-03
2.69312e-05,1.70442e-06,-6.71495e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.20000e-02,5.19053e-01,1.10000e-02,5.00000e-03
2.70582e-05,3.59779e-06,-7.47011e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.30000e-02,5.19919e-01,1.15000e-02,5.00000e-03
2.71853e-05,5.49138e-06,-8.22530e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.40000e-02,5.20785e-01,1.20000e-02,5.00000e-03
2.73123e-05,7.38473e-06,-8.98045e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.50000e-02,5.21651e-01,1.25000e-02,5.00000e-03
2.74444e-05,1.59891e-05,-1.26047e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.60000e-02,5.22517e-01,1.30000e-02,5.00000e-03
2.75765e-05,2.45933e-05,-1.62288e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.70000e-02,5.23383e-01,1.35000e-02,5.00000e-03
2.77086e-05,3.31977e-05,-1.98530e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.80000e-02,5.24249e-01,1.40000e-02,5.00000e-03
2.78407e-05,4.18019e-05,-2.34772e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.90000e-02,5.25115e-01,1.45000e-02,5.00000e-03
2.79728e-05,5.04063e-05,-2.71014e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.00000e-02,5.25981e-01,1.50000e-02,5.00000e-03
