p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-2.13856e-05,3.91166e-05,3.23016e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,4.33013e-01,2.50000e-01,5.00000e-03
-2.15482e-05,3.88977e-05,3.17235e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99987e-04,4.34013e-01,2.50000e-01,5.00000e-03
-2.17108e-05,3.86788e-05,3.11455e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-03,4.35013e-01,2.50000e-01,5.00000e-03
-2.18734e-05,3.84598e-05,3.05675e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.99999e-03,4.36013e-01,2.50000e-01,5.00000e-03
-2.20360e-05,3.82409e-05,2.99894e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00001e-03,4.37013e-01,2.50000e-01,5.00000e-03
-2.21986e-05,3.80220e-05,2.94114e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.00000e-03,4.38013e-01,2.50000e-01,5.00000e-03
-2.23612e-05,3.78031e-05,2.88333e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00001e-03,4.39013e-01,2.50000e-01,5.00000e-03
-2.25238e-05,3.75842e-05,2.82553e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00000e-03,4.40013e-01,2.50000e-01,5.00000e-03
-2.26864e-05,3.73653e-05,2.76773e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.99999e-03,4.41013e-01,2.50000e-01,5.00000e-03
-2.28490e-05,3.71464e-05,2.70992e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.00000e-03,4.42013e-01,2.50000e-01,5.00000e-03
-2.30116e-05,3.69274e-05,2.65212e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99999e-03,4.43013e-01,2.50000e-01,5.00000e-03
-2.31742e-05,3.67085e-05,2.59431e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10000e-02,4.44013e-01,2.50000e-01,5.00000e-03
-2.33368e-05,3.64896e-05,2.53651e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.20000e-02,4.45013e-01,2.50000e-01,5.00000e-03
-2.34994e-05,3.62707e-05,2.47870e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.30000e-02,4.46013e-01,2.50000e-01,5.00000e-03
-2.36620e-05,3.60518e-05,2.42090e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.40000e-02,4.47013e-01,2.50000e-01,5.00000e-03
