U,cellID,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,,,,,
0,239,1,0,15,0,0,,,,,
-0.057164,240,1,0.062502,15,0.0625,0.00046875,,,,,
-0.14413,720,1,0.125,15,0.125,0.0009375,,,,,
-0.23212,1200,1,0.18751,15,0.1875,0.0014063,,,,,
-0.3065,1681,1,0.25001,15,0.25,0.001875,,,,,
-0.36223,2161,1,0.31251,15,0.3125,0.0023438,,,,,
-0.39982,2641,1,0.37501,15,0.375,0.0028125,,,,,
-0.42256,3121,1,0.43751,15,0.4375,0.0032813,,,,,
-0.43463,3602,1,0.50001,15,0.5,0.00375,,,,,
-0.43996,4082,1,0.56252,15,0.5625,0.0042188,,,,,
-0.44163,4562,1,0.62502,15,0.625,0.0046875,,,,,
-0.44188,5042,1,0.68752,15,0.6875,0.0051563,,,,,
-0.44212,5523,1,0.75002,15,0.75,0.005625,,,,,
-0.44313,6003,1,0.81252,15,0.8125,0.0060938,,,,,
-0.4452,6483,1,0.87502,15,0.875,0.0065625,,,,,
-0.44833,6963,1,0.93753,15,0.9375,0.0070313,,,,,
-0.45242,7444,1,1,15,1,0.0075,,,,,
-0.45729,7924,1,1.0625,15,1.0625,0.0079687,,,,,
-0.46274,8404,1,1.125,15,1.125,0.0084375,,,,,
-0.4686,8884,1,1.1875,15,1.1875,0.0089063,,,,,
-0.47475,9365,1,1.25,15,1.25,0.009375,,,,,
-0.48111,9845,1,1.3125,15,1.3125,0.0098437,,,,,
-0.4876,10325,1,1.375,15,1.375,0.010313,,,,,
-0.49417,10805,1,1.4375,15,1.4375,0.010781,,,,,
-0.5008,11286,1,1.5,15,1.5,0.01125,,,,,
-0.50747,11766,1,1.5625,15,1.5625,0.011719,,,,,
-0.51414,12246,1,1.625,15,1.625,0.012188,,,,,
-0.52079,12726,1,1.6875,15,1.6875,0.012656,,,,,
-0.52742,13207,1,1.75,15,1.75,0.013125,,,,,
-0.53397,13687,1,1.8126,15,1.8125,0.013594,,,,,
-0.54045,14167,1,1.8751,15,1.875,0.014063,,,,,
-0.54681,14648,1,1.9376,15,1.9375,0.014531,,,,,
-0.55301,15128,1,2.0001,15,2,0.015,,,,,
-0.55904,15608,1,2.0626,15,2.0625,0.015469,,,,,
-0.56487,16088,1,2.1251,15,2.125,0.015937,,,,,
-0.57047,16569,1,2.1876,15,2.1875,0.016406,,,,,
-0.57578,17049,1,2.2501,15,2.25,0.016875,,,,,
-0.5808,17529,1,2.3126,15,2.3125,0.017344,,,,,
-0.58551,18009,1,2.3751,15,2.375,0.017813,,,,,
-0.58985,18490,1,2.4376,15,2.4375,0.018281,,,,,
-0.5938,18970,1,2.5001,15,2.5,0.01875,,,,,
-0.59735,19450,1,2.5626,15,2.5625,0.019219,,,,,
-0.60048,19930,1,2.6251,15,2.625,0.019687,,,,,
-0.60312,20411,1,2.6876,15,2.6875,0.020156,,,,,
-0.60528,20891,1,2.7501,15,2.75,0.020625,,,,,
-0.60696,21371,1,2.8126,15,2.8125,0.021094,,,,,
-0.60812,21852,1,2.8751,15,2.875,0.021563,,,,,
-0.6087,22332,1,2.9376,15,2.9375,0.022031,,,,,
-0.60874,22812,1,3.0001,15,3,0.0225,,,,,
-0.60823,23292,1,3.0626,15,3.0625,0.022969,,,,,
-0.60711,23773,1,3.1251,15,3.125,0.023438,,,,,
-0.60539,24253,1,3.1876,15,3.1875,0.023906,,,,,
-0.60308,24733,1,3.2501,15,3.25,0.024375,,,,,
-0.60018,25214,1,3.3126,15,3.3125,0.024844,,,,,
-0.59661,25694,1,3.3751,15,3.375,0.025313,,,,,
-0.59245,26174,1,3.4376,15,3.4375,0.025781,,,,,
-0.58769,26654,1,3.5001,15,3.5,0.02625,,,,,
-0.58231,27135,1,3.5626,15,3.5625,0.026719,,,,,
-0.57629,27615,1,3.6251,15,3.625,0.027188,,,,,
-0.5697,28095,1,3.6876,15,3.6875,0.027656,,,,,
-0.56254,28575,1,3.7501,15,3.75,0.028125,,,,,
-0.55475,29056,1,3.8126,15,3.8125,0.028594,,,,,
-0.54641,29536,1,3.8751,15,3.875,0.029063,,,,,
-0.53753,30016,1,3.9376,15,3.9375,0.029531,,,,,
-0.52812,30497,1,4.0001,15,4,0.03,,,,,
-0.51817,30977,1,4.0626,15,4.0625,0.030469,,,,,
-0.50776,31457,1,4.1251,15,4.125,0.030938,,,,,
