p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.35740e-03,-6.63897e-05,-8.20894e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,5.00000e-03
-1.35703e-03,-9.57452e-05,-7.08362e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99988e-04,5.00707e-01,7.07107e-04,5.00000e-03
-1.35665e-03,-1.25101e-04,-5.95829e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00002e-03,5.01414e-01,1.41421e-03,5.00000e-03
-1.35628e-03,-1.54457e-04,-4.83296e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.00001e-03,5.02121e-01,2.12132e-03,5.00000e-03
-1.35590e-03,-1.83812e-04,-3.70764e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.99999e-03,5.02828e-01,2.82843e-03,5.00000e-03
-1.35553e-03,-2.13167e-04,-2.58231e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.99998e-03,5.03536e-01,3.53553e-03,5.00000e-03
-1.35516e-03,-2.42523e-04,-1.45698e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00001e-03,5.04243e-01,4.24264e-03,5.00000e-03
-1.35478e-03,-2.71879e-04,-3.31657e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00000e-03,5.04950e-01,4.94975e-03,5.00000e-03
-1.35441e-03,-3.01234e-04,7.93667e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.99999e-03,5.05657e-01,5.65685e-03,5.00000e-03
-1.35403e-03,-3.30590e-04,1.91900e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.00002e-03,5.06364e-01,6.36396e-03,5.00000e-03
-1.35366e-03,-3.59946e-04,3.04432e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.00000e-02,5.07071e-01,7.07107e-03,5.00000e-03
-1.35329e-03,-3.89301e-04,4.16965e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10000e-02,5.07778e-01,7.77817e-03,5.00000e-03
