p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.44137e-03,6.60111e-05,4.92575e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,3.53553e-01,3.53553e-01,5.00000e-03
1.44239e-03,7.67840e-05,6.96978e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99987e-04,3.54553e-01,3.53553e-01,5.00000e-03
1.44341e-03,8.75572e-05,9.01387e-05,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-03,3.55553e-01,3.53553e-01,5.00000e-03
1.44443e-03,9.83302e-05,1.10579e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.99999e-03,3.56553e-01,3.53553e-01,5.00000e-03
1.44545e-03,1.09103e-04,1.31020e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00001e-03,3.57553e-01,3.53553e-01,5.00000e-03
1.44647e-03,1.19876e-04,1.51460e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.00000e-03,3.58553e-01,3.53553e-01,5.00000e-03
1.44750e-03,1.30650e-04,1.71901e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00001e-03,3.59553e-01,3.53553e-01,5.00000e-03
1.44852e-03,1.41422e-04,1.92341e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00000e-03,3.60553e-01,3.53553e-01,5.00000e-03
1.44954e-03,1.52195e-04,2.12782e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.99999e-03,3.61553e-01,3.53553e-01,5.00000e-03
1.45056e-03,1.62969e-04,2.33223e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.00000e-03,3.62553e-01,3.53553e-01,5.00000e-03
1.45158e-03,1.73742e-04,2.53663e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99999e-03,3.63553e-01,3.53553e-01,5.00000e-03
1.45260e-03,1.84515e-04,2.74104e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10000e-02,3.64553e-01,3.53553e-01,5.00000e-03
1.45362e-03,1.95288e-04,2.94544e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.20000e-02,3.65553e-01,3.53553e-01,5.00000e-03
1.45464e-03,2.06061e-04,3.14985e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.30000e-02,3.66553e-01,3.53553e-01,5.00000e-03
1.45566e-03,2.16834e-04,3.35425e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.40000e-02,3.67553e-01,3.53553e-01,5.00000e-03
1.45668e-03,2.27607e-04,3.55866e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.50000e-02,3.68553e-01,3.53553e-01,5.00000e-03
1.45770e-03,2.38380e-04,3.76306e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.60000e-02,3.69553e-01,3.53553e-01,5.00000e-03
1.45872e-03,2.49153e-04,3.96747e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.70000e-02,3.70553e-01,3.53553e-01,5.00000e-03
1.45974e-03,2.59926e-04,4.17188e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.80000e-02,3.71553e-01,3.53553e-01,5.00000e-03
1.46076e-03,2.70699e-04,4.37628e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.90000e-02,3.72553e-01,3.53553e-01,5.00000e-03
1.46178e-03,2.81472e-04,4.58069e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-02,3.73553e-01,3.53553e-01,5.00000e-03
1.46280e-03,2.92245e-04,4.78509e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.10000e-02,3.74553e-01,3.53553e-01,5.00000e-03
1.46382e-03,3.03019e-04,4.98950e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.20000e-02,3.75553e-01,3.53553e-01,5.00000e-03
1.46485e-03,3.13792e-04,5.19390e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.30000e-02,3.76553e-01,3.53553e-01,5.00000e-03
1.46587e-03,3.24564e-04,5.39831e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.40000e-02,3.77553e-01,3.53553e-01,5.00000e-03
1.46689e-03,3.35338e-04,5.60271e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.50000e-02,3.78553e-01,3.53553e-01,5.00000e-03
1.46631e-03,3.62921e-04,6.23566e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.60000e-02,3.79553e-01,3.53553e-01,5.00000e-03
