x,y,z,U_0,U_1,U_2,U_0m
0.3,0,0.002,3.53486142E-05,1.16399552E-06,0,-3.53486142E-05
0.3,0.00133779264,0.002,-6.23039906E-05,1.3053354E-05,-2.95056984E-21,6.23039906E-05
0.3,0.00267558528,0.002,-0.000281080183,3.3043023E-05,-1.70896648E-21,0.000281080183
0.3,0.00401337793,0.002,-0.000421715636,5.20437492E-05,-7.38820881E-22,0.000421715636
0.3,0.00535117057,0.002,-0.000468805369,6.906329E-05,-4.17679214E-22,0.000468805369
0.3,0.00668896321,0.002,-0.000466270752,8.42805927E-05,-1.32942575E-21,0.000466270752
0.3,0.00802675585,0.002,-0.000446570779,9.88837479E-05,-5.0465998E-22,0.000446570779
0.3,0.00936454849,0.002,-0.000424667075,0.000112945589,2.62545517E-22,0.000424667075
0.3,0.0107023411,0.002,-0.000403993347,0.000126824956,2.88522195E-21,0.000403993347
0.3,0.0120401338,0.002,-0.000384433843,0.000140333706,4.74700242E-21,0.000384433843
0.3,0.0133779264,0.002,-0.000364952863,0.000153630437,7.24842629E-21,0.000364952863
0.3,0.0147157191,0.002,-0.000345177514,0.000166606024,2.33906693E-20,0.000345177514
0.3,0.0160535117,0.002,-0.00032479576,0.000179315458,7.28230137E-21,0.00032479576
0.3,0.0173913043,0.002,-0.000303725304,0.000191745153,1.75589386E-20,0.000303725304
0.3,0.018729097,0.002,-0.000282161762,0.000203966993,1.50744245E-20,0.000282161762
0.3,0.0200668896,0.002,-0.000260145625,0.000215932378,1.09632593E-20,0.000260145625
0.3,0.0214046823,0.002,-0.000237622412,0.000227648381,7.64550767E-21,0.000237622412
0.3,0.0227424749,0.002,-0.00021459081,0.000239091034,4.30832255E-21,0.00021459081
0.3,0.0240802676,0.002,-0.000191034562,0.00025024724,1.34232801E-20,0.000191034562
0.3,0.0254180602,0.002,-0.00016698391,0.000261102413,-2.1801502E-20,0.00016698391
0.3,0.0267558528,0.002,-0.000142350751,0.000271551814,-3.63716536E-21,0.000142350751
