x,y,z,U_0,U_1,U_2
0.3,0,0.002,0.00015570322,2.20534231e-06,0
0.3,0.000890868597,0.002,0.000308226267,3.48622725e-06,2.16601257e-21
0.3,0.00178173719,0.002,0.000381193771,1.05381113e-05,5.42206554e-21
0.3,0.00267260579,0.002,0.000345771036,2.13901992e-05,7.10278817e-21
0.3,0.00356347439,0.002,0.00028055554,3.25638424e-05,1.1684915e-20
0.3,0.00445434298,0.002,0.000223132907,4.46264181e-05,8.24314578e-21
0.3,0.00534521158,0.002,0.000185377373,5.60935919e-05,7.34392148e-22
0.3,0.00623608018,0.002,0.00016604133,6.75872538e-05,-1.20778709e-20
0.3,0.00712694878,0.002,0.000159349016,7.85884102e-05,-1.34628034e-20
0.3,0.00801781737,0.002,0.000159569276,8.9548308e-05,-1.58788117e-20
0.3,0.00890868597,0.002,0.000162567728,0.000100226756,-4.88838862e-20
0.3,0.00979955457,0.002,0.000166048617,0.000110880857,-5.02685759e-20
0.3,0.0106904232,0.002,0.000168966914,0.000121388026,-3.9573638e-20
0.3,0.0115812918,0.002,0.000171074928,0.000131848939,-4.3367284e-20
0.3,0.0124721604,0.002,0.000172474662,0.000142188226,-3.49110839e-20
0.3,0.013363029,0.002,0.00017338799,0.000152448043,-1.07300798e-20
0.3,0.0142538976,0.002,0.000174016185,0.000162584516,5.37057586e-21
0.3,0.0151447661,0.002,0.000174516299,0.000172616652,1.22855237e-20
0.3,0.0160356347,0.002,0.000175005253,0.000182505526,-5.84037779e-21
0.3,0.0169265033,0.002,0.0001755414,0.000192248679,1.6387961e-21
0.3,0.0178173719,0.002,0.000176158484,0.000201853779,8.39882516e-21
0.3,0.0187082405,0.002,0.000176887512,0.000211325374,7.25711869e-21
0.3,0.0195991091,0.002,0.000177750073,0.000220656048,-1.11995465e-20
0.3,0.0204899777,0.002,0.000178763084,0.000229845097,-3.90687066e-20
0.3,0.0213808463,0.002,0.000179937811,0.000238886899,-1.60162693e-20
0.3,0.0222717149,0.002,0.000181281133,0.00024777884,1.35713197e-20
0.3,0.0231625835,0.002,0.000182797928,0.000256512543,1.15972941e-21
0.3,0.0240534521,0.002,0.000184507298,0.000265059377,3.53573394e-20
0.3,0.0249443207,0.002,0.000186367235,0.000273413986,5.09576377e-20
0.3,0.0258351893,0.002,0.000188376036,0.000281597774,8.88016513e-20
0.3,0.0267260579,0.002,0.000190520642,0.00028960638,1.01843609e-19
0.3,0.0276169265,0.002,0.000192785729,0.000297435731,8.05048331e-20
0.3,0.0285077951,0.002,0.000195154249,0.00030508157,7.20085333e-20
0.3,0.0293986637,0.002,0.000197607922,0.000312540003,7.76580317e-20
0.3,0.0302895323,0.002,0.000200127687,0.000319807033,3.14921857e-20
0.3,0.0311804009,0.002,0.000202713538,0.000326848241,4.82931984e-22
0.3,0.0320712695,0.002,0.000205333679,0.000333681692,3.10293167e-20
0.3,0.0329621381,0.002,0.000207945269,0.000340279213,-1.73040804e-20
0.3,0.0338530067,0.002,0.000210544056,0.000346669136,-5.47937287e-20
0.3,0.0347438753,0.002,0.00021311233,0.000352848569,-7.52295288e-20
0.3,0.0356347439,0.002,0.000215633422,0.000358814956,-8.54807075e-20
0.3,0.0365256125,0.002,0.000218091887,0.000364565891,-1.01464875e-19
0.3,0.0374164811,0.002,0.000220473691,0.000370099093,-5.08038352e-20
0.3,0.0383073497,0.002,0.000222773784,0.000375395079,-4.6305506e-20
0.3,0.0391982183,0.002,0.000224998673,0.000380451224,-1.36820935e-20
0.3,0.0400890869,0.002,0.000227095842,0.000385255917,-7.43366744e-20
0.3,0.0409799555,0.002,0.000229063346,0.000389818784,-6.08521553e-20
0.3,0.0418708241,0.002,0.000230906162,0.000394154388,-6.30301174e-20
0.3,0.0427616927,0.002,0.000232620354,0.000398261676,-8.44639954e-20
0.3,0.0436525612,0.002,0.000234203709,0.000402139923,-4.25904727e-20
0.3,0.0445434298,0.002,0.000235655718,0.000405788458,-1.06461744e-19
0.3,0.0454342984,0.002,0.000236979853,0.000409199953,-1.045559e-19
0.3,0.046325167,0.002,0.000238196256,0.000412342278,-3.64153664e-20
0.3,0.0472160356,0.002,0.000239297449,0.000415264651,-1.79380044e-19
0.3,0.0481069042,0.002,0.000240243357,0.000417908976,-2.49985586e-19
0.3,0.0489977728,0.002,0.000241075436,0.000420322507,-1.94242726e-19
0.3,0.0498886414,0.002,0.000241801272,0.000422505658,-8.09659031e-20
0.3,0.05077951,0.002,0.000242429319,0.000424459157,-9.74442824e-20
0.3,0.0516703786,0.002,0.000242968756,0.000426183619,-6.25858811e-20
0.3,0.0525612472,0.002,0.000243429693,0.000427679126,-1.45855673e-19
0.3,0.0534521158,0.002,0.000243839765,0.000428899898,-9.37066646e-21
0.3,0.0543429844,0.002,0.000244205535,0.000429923393,-7.31579235e-20
0.3,0.055233853,0.002,0.000244485818,0.000430674163,2.39900331e-20
0.3,0.0561247216,0.002,0.000244719867,0.000431192329,4.8636441e-20
0.3,0.0570155902,0.002,0.000244925724,0.000431490174,5.19620349e-20
0.3,0.0579064588,0.002,0.000245113801,0.000431569667,5.97927337e-20
0.3,0.0587973274,0.002,0.000245293941,0.000431432455,-3.04428004e-20
0.3,0.059688196,0.002,0.000245474439,0.000431081462,-3.43714396e-21
0.3,0.0605790646,0.002,0.000245681708,0.000430475293,3.64469116e-21
0.3,0.0614699332,0.002,0.000245909967,0.00042968342,-1.73195708e-21
0.3,0.0623608018,0.002,0.000246138681,0.000428659476,-7.35304292e-20
0.3,0.0632516704,0.002,0.000246377464,0.000427406839,-6.88205778e-20
0.3,0.064142539,0.002,0.000246650555,0.000425955148,-8.14128474e-20
