x,y,z,U_0,U_1,U_2
0.3,0,0.002,-2.95379453e-05,2.16160761e-07,0
0.3,0.000890868597,0.002,-0.000158168864,5.65587164e-06,3.20672375e-21
0.3,0.00178173719,0.002,-0.000378951894,1.51930705e-05,7.82035825e-21
0.3,0.00267260579,0.002,-0.000556563251,2.42508849e-05,7.3486902e-21
0.3,0.00356347439,0.002,-0.000663333718,3.19816843e-05,1.40845567e-20
0.3,0.00445434298,0.002,-0.000710046427,3.78642422e-05,7.46105554e-21
0.3,0.00534521158,0.002,-0.000717911844,4.27094608e-05,-3.86118506e-21
0.3,0.00623608018,0.002,-0.00070599125,4.67428811e-05,-2.32502139e-20
0.3,0.00712694878,0.002,-0.000686590973,5.05358271e-05,-1.66608593e-20
0.3,0.00801781737,0.002,-0.000666118249,5.41380503e-05,-1.64547117e-20
0.3,0.00890868597,0.002,-0.00064671959,5.78170477e-05,-5.8370662e-20
0.3,0.00979955457,0.002,-0.000628964586,6.15084318e-05,-5.69823389e-20
0.3,0.0106904232,0.002,-0.000612340292,6.52730976e-05,-3.59123485e-20
0.3,0.0115812918,0.002,-0.000596229833,6.90734098e-05,-5.13877579e-20
0.3,0.0124721604,0.002,-0.000580174237,7.2944897e-05,-4.48780771e-20
0.3,0.013363029,0.002,-0.000563908178,7.68782066e-05,-7.93470694e-21
0.3,0.0142538976,0.002,-0.00054730861,8.09001657e-05,7.17593319e-21
0.3,0.0151447661,0.002,-0.000530325517,8.50147004e-05,8.64482804e-21
0.3,0.0160356347,0.002,-0.000512879831,8.92189892e-05,-2.6617489e-20
0.3,0.0169265033,0.002,-0.000494863781,9.3603088e-05,-1.01055614e-20
0.3,0.0178173719,0.002,-0.000476422443,9.81217857e-05,3.11061467e-21
0.3,0.0187082405,0.002,-0.00045755225,0.000102769677,4.2163142e-21
0.3,0.0195991091,0.002,-0.000438241359,0.000107551014,-2.08006728e-20
0.3,0.0204899777,0.002,-0.000418485511,0.000112466516,-6.62070124e-20
0.3,0.0213808463,0.002,-0.000398291156,0.000117517787,-1.99915679e-20
0.3,0.0222717149,0.002,-0.000377675196,0.000122704808,2.74288456e-20
0.3,0.0231625835,0.002,-0.000356658946,0.000128028428,-3.0410945e-21
0.3,0.0240534521,0.002,-0.000335248135,0.000133485659,5.38776219e-20
0.3,0.0249443207,0.002,-0.000313460026,0.000139138673,5.45237055e-20
0.3,0.0258351893,0.002,-0.000291428101,0.0001449206,9.52281206e-20
0.3,0.0267260579,0.002,-0.000269200256,0.00015082926,1.01027915e-19
0.3,0.0276169265,0.002,-0.00024682466,0.000156861889,6.75890613e-20
0.3,0.0285077951,0.002,-0.000224348521,0.000163015273,6.52794953e-20
0.3,0.0293986637,0.002,-0.000201817233,0.000169285781,8.77102371e-20
0.3,0.0302895323,0.002,-0.000179273736,0.000175669073,3.11212596e-20
0.3,0.0311804009,0.002,-0.000156768601,0.000182175567,6.35462126e-22
0.3,0.0320712695,0.002,-0.000134334184,0.00018879382,5.70814584e-20
0.3,0.0329621381,0.002,-0.000112019644,0.000195524426,8.75856537e-22
0.3,0.0338530067,0.002,-8.98664609e-05,0.000202334719,-3.5024e-20
0.3,0.0347438753,0.002,-6.79046213e-05,0.000209216912,-5.03431969e-20
0.3,0.0356347439,0.002,-4.6162598e-05,0.000216163041,-5.76982659e-20
0.3,0.0365256125,0.002,-2.46676804e-05,0.000223164443,-8.60981221e-20
0.3,0.0374164811,0.002,-3.44606446e-06,0.000230212128,-9.61765461e-21
0.3,0.0383073497,0.002,1.74517255e-05,0.00023730622,-3.86440805e-20
0.3,0.0391982183,0.002,3.79957155e-05,0.000244447237,1.89621459e-20
0.3,0.0400890869,0.002,5.81410397e-05,0.000251591069,-5.53132594e-20
0.3,0.0409799555,0.002,7.78669391e-05,0.000258722638,-2.68611935e-20
0.3,0.0418708241,0.002,9.71731198e-05,0.000265835963,-2.67868803e-20
0.3,0.0427616927,0.002,0.000116036473,0.000272919641,-5.80987999e-20
0.3,0.0436525612,0.002,0.000134433919,0.000279962096,1.32370621e-20
0.3,0.0445434298,0.002,0.00015234248,0.000286951457,-7.88339431e-20
0.3,0.0454342984,0.002,0.000169724317,0.000293878298,-6.35437778e-20
0.3,0.046325167,0.002,0.000186485161,0.000300747552,-2.97065393e-20
0.3,0.0472160356,0.002,0.000202712775,0.000307529803,-1.25332467e-19
0.3,0.0481069042,0.002,0.00021822578,0.000314141354,-2.11887763e-19
0.3,0.0489977728,0.002,0.000233126103,0.000320625211,-1.42442421e-19
0.3,0.0498886414,0.002,0.000247396504,0.000326969185,-1.4720188e-20
0.3,0.05077951,0.002,0.000261021015,0.000333161302,-5.27984234e-20
0.3,0.0516703786,0.002,0.000273985161,0.000339189384,-7.028028e-21
0.3,0.0525612472,0.002,0.000286273483,0.000345041683,-1.04215115e-19
0.3,0.0534521158,0.002,0.000297748975,0.000350707895,-7.03838603e-21
0.3,0.0543429844,0.002,0.000308622425,0.000356212112,-5.41356228e-20
0.3,0.055233853,0.002,0.000318626383,0.000361403879,5.02580468e-20
0.3,0.0561247216,0.002,0.000327882771,0.000366343155,4.83342811e-20
0.3,0.0570155902,0.002,0.000336426357,0.000371040778,3.74962607e-20
0.3,0.0579064588,0.002,0.000344257673,0.000375487034,5.00689624e-20
0.3,0.0587973274,0.002,0.000351379101,0.000379672648,-4.63501442e-20
0.3,0.059688196,0.002,0.000357794137,0.000383588444,-1.50417472e-20
0.3,0.0605790646,0.002,0.000363388061,0.000387209592,1.06592799e-21
0.3,0.0614699332,0.002,0.000368373601,0.000390584775,-1.4391317e-20
0.3,0.0623608018,0.002,0.00037257858,0.00039359467,-9.24145997e-20
0.3,0.0632516704,0.002,0.000376016219,0.000396233477,-7.31869026e-20
0.3,0.064142539,0.002,0.00037880141,0.000398561598,-8.88938684e-20
0.3,0.0650334076,0.002,0.000380949687,0.000400574414,-1.34730244e-20
0.3,0.0659242762,0.002,0.000382477993,0.000402267987,6.67832398e-20
0.3,0.0668151448,0.002,0.000383394502,0.00040363435,3.65356739e-20
0.3,0.0677060134,0.002,0.000383635023,0.000404643952,3.94489501e-21
0.3,0.068596882,0.002,0.00038337947,0.000405365898,7.89465317e-21
0.3,0.0694877506,0.002,0.000382521394,0.000405713762,4.91394253e-20
0.3,0.0703786192,0.002,0.00038102974,0.000405641461,-3.74383372e-20
0.3,0.0712694878,0.002,0.000379045943,0.000405242332,-3.9200273e-20
0.3,0.0721603563,0.002,0.000376589748,0.000404517106,-8.86311477e-20
0.3,0.0730512249,0.002,0.000373684245,0.000403466532,-5.51660845e-20
0.3,0.0739420935,0.002,0.000370333977,0.000402083496,-3.92398492e-20
0.3,0.0748329621,0.002,0.000366537823,0.000400353331,-6.80050036e-21
0.3,0.0757238307,0.002,0.000362414526,0.000398350929,-1.25508615e-20
0.3,0.0766146993,0.002,0.00035789644,0.000396008139,-9.29495772e-21
0.3,0.0775055679,0.002,0.00035294811,0.000393280835,-9.29486481e-21
0.3,0.0783964365,0.002,0.000347699477,0.00039026422,-3.11499156e-20
0.3,0.0792873051,0.002,0.000342172433,0.000386965562,-1.06030994e-19
0.3,0.0801781737,0.002,0.000336388275,0.000383392731,-1.01343731e-19
0.3,0.0810690423,0.002,0.000330354158,0.000379532983,-1.02490073e-20
