x,y,z,U_0,U_1,U_2
0.3,0,0.002,0,0,0
0.3,0.00133779264,0.002,-0.000393903872,-1.44091649e-05,0
0.3,0.00267558528,0.002,-0.000251264511,-4.60820672e-05,0
0.3,0.00401337793,0.002,-5.49372021e-05,-8.13106608e-05,0
0.3,0.00535117057,0.002,3.36277302e-05,-0.000113258854,0
0.3,0.00668896321,0.002,5.37195447e-05,-0.000145375022,0
0.3,0.00802675585,0.002,4.44473347e-05,-0.00017679249,0
0.3,0.00936454849,0.002,3.02481136e-05,-0.000207430509,0
0.3,0.0107023411,0.002,1.95215311e-05,-0.000237418436,0
0.3,0.0120401338,0.002,1.28317296e-05,-0.000267136093,0
0.3,0.0133779264,0.002,7.34242382e-06,-0.000296224985,0
0.3,0.0147157191,0.002,2.02243549e-06,-0.00032485399,0
0.3,0.0160535117,0.002,-4.19550558e-06,-0.000352820282,0
0.3,0.0173913043,0.002,-1.13712131e-05,-0.000380183014,0
0.3,0.018729097,0.002,-1.96842296e-05,-0.000406755088,0
0.3,0.0200668896,0.002,-2.85959111e-05,-0.000432868814,0
0.3,0.0214046823,0.002,-3.86752797e-05,-0.000457902152,0
0.3,0.0227424749,0.002,-4.93671336e-05,-0.000482325345,0
0.3,0.0240802676,0.002,-6.08264296e-05,-0.000505893591,0
0.3,0.0254180602,0.002,-7.28925926e-05,-0.000528628989,0
0.3,0.0267558528,0.002,-8.5748987e-05,-0.000550306934,0
0.3,0.0280936455,0.002,-9.90136615e-05,-0.000571366796,0
0.3,0.0294314381,0.002,-0.000112879906,-0.000591129461,0
0.3,0.0307692308,0.002,-0.000127224498,-0.000610058046,0
0.3,0.0321070234,0.002,-0.000142015534,-0.000628032807,0
0.3,0.0334448161,0.002,-0.000157044217,-0.000644999488,0
0.3,0.0347826087,0.002,-0.000172541282,-0.000660728313,0
0.3,0.0361204013,0.002,-0.000188260574,-0.000675727564,0
0.3,0.037458194,0.002,-0.000204058391,-0.000689370038,0
0.3,0.0387959866,0.002,-0.000220116836,-0.000701995436,0
0.3,0.0401337793,0.002,-0.000236316887,-0.000713663492,0
0.3,0.0414715719,0.002,-0.000252398383,-0.000724260402,0
0.3,0.0428093645,0.002,-0.000268545336,-0.000733547188,0
0.3,0.0441471572,0.002,-0.000284688326,-0.000742028907,0
0.3,0.0454849498,0.002,-0.000300516147,-0.000749203989,0
0.3,0.0468227425,0.002,-0.000316268247,-0.000755383627,0
0.3,0.0481605351,0.002,-0.000331871332,-0.000760567054,0
0.3,0.0494983278,0.002,-0.000347085302,-0.000764696703,0
0.3,0.0508361204,0.002,-0.000361941996,-0.000767644038,0
0.3,0.052173913,0.002,-0.000376553351,-0.000769720119,0
0.3,0.0535117057,0.002,-0.000390595667,-0.000770654348,0
0.3,0.0548494983,0.002,-0.000404255277,-0.00077071098,0
0.3,0.056187291,0.002,-0.000417466486,-0.000769785549,0
0.3,0.0575250836,0.002,-0.000430095778,-0.000767937516,0
0.3,0.0588628763,0.002,-0.000442048149,-0.00076507834,0
0.3,0.0602006689,0.002,-0.000453471853,-0.000761370771,0
0.3,0.0615384615,0.002,-0.000464253888,-0.000756838574,0
0.3,0.0628762542,0.002,-0.000474306146,-0.000751457091,0
0.3,0.0642140468,0.002,-0.000483671101,-0.000745268312,0
0.3,0.0655518395,0.002,-0.000492329178,-0.000738362044,0
0.3,0.0668896321,0.002,-0.000500061432,-0.000730591733,0
0.3,0.0682274247,0.002,-0.000507078578,-0.000722190945,0
