x,y,z,U_0,U_1,U_2
0.3,0,0.002,-0.000199039645,-2.55320968e-06,0
0.3,0.000667779633,0.002,-0.000440223048,-2.73277057e-06,1.3935896e-22
0.3,0.00133555927,0.002,-0.000703472433,-8.23818699e-06,-1.90992332e-21
0.3,0.0020033389,0.002,-0.000833420214,-1.90157457e-05,-3.52695548e-21
0.3,0.00267111853,0.002,-0.000875990339,-3.12629784e-05,-1.70986938e-21
0.3,0.00333889816,0.002,-0.000869386618,-4.56913452e-05,8.98999055e-22
0.3,0.0040066778,0.002,-0.000840706212,-6.04634118e-05,-1.50553788e-21
0.3,0.00467445743,0.002,-0.000806819362,-7.57727612e-05,-5.34155004e-21
0.3,0.00534223706,0.002,-0.000776479885,-9.08824483e-05,2.50713833e-21
0.3,0.00601001669,0.002,-0.000752863054,-0.000105910511,1.07434563e-20
0.3,0.00667779633,0.002,-0.000736186769,-0.000120642103,1.09144e-20
0.3,0.00734557596,0.002,-0.000725121758,-0.000135192046,6.6711112e-21
0.3,0.00801335559,0.002,-0.000717970417,-0.000149499686,9.22589747e-21
0.3,0.00868113523,0.002,-0.000713184616,-0.000163625446,1.5197958e-20
0.3,0.00934891486,0.002,-0.000709602589,-0.000177549525,1.02381866e-20
0.3,0.0100166945,0.002,-0.000706480051,-0.000191291066,8.63345264e-21
0.3,0.0106844741,0.002,-0.000703430757,-0.000204821596,-4.97671698e-21
0.3,0.0113522538,0.002,-0.000700279262,-0.000218089039,-5.77800315e-24
0.3,0.0120200334,0.002,-0.000697023978,-0.000231123679,4.61554299e-21
0.3,0.012687813,0.002,-0.000693722519,-0.000243915016,7.62131643e-21
0.3,0.0133555927,0.002,-0.000690448032,-0.000256445687,1.00353929e-20
0.3,0.0140233723,0.002,-0.000687262547,-0.000268701381,1.4870765e-20
0.3,0.0146911519,0.002,-0.000684205993,-0.000280666984,2.60203179e-20
0.3,0.0153589316,0.002,-0.000681294443,-0.000292329448,7.56403564e-21
0.3,0.0160267112,0.002,-0.000678545805,-0.000303647518,-2.38044025e-20
0.3,0.0166944908,0.002,-0.000675884633,-0.000314566013,-3.07470458e-20
0.3,0.0173622705,0.002,-0.00067331778,-0.000325141211,-2.085006e-20
0.3,0.0180300501,0.002,-0.000670816362,-0.000335364091,-1.87377802e-20
0.3,0.0186978297,0.002,-0.000668351763,-0.000345226415,-4.33423733e-20
0.3,0.0193656093,0.002,-0.000665897853,-0.000354720742,-4.37805853e-20
0.3,0.020033389,0.002,-0.000663432217,-0.000363840148,-5.36515891e-20
0.3,0.0207011686,0.002,-0.000660936893,-0.000372577652,-4.91570057e-20
0.3,0.0213689482,0.002,-0.000658425396,-0.000380868712,-1.36912401e-20
0.3,0.0220367279,0.002,-0.000655806231,-0.000388707517,-3.09499564e-20
0.3,0.0227045075,0.002,-0.000653122396,-0.000396145914,-5.40982791e-20
0.3,0.0233722871,0.002,-0.000650369958,-0.000403180091,-8.54127372e-20
0.3,0.0240400668,0.002,-0.000647547238,-0.000409806598,-9.15160889e-20
0.3,0.0247078464,0.002,-0.000644654275,-0.000416022488,-7.84379492e-20
0.3,0.025375626,0.002,-0.000641692334,-0.000421825205,-8.4056799e-20
0.3,0.0260434057,0.002,-0.000638675246,-0.000427179224,-5.98757686e-21
0.3,0.0267111853,0.002,-0.00063559655,-0.000432080359,6.65796894e-21
0.3,0.0273789649,0.002,-0.000632405826,-0.000436503902,2.81001644e-21
0.3,0.0280467446,0.002,-0.000629153015,-0.0004405074,-6.04677634e-21
0.3,0.0287145242,0.002,-0.000625840221,-0.000444090907,1.88026606e-20
0.3,0.0293823038,0.002,-0.000622468912,-0.000447254873,1.10922451e-20
0.3,0.0300500835,0.002,-0.000619039783,-0.000450000074,1.0275884e-20
0.3,0.0307178631,0.002,-0.000615552669,-0.000452327766,1.8435118e-20
0.3,0.0313856427,0.002,-0.000612036868,-0.000454190264,-1.77574359e-20
0.3,0.0320534224,0.002,-0.000608412269,-0.000455592415,-2.09662414e-20
0.3,0.032721202,0.002,-0.00060469728,-0.000456554076,-3.64946108e-20
0.3,0.0333889816,0.002,-0.000600913718,-0.000457109077,-6.74908297e-20
0.3,0.0340567613,0.002,-0.000597057455,-0.00045726104,-7.42930053e-20
0.3,0.0347245409,0.002,-0.000593123563,-0.000457014046,-6.49624417e-20
0.3,0.0353923205,0.002,-0.000589106951,-0.000456372489,-4.5444848e-20
0.3,0.0360601002,0.002,-0.000585010836,-0.000455310033,-3.06467542e-21
0.3,0.0367278798,0.002,-0.000580846953,-0.000453861143,5.92047908e-20
0.3,0.0373956594,0.002,-0.000576509233,-0.0004519515,3.96365562e-20
0.3,0.0380634391,0.002,-0.000572070576,-0.000449672287,3.6754743e-20
0.3,0.0387312187,0.002,-0.000567525738,-0.000447030068,5.31020761e-20
0.3,0.0393989983,0.002,-0.000562869795,-0.000444031675,4.23788109e-20
0.3,0.040066778,0.002,-0.000558098302,-0.000440684184,4.19072719e-20
0.3,0.0407345576,0.002,-0.00055320767,-0.000436991625,2.17584259e-20
0.3,0.0414023372,0.002,-0.000548209825,-0.000432927081,2.89385144e-21
0.3,0.0420701169,0.002,-0.000543060631,-0.000428524379,5.14541217e-21
0.3,0.0427378965,0.002,-0.000537741763,-0.000423764562,-6.12241371e-21
0.3,0.0434056761,0.002,-0.000532293724,-0.00041870159,-1.85611224e-20
0.3,0.0440734558,0.002,-0.000526715191,-0.000413344437,1.16022198e-20
0.3,0.0447412354,0.002,-0.000521005315,-0.000407702379,3.8859822e-20
0.3,0.045409015,0.002,-0.000515163709,-0.000401784849,5.8108603e-20
0.3,0.0460767947,0.002,-0.0005091901,-0.000395570562,9.73789339e-21
