p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
2.16532e-02,-1.90461e-04,-1.01979e-05,0.00000e+00,1.99830e+00,5.00000e-01,1.00000e+03,1,0.00000e+00,3.00000e-01,0.00000e+00,2.00000e-03
2.16637e-02,-1.44923e-04,-1.35803e-05,0.00000e+00,1.99783e+00,5.00000e-01,1.00000e+03,1,4.00000e-04,3.00000e-01,4.00000e-04,2.00000e-03
2.16744e-02,-9.91098e-05,-1.69503e-05,0.00000e+00,1.99737e+00,5.00000e-01,1.00000e+03,1,8.00000e-04,3.00000e-01,8.00000e-04,2.00000e-03
2.16854e-02,-5.30196e-05,-2.03078e-05,0.00000e+00,1.99690e+00,5.00000e-01,1.00000e+03,1,1.20000e-03,3.00000e-01,1.20000e-03,2.00000e-03
2.16682e-02,2.19005e-05,-2.77322e-05,0.00000e+00,1.99611e+00,5.00000e-01,1.00000e+03,1,1.60000e-03,3.00000e-01,1.60000e-03,2.00000e-03
2.16372e-02,1.11381e-04,-3.71539e-05,0.00000e+00,1.99515e+00,5.00000e-01,1.00000e+03,1,2.00000e-03,3.00000e-01,2.00000e-03,2.00000e-03
2.16064e-02,2.01147e-04,-4.65271e-05,0.00000e+00,1.99420e+00,5.00000e-01,1.00000e+03,1,2.40000e-03,3.00000e-01,2.40000e-03,2.00000e-03
2.15760e-02,2.82608e-04,-5.61043e-05,0.00000e+00,1.99324e+00,5.00000e-01,1.00000e+03,1,2.80000e-03,3.00000e-01,2.80000e-03,2.00000e-03
2.15460e-02,3.46958e-04,-6.61266e-05,0.00000e+00,1.99227e+00,5.00000e-01,1.00000e+03,1,3.20000e-03,3.00000e-01,3.20000e-03,2.00000e-03
2.15162e-02,4.11269e-04,-7.60833e-05,0.00000e+00,1.99131e+00,5.00000e-01,1.00000e+03,1,3.60000e-03,3.00000e-01,3.60000e-03,2.00000e-03
2.14865e-02,4.75542e-04,-8.59745e-05,0.00000e+00,1.99035e+00,5.00000e-01,1.00000e+03,1,4.00000e-03,3.00000e-01,4.00000e-03,2.00000e-03
2.14353e-02,4.99779e-04,-9.48660e-05,0.00000e+00,1.98938e+00,5.00000e-01,1.00000e+03,1,4.40000e-03,3.00000e-01,4.40000e-03,2.00000e-03
2.13842e-02,5.23934e-04,-1.03690e-04,0.00000e+00,1.98842e+00,5.00000e-01,1.00000e+03,1,4.80000e-03,3.00000e-01,4.80000e-03,2.00000e-03
2.13332e-02,5.48007e-04,-1.12447e-04,0.00000e+00,1.98746e+00,5.00000e-01,1.00000e+03,1,5.20000e-03,3.00000e-01,5.20000e-03,2.00000e-03
2.12752e-02,5.56630e-04,-1.21096e-04,0.00000e+00,1.98650e+00,5.00000e-01,1.00000e+03,1,5.60000e-03,3.00000e-01,5.60000e-03,2.00000e-03
2.12141e-02,5.57536e-04,-1.29657e-04,0.00000e+00,1.98553e+00,5.00000e-01,1.00000e+03,1,6.00000e-03,3.00000e-01,6.00000e-03,2.00000e-03
2.11529e-02,5.58396e-04,-1.38148e-04,0.00000e+00,1.98456e+00,5.00000e-01,1.00000e+03,1,6.40000e-03,3.00000e-01,6.40000e-03,2.00000e-03
2.10881e-02,5.56678e-04,-1.46472e-04,0.00000e+00,1.98359e+00,5.00000e-01,1.00000e+03,1,6.80000e-03,3.00000e-01,6.80000e-03,2.00000e-03
2.10159e-02,5.49869e-04,-1.54532e-04,0.00000e+00,1.98262e+00,5.00000e-01,1.00000e+03,1,7.20000e-03,3.00000e-01,7.20000e-03,2.00000e-03
2.09436e-02,5.43044e-04,-1.62527e-04,0.00000e+00,1.98164e+00,5.00000e-01,1.00000e+03,1,7.60000e-03,3.00000e-01,7.60000e-03,2.00000e-03
2.08712e-02,5.36203e-04,-1.70455e-04,0.00000e+00,1.98067e+00,5.00000e-01,1.00000e+03,1,8.00000e-03,3.00000e-01,8.00000e-03,2.00000e-03
2.07958e-02,5.29009e-04,-1.78547e-04,0.00000e+00,1.97970e+00,5.00000e-01,1.00000e+03,1,8.40000e-03,3.00000e-01,8.40000e-03,2.00000e-03
2.07202e-02,5.21811e-04,-1.86574e-04,0.00000e+00,1.97872e+00,5.00000e-01,1.00000e+03,1,8.80000e-03,3.00000e-01,8.80000e-03,2.00000e-03
2.06445e-02,5.14609e-04,-1.94537e-04,0.00000e+00,1.97775e+00,5.00000e-01,1.00000e+03,1,9.20000e-03,3.00000e-01,9.20000e-03,2.00000e-03
2.05634e-02,5.08285e-04,-2.02410e-04,0.00000e+00,1.97678e+00,5.00000e-01,1.00000e+03,1,9.60000e-03,3.00000e-01,9.60000e-03,2.00000e-03
2.04794e-02,5.02401e-04,-2.10209e-04,0.00000e+00,1.97580e+00,5.00000e-01,1.00000e+03,1,1.00000e-02,3.00000e-01,1.00000e-02,2.00000e-03
2.03953e-02,4.96515e-04,-2.17947e-04,0.00000e+00,1.97483e+00,5.00000e-01,1.00000e+03,1,1.04000e-02,3.00000e-01,1.04000e-02,2.00000e-03
2.03094e-02,4.90942e-04,-2.25685e-04,0.00000e+00,1.97386e+00,5.00000e-01,1.00000e+03,1,1.08000e-02,3.00000e-01,1.08000e-02,2.00000e-03
2.02200e-02,4.85996e-04,-2.33483e-04,0.00000e+00,1.97289e+00,5.00000e-01,1.00000e+03,1,1.12000e-02,3.00000e-01,1.12000e-02,2.00000e-03
2.01303e-02,4.81047e-04,-2.41223e-04,0.00000e+00,1.97191e+00,5.00000e-01,1.00000e+03,1,1.16000e-02,3.00000e-01,1.16000e-02,2.00000e-03
2.00405e-02,4.76094e-04,-2.48904e-04,0.00000e+00,1.97094e+00,5.00000e-01,1.00000e+03,1,1.20000e-02,3.00000e-01,1.20000e-02,2.00000e-03
1.99416e-02,4.71281e-04,-2.56520e-04,0.00000e+00,1.96997e+00,5.00000e-01,1.00000e+03,1,1.24000e-02,3.00000e-01,1.24000e-02,2.00000e-03
1.98425e-02,4.66462e-04,-2.64082e-04,0.00000e+00,1.96900e+00,5.00000e-01,1.00000e+03,1,1.28000e-02,3.00000e-01,1.28000e-02,2.00000e-03
1.97432e-02,4.61636e-04,-2.71588e-04,0.00000e+00,1.96803e+00,5.00000e-01,1.00000e+03,1,1.32000e-02,3.00000e-01,1.32000e-02,2.00000e-03
1.96388e-02,4.56587e-04,-2.79111e-04,0.00000e+00,1.96706e+00,5.00000e-01,1.00000e+03,1,1.36000e-02,3.00000e-01,1.36000e-02,2.00000e-03
1.95317e-02,4.51422e-04,-2.86617e-04,0.00000e+00,1.96609e+00,5.00000e-01,1.00000e+03,1,1.40000e-02,3.00000e-01,1.40000e-02,2.00000e-03
1.94243e-02,4.46249e-04,-2.94070e-04,0.00000e+00,1.96512e+00,5.00000e-01,1.00000e+03,1,1.44000e-02,3.00000e-01,1.44000e-02,2.00000e-03
1.93135e-02,4.40879e-04,-3.01470e-04,0.00000e+00,1.96415e+00,5.00000e-01,1.00000e+03,1,1.48000e-02,3.00000e-01,1.48000e-02,2.00000e-03
1.91962e-02,4.35125e-04,-3.08819e-04,0.00000e+00,1.96318e+00,5.00000e-01,1.00000e+03,1,1.52000e-02,3.00000e-01,1.52000e-02,2.00000e-03
1.90787e-02,4.29360e-04,-3.16118e-04,0.00000e+00,1.96221e+00,5.00000e-01,1.00000e+03,1,1.56000e-02,3.00000e-01,1.56000e-02,2.00000e-03
1.89591e-02,4.23494e-04,-3.23349e-04,0.00000e+00,1.96124e+00,5.00000e-01,1.00000e+03,1,1.60000e-02,3.00000e-01,1.60000e-02,2.00000e-03
1.88300e-02,4.16961e-04,-3.30570e-04,0.00000e+00,1.96027e+00,5.00000e-01,1.00000e+03,1,1.64000e-02,3.00000e-01,1.64000e-02,2.00000e-03
1.87005e-02,4.10420e-04,-3.37742e-04,0.00000e+00,1.95930e+00,5.00000e-01,1.00000e+03,1,1.68000e-02,3.00000e-01,1.68000e-02,2.00000e-03
1.85707e-02,4.03873e-04,-3.44866e-04,0.00000e+00,1.95833e+00,5.00000e-01,1.00000e+03,1,1.72000e-02,3.00000e-01,1.72000e-02,2.00000e-03
1.84350e-02,3.96945e-04,-3.51932e-04,0.00000e+00,1.95736e+00,5.00000e-01,1.00000e+03,1,1.76000e-02,3.00000e-01,1.76000e-02,2.00000e-03
1.82961e-02,3.89819e-04,-3.58950e-04,0.00000e+00,1.95638e+00,5.00000e-01,1.00000e+03,1,1.80000e-02,3.00000e-01,1.80000e-02,2.00000e-03
1.81569e-02,3.82685e-04,-3.65922e-04,0.00000e+00,1.95541e+00,5.00000e-01,1.00000e+03,1,1.84000e-02,3.00000e-01,1.84000e-02,2.00000e-03
1.80149e-02,3.75377e-04,-3.72852e-04,0.00000e+00,1.95444e+00,5.00000e-01,1.00000e+03,1,1.88000e-02,3.00000e-01,1.88000e-02,2.00000e-03
1.78677e-02,3.67728e-04,-3.79746e-04,0.00000e+00,1.95347e+00,5.00000e-01,1.00000e+03,1,1.92000e-02,3.00000e-01,1.92000e-02,2.00000e-03
1.77201e-02,3.60067e-04,-3.86597e-04,0.00000e+00,1.95249e+00,5.00000e-01,1.00000e+03,1,1.96000e-02,3.00000e-01,1.96000e-02,2.00000e-03
1.75720e-02,3.52394e-04,-3.93407e-04,0.00000e+00,1.95152e+00,5.00000e-01,1.00000e+03,1,2.00000e-02,3.00000e-01,2.00000e-02,2.00000e-03
1.74165e-02,3.44258e-04,-4.00138e-04,0.00000e+00,1.95054e+00,5.00000e-01,1.00000e+03,1,2.04000e-02,3.00000e-01,2.04000e-02,2.00000e-03
1.72604e-02,3.36108e-04,-4.06832e-04,0.00000e+00,1.94957e+00,5.00000e-01,1.00000e+03,1,2.08000e-02,3.00000e-01,2.08000e-02,2.00000e-03
1.71039e-02,3.27942e-04,-4.13488e-04,0.00000e+00,1.94859e+00,5.00000e-01,1.00000e+03,1,2.12000e-02,3.00000e-01,2.12000e-02,2.00000e-03
1.69429e-02,3.19501e-04,-4.20081e-04,0.00000e+00,1.94762e+00,5.00000e-01,1.00000e+03,1,2.16000e-02,3.00000e-01,2.16000e-02,2.00000e-03
1.67794e-02,3.10912e-04,-4.26627e-04,0.00000e+00,1.94664e+00,5.00000e-01,1.00000e+03,1,2.20000e-02,3.00000e-01,2.20000e-02,2.00000e-03
1.66154e-02,3.02305e-04,-4.33139e-04,0.00000e+00,1.94566e+00,5.00000e-01,1.00000e+03,1,2.24000e-02,3.00000e-01,2.24000e-02,2.00000e-03
1.64490e-02,2.93565e-04,-4.39594e-04,0.00000e+00,1.94469e+00,5.00000e-01,1.00000e+03,1,2.28000e-02,3.00000e-01,2.28000e-02,2.00000e-03
1.62783e-02,2.84572e-04,-4.45968e-04,0.00000e+00,1.94371e+00,5.00000e-01,1.00000e+03,1,2.32000e-02,3.00000e-01,2.32000e-02,2.00000e-03
1.61071e-02,2.75557e-04,-4.52314e-04,0.00000e+00,1.94273e+00,5.00000e-01,1.00000e+03,1,2.36000e-02,3.00000e-01,2.36000e-02,2.00000e-03
1.59352e-02,2.66521e-04,-4.58630e-04,0.00000e+00,1.94175e+00,5.00000e-01,1.00000e+03,1,2.40000e-02,3.00000e-01,2.40000e-02,2.00000e-03
1.57582e-02,2.57167e-04,-4.64834e-04,0.00000e+00,1.94077e+00,5.00000e-01,1.00000e+03,1,2.44000e-02,3.00000e-01,2.44000e-02,2.00000e-03
1.55805e-02,2.47789e-04,-4.71013e-04,0.00000e+00,1.93979e+00,5.00000e-01,1.00000e+03,1,2.48000e-02,3.00000e-01,2.48000e-02,2.00000e-03
1.54022e-02,2.38386e-04,-4.77167e-04,0.00000e+00,1.93881e+00,5.00000e-01,1.00000e+03,1,2.52000e-02,3.00000e-01,2.52000e-02,2.00000e-03
1.52206e-02,2.28789e-04,-4.83222e-04,0.00000e+00,1.93783e+00,5.00000e-01,1.00000e+03,1,2.56000e-02,3.00000e-01,2.56000e-02,2.00000e-03
1.50370e-02,2.19080e-04,-4.89219e-04,0.00000e+00,1.93685e+00,5.00000e-01,1.00000e+03,1,2.60000e-02,3.00000e-01,2.60000e-02,2.00000e-03
1.48514e-02,2.09281e-04,-4.95153e-04,0.00000e+00,1.93586e+00,5.00000e-01,1.00000e+03,1,2.64000e-02,3.00000e-01,2.64000e-02,2.00000e-03
1.46638e-02,1.99376e-04,-5.01008e-04,0.00000e+00,1.93488e+00,5.00000e-01,1.00000e+03,1,2.68000e-02,3.00000e-01,2.68000e-02,2.00000e-03
1.44736e-02,1.89314e-04,-5.06758e-04,0.00000e+00,1.93390e+00,5.00000e-01,1.00000e+03,1,2.72000e-02,3.00000e-01,2.72000e-02,2.00000e-03
1.42828e-02,1.79229e-04,-5.12489e-04,0.00000e+00,1.93291e+00,5.00000e-01,1.00000e+03,1,2.76000e-02,3.00000e-01,2.76000e-02,2.00000e-03
1.40913e-02,1.69122e-04,-5.18202e-04,0.00000e+00,1.93193e+00,5.00000e-01,1.00000e+03,1,2.80000e-02,3.00000e-01,2.80000e-02,2.00000e-03
1.38969e-02,1.58832e-04,-5.23746e-04,0.00000e+00,1.93094e+00,5.00000e-01,1.00000e+03,1,2.84000e-02,3.00000e-01,2.84000e-02,2.00000e-03
1.37017e-02,1.48516e-04,-5.29277e-04,0.00000e+00,1.92995e+00,5.00000e-01,1.00000e+03,1,2.88000e-02,3.00000e-01,2.88000e-02,2.00000e-03
1.35058e-02,1.38173e-04,-5.34793e-04,0.00000e+00,1.92897e+00,5.00000e-01,1.00000e+03,1,2.92000e-02,3.00000e-01,2.92000e-02,2.00000e-03
1.33083e-02,1.27733e-04,-5.40183e-04,0.00000e+00,1.92798e+00,5.00000e-01,1.00000e+03,1,2.96000e-02,3.00000e-01,2.96000e-02,2.00000e-03
1.31095e-02,1.17227e-04,-5.45506e-04,0.00000e+00,1.92699e+00,5.00000e-01,1.00000e+03,1,3.00000e-02,3.00000e-01,3.00000e-02,2.00000e-03
1.29099e-02,1.06693e-04,-5.50820e-04,0.00000e+00,1.92600e+00,5.00000e-01,1.00000e+03,1,3.04000e-02,3.00000e-01,3.04000e-02,2.00000e-03
1.27094e-02,9.61079e-05,-5.56061e-04,0.00000e+00,1.92501e+00,5.00000e-01,1.00000e+03,1,3.08000e-02,3.00000e-01,3.08000e-02,2.00000e-03
1.25075e-02,8.54509e-05,-5.61168e-04,0.00000e+00,1.92402e+00,5.00000e-01,1.00000e+03,1,3.12000e-02,3.00000e-01,3.12000e-02,2.00000e-03
1.23049e-02,7.47615e-05,-5.66272e-04,0.00000e+00,1.92303e+00,5.00000e-01,1.00000e+03,1,3.16000e-02,3.00000e-01,3.16000e-02,2.00000e-03
1.21013e-02,6.40398e-05,-5.71371e-04,0.00000e+00,1.92204e+00,5.00000e-01,1.00000e+03,1,3.20000e-02,3.00000e-01,3.20000e-02,2.00000e-03
1.18971e-02,5.32737e-05,-5.76257e-04,0.00000e+00,1.92105e+00,5.00000e-01,1.00000e+03,1,3.24000e-02,3.00000e-01,3.24000e-02,2.00000e-03
1.16920e-02,4.24722e-05,-5.81142e-04,0.00000e+00,1.92006e+00,5.00000e-01,1.00000e+03,1,3.28000e-02,3.00000e-01,3.28000e-02,2.00000e-03
1.14860e-02,3.16352e-05,-5.86028e-04,0.00000e+00,1.91907e+00,5.00000e-01,1.00000e+03,1,3.32000e-02,3.00000e-01,3.32000e-02,2.00000e-03
1.12797e-02,2.07873e-05,-5.90762e-04,0.00000e+00,1.91807e+00,5.00000e-01,1.00000e+03,1,3.36000e-02,3.00000e-01,3.36000e-02,2.00000e-03
1.10728e-02,9.91363e-06,-5.95424e-04,0.00000e+00,1.91708e+00,5.00000e-01,1.00000e+03,1,3.40000e-02,3.00000e-01,3.40000e-02,2.00000e-03
1.08649e-02,-9.98416e-07,-6.00090e-04,0.00000e+00,1.91608e+00,5.00000e-01,1.00000e+03,1,3.44000e-02,3.00000e-01,3.44000e-02,2.00000e-03
1.06566e-02,-1.19197e-05,-6.04679e-04,0.00000e+00,1.91509e+00,5.00000e-01,1.00000e+03,1,3.48000e-02,3.00000e-01,3.48000e-02,2.00000e-03
1.04485e-02,-2.28230e-05,-6.09109e-04,0.00000e+00,1.91409e+00,5.00000e-01,1.00000e+03,1,3.52000e-02,3.00000e-01,3.52000e-02,2.00000e-03
1.02394e-02,-3.37676e-05,-6.13549e-04,0.00000e+00,1.91309e+00,5.00000e-01,1.00000e+03,1,3.56000e-02,3.00000e-01,3.56000e-02,2.00000e-03
1.00292e-02,-4.47538e-05,-6.17999e-04,0.00000e+00,1.91210e+00,5.00000e-01,1.00000e+03,1,3.60000e-02,3.00000e-01,3.60000e-02,2.00000e-03
9.82056e-03,-5.56361e-05,-6.22156e-04,0.00000e+00,1.91110e+00,5.00000e-01,1.00000e+03,1,3.64000e-02,3.00000e-01,3.64000e-02,2.00000e-03
9.61096e-03,-6.65459e-05,-6.26286e-04,0.00000e+00,1.91010e+00,5.00000e-01,1.00000e+03,1,3.68000e-02,3.00000e-01,3.68000e-02,2.00000e-03
9.40040e-03,-7.74918e-05,-6.30428e-04,0.00000e+00,1.90910e+00,5.00000e-01,1.00000e+03,1,3.72000e-02,3.00000e-01,3.72000e-02,2.00000e-03
9.19112e-03,-8.83509e-05,-6.34390e-04,0.00000e+00,1.90810e+00,5.00000e-01,1.00000e+03,1,3.76000e-02,3.00000e-01,3.76000e-02,2.00000e-03
8.98195e-03,-9.91871e-05,-6.38273e-04,0.00000e+00,1.90710e+00,5.00000e-01,1.00000e+03,1,3.80000e-02,3.00000e-01,3.80000e-02,2.00000e-03
8.77178e-03,-1.10062e-04,-6.42172e-04,0.00000e+00,1.90610e+00,5.00000e-01,1.00000e+03,1,3.84000e-02,3.00000e-01,3.84000e-02,2.00000e-03
8.56196e-03,-1.20899e-04,-6.45986e-04,0.00000e+00,1.90510e+00,5.00000e-01,1.00000e+03,1,3.88000e-02,3.00000e-01,3.88000e-02,2.00000e-03
8.35385e-03,-1.31623e-04,-6.49617e-04,0.00000e+00,1.90409e+00,5.00000e-01,1.00000e+03,1,3.92000e-02,3.00000e-01,3.92000e-02,2.00000e-03
8.14467e-03,-1.42388e-04,-6.53269e-04,0.00000e+00,1.90309e+00,5.00000e-01,1.00000e+03,1,3.96000e-02,3.00000e-01,3.96000e-02,2.00000e-03
7.93444e-03,-1.53195e-04,-6.56941e-04,0.00000e+00,1.90209e+00,5.00000e-01,1.00000e+03,1,4.00000e-02,3.00000e-01,4.00000e-02,2.00000e-03
7.72797e-03,-1.63767e-04,-6.60314e-04,0.00000e+00,1.90108e+00,5.00000e-01,1.00000e+03,1,4.04000e-02,3.00000e-01,4.04000e-02,2.00000e-03
7.52040e-03,-1.74384e-04,-6.63713e-04,0.00000e+00,1.90008e+00,5.00000e-01,1.00000e+03,1,4.08000e-02,3.00000e-01,4.08000e-02,2.00000e-03
7.31171e-03,-1.85045e-04,-6.67137e-04,0.00000e+00,1.89907e+00,5.00000e-01,1.00000e+03,1,4.12000e-02,3.00000e-01,4.12000e-02,2.00000e-03
7.10563e-03,-1.95537e-04,-6.70361e-04,0.00000e+00,1.89807e+00,5.00000e-01,1.00000e+03,1,4.16000e-02,3.00000e-01,4.16000e-02,2.00000e-03
6.90026e-03,-2.05969e-04,-6.73503e-04,0.00000e+00,1.89706e+00,5.00000e-01,1.00000e+03,1,4.20000e-02,3.00000e-01,4.20000e-02,2.00000e-03
6.69372e-03,-2.16447e-04,-6.76674e-04,0.00000e+00,1.89605e+00,5.00000e-01,1.00000e+03,1,4.24000e-02,3.00000e-01,4.24000e-02,2.00000e-03
6.48812e-03,-2.26852e-04,-6.79757e-04,0.00000e+00,1.89505e+00,5.00000e-01,1.00000e+03,1,4.28000e-02,3.00000e-01,4.28000e-02,2.00000e-03
6.28552e-03,-2.37063e-04,-6.82636e-04,0.00000e+00,1.89404e+00,5.00000e-01,1.00000e+03,1,4.32000e-02,3.00000e-01,4.32000e-02,2.00000e-03
6.08172e-03,-2.47323e-04,-6.85549e-04,0.00000e+00,1.89303e+00,5.00000e-01,1.00000e+03,1,4.36000e-02,3.00000e-01,4.36000e-02,2.00000e-03
5.87672e-03,-2.57632e-04,-6.88496e-04,0.00000e+00,1.89202e+00,5.00000e-01,1.00000e+03,1,4.40000e-02,3.00000e-01,4.40000e-02,2.00000e-03
5.67748e-03,-2.67587e-04,-6.91110e-04,0.00000e+00,1.89101e+00,5.00000e-01,1.00000e+03,1,4.44000e-02,3.00000e-01,4.44000e-02,2.00000e-03
5.47699e-03,-2.77595e-04,-6.93762e-04,0.00000e+00,1.89000e+00,5.00000e-01,1.00000e+03,1,4.48000e-02,3.00000e-01,4.48000e-02,2.00000e-03
5.27526e-03,-2.87653e-04,-6.96452e-04,0.00000e+00,1.88899e+00,5.00000e-01,1.00000e+03,1,4.52000e-02,3.00000e-01,4.52000e-02,2.00000e-03
5.07737e-03,-2.97468e-04,-6.98925e-04,0.00000e+00,1.88798e+00,5.00000e-01,1.00000e+03,1,4.56000e-02,3.00000e-01,4.56000e-02,2.00000e-03
4.88074e-03,-3.07189e-04,-7.01311e-04,0.00000e+00,1.88696e+00,5.00000e-01,1.00000e+03,1,4.60000e-02,3.00000e-01,4.60000e-02,2.00000e-03
4.68379e-03,-3.16897e-04,-7.03682e-04,0.00000e+00,1.88595e+00,5.00000e-01,1.00000e+03,1,4.64000e-02,3.00000e-01,4.64000e-02,2.00000e-03
4.48899e-03,-3.26451e-04,-7.05925e-04,0.00000e+00,1.88494e+00,5.00000e-01,1.00000e+03,1,4.68000e-02,3.00000e-01,4.68000e-02,2.00000e-03
4.29851e-03,-3.35736e-04,-7.07947e-04,0.00000e+00,1.88392e+00,5.00000e-01,1.00000e+03,1,4.72000e-02,3.00000e-01,4.72000e-02,2.00000e-03
4.10682e-03,-3.45069e-04,-7.10012e-04,0.00000e+00,1.88291e+00,5.00000e-01,1.00000e+03,1,4.76000e-02,3.00000e-01,4.76000e-02,2.00000e-03
3.91392e-03,-3.54451e-04,-7.12120e-04,0.00000e+00,1.88189e+00,5.00000e-01,1.00000e+03,1,4.80000e-02,3.00000e-01,4.80000e-02,2.00000e-03
3.72865e-03,-3.63371e-04,-7.13866e-04,0.00000e+00,1.88088e+00,5.00000e-01,1.00000e+03,1,4.84000e-02,3.00000e-01,4.84000e-02,2.00000e-03
3.54214e-03,-3.72342e-04,-7.15658e-04,0.00000e+00,1.87986e+00,5.00000e-01,1.00000e+03,1,4.88000e-02,3.00000e-01,4.88000e-02,2.00000e-03
3.35438e-03,-3.81365e-04,-7.17496e-04,0.00000e+00,1.87885e+00,5.00000e-01,1.00000e+03,1,4.92000e-02,3.00000e-01,4.92000e-02,2.00000e-03
3.17165e-03,-3.90076e-04,-7.19104e-04,0.00000e+00,1.87783e+00,5.00000e-01,1.00000e+03,1,4.96000e-02,3.00000e-01,4.96000e-02,2.00000e-03
2.99079e-03,-3.98658e-04,-7.20623e-04,0.00000e+00,1.87681e+00,5.00000e-01,1.00000e+03,1,5.00000e-02,3.00000e-01,5.00000e-02,2.00000e-03
2.80866e-03,-4.07292e-04,-7.22191e-04,0.00000e+00,1.87579e+00,5.00000e-01,1.00000e+03,1,5.04000e-02,3.00000e-01,5.04000e-02,2.00000e-03
2.62857e-03,-4.15789e-04,-7.23666e-04,0.00000e+00,1.87478e+00,5.00000e-01,1.00000e+03,1,5.08000e-02,3.00000e-01,5.08000e-02,2.00000e-03
2.45381e-03,-4.23956e-04,-7.24910e-04,0.00000e+00,1.87376e+00,5.00000e-01,1.00000e+03,1,5.12000e-02,3.00000e-01,5.12000e-02,2.00000e-03
2.27776e-03,-4.32178e-04,-7.26205e-04,0.00000e+00,1.87274e+00,5.00000e-01,1.00000e+03,1,5.16000e-02,3.00000e-01,5.16000e-02,2.00000e-03
2.10041e-03,-4.40454e-04,-7.27553e-04,0.00000e+00,1.87172e+00,5.00000e-01,1.00000e+03,1,5.20000e-02,3.00000e-01,5.20000e-02,2.00000e-03
1.93218e-03,-4.48183e-04,-7.28521e-04,0.00000e+00,1.87070e+00,5.00000e-01,1.00000e+03,1,5.24000e-02,3.00000e-01,5.24000e-02,2.00000e-03
1.76263e-03,-4.55968e-04,-7.29544e-04,0.00000e+00,1.86968e+00,5.00000e-01,1.00000e+03,1,5.28000e-02,3.00000e-01,5.28000e-02,2.00000e-03
1.59177e-03,-4.63808e-04,-7.30621e-04,0.00000e+00,1.86866e+00,5.00000e-01,1.00000e+03,1,5.32000e-02,3.00000e-01,5.32000e-02,2.00000e-03
