p,-U:0,-U:1,-U:2,T,U:0,U:1,U:2,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.89359e-02,-1.71979e-04,-1.68241e-05,0.00000e+00,1.99829e+00,1.71979e-04,1.68241e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,0.00000e+00,3.00000e-01,0.00000e+00,2.00000e-03
-1.89436e-02,-1.27640e-04,-1.78763e-05,0.00000e+00,1.99780e+00,1.27640e-04,1.78763e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,4.00000e-04,3.00000e-01,4.00000e-04,2.00000e-03
-1.89515e-02,-8.30697e-05,-1.89221e-05,0.00000e+00,1.99731e+00,8.30697e-05,1.89221e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,8.00000e-04,3.00000e-01,8.00000e-04,2.00000e-03
-1.89597e-02,-3.82668e-05,-1.99615e-05,0.00000e+00,1.99683e+00,3.82668e-05,1.99615e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,1.20000e-03,3.00000e-01,1.20000e-03,2.00000e-03
-1.89628e-02,3.43153e-05,-2.55410e-05,0.00000e+00,1.99600e+00,-3.43153e-05,2.55410e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,1.60000e-03,3.00000e-01,1.60000e-03,2.00000e-03
-1.89636e-02,1.20887e-04,-3.33548e-05,0.00000e+00,1.99500e+00,-1.20887e-04,3.33548e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,2.00000e-03,3.00000e-01,2.00000e-03,2.00000e-03
-1.89645e-02,2.07672e-04,-4.11229e-05,0.00000e+00,1.99399e+00,-2.07672e-04,4.11229e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,2.40000e-03,3.00000e-01,2.40000e-03,2.00000e-03
-1.89685e-02,2.86474e-04,-4.92606e-05,0.00000e+00,1.99298e+00,-2.86474e-04,4.92606e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,2.80000e-03,3.00000e-01,2.80000e-03,2.00000e-03
-1.89785e-02,3.48901e-04,-5.81716e-05,0.00000e+00,1.99195e+00,-3.48901e-04,5.81716e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,3.20000e-03,3.00000e-01,3.20000e-03,2.00000e-03
-1.89886e-02,4.11243e-04,-6.70189e-05,0.00000e+00,1.99092e+00,-4.11243e-04,6.70189e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,3.60000e-03,3.00000e-01,3.60000e-03,2.00000e-03
-1.89989e-02,4.73502e-04,-7.58024e-05,0.00000e+00,1.98989e+00,-4.73502e-04,7.58024e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,4.00000e-03,3.00000e-01,4.00000e-03,2.00000e-03
-1.89883e-02,4.98619e-04,-8.26469e-05,0.00000e+00,1.98885e+00,-4.98619e-04,8.26469e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,4.40000e-03,3.00000e-01,4.40000e-03,2.00000e-03
-1.89779e-02,5.23631e-04,-8.94304e-05,0.00000e+00,1.98782e+00,-5.23631e-04,8.94304e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,4.80000e-03,3.00000e-01,4.80000e-03,2.00000e-03
-1.89676e-02,5.48538e-04,-9.61527e-05,0.00000e+00,1.98678e+00,-5.48538e-04,9.61527e-05,0.00000e+00,5.00000e-01,1.00000e+03,1,5.20000e-03,3.00000e-01,5.20000e-03,2.00000e-03
-1.89509e-02,5.59118e-04,-1.03079e-04,0.00000e+00,1.98574e+00,-5.59118e-04,1.03079e-04,0.00000e+00,5.00000e-01,1.00000e+03,1,5.60000e-03,3.00000e-01,5.60000e-03,2.00000e-03
-1.89313e-02,5.62548e-04,-1.10076e-04,0.00000e+00,1.98469e+00,-5.62548e-04,1.10076e-04,0.00000e+00,5.00000e-01,1.00000e+03,1,6.00000e-03,3.00000e-01,6.00000e-03,2.00000e-03
