p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.81054e-02,-2.10145e-04,-1.26671e-05,0.00000e+00,1.99830e+00,5.00000e-01,1.00000e+03,1,0.00000e+00,3.00000e-01,0.00000e+00,2.00000e-03
1.81203e-02,-1.77778e-04,-1.44443e-05,0.00000e+00,1.99783e+00,5.00000e-01,1.00000e+03,1,4.00000e-04,3.00000e-01,4.00000e-04,2.00000e-03
1.81354e-02,-1.45182e-04,-1.62160e-05,0.00000e+00,1.99735e+00,5.00000e-01,1.00000e+03,1,8.00000e-04,3.00000e-01,8.00000e-04,2.00000e-03
1.81507e-02,-1.12356e-04,-1.79823e-05,0.00000e+00,1.99688e+00,5.00000e-01,1.00000e+03,1,1.20000e-03,3.00000e-01,1.20000e-03,2.00000e-03
1.81392e-02,-5.60227e-05,-2.32206e-05,0.00000e+00,1.99607e+00,5.00000e-01,1.00000e+03,1,1.60000e-03,3.00000e-01,1.60000e-03,2.00000e-03
1.81144e-02,1.21909e-05,-3.01703e-05,0.00000e+00,1.99510e+00,5.00000e-01,1.00000e+03,1,2.00000e-03,3.00000e-01,2.00000e-03,2.00000e-03
1.80898e-02,8.06477e-05,-3.70881e-05,0.00000e+00,1.99414e+00,5.00000e-01,1.00000e+03,1,2.40000e-03,3.00000e-01,2.40000e-03,2.00000e-03
1.80668e-02,1.44317e-04,-4.44983e-05,0.00000e+00,1.99317e+00,5.00000e-01,1.00000e+03,1,2.80000e-03,3.00000e-01,2.80000e-03,2.00000e-03
1.80469e-02,1.97993e-04,-5.29153e-05,0.00000e+00,1.99219e+00,5.00000e-01,1.00000e+03,1,3.20000e-03,3.00000e-01,3.20000e-03,2.00000e-03
1.80271e-02,2.51648e-04,-6.12848e-05,0.00000e+00,1.99122e+00,5.00000e-01,1.00000e+03,1,3.60000e-03,3.00000e-01,3.60000e-03,2.00000e-03
1.80073e-02,3.05281e-04,-6.96069e-05,0.00000e+00,1.99024e+00,5.00000e-01,1.00000e+03,1,4.00000e-03,3.00000e-01,4.00000e-03,2.00000e-03
1.79719e-02,3.27159e-04,-7.67844e-05,0.00000e+00,1.98927e+00,5.00000e-01,1.00000e+03,1,4.40000e-03,3.00000e-01,4.40000e-03,2.00000e-03
1.79366e-02,3.48974e-04,-8.39144e-05,0.00000e+00,1.98830e+00,5.00000e-01,1.00000e+03,1,4.80000e-03,3.00000e-01,4.80000e-03,2.00000e-03
1.79013e-02,3.70726e-04,-9.09968e-05,0.00000e+00,1.98732e+00,5.00000e-01,1.00000e+03,1,5.20000e-03,3.00000e-01,5.20000e-03,2.00000e-03
1.78608e-02,3.79521e-04,-9.80875e-05,0.00000e+00,1.98635e+00,5.00000e-01,1.00000e+03,1,5.60000e-03,3.00000e-01,5.60000e-03,2.00000e-03
1.78179e-02,3.81842e-04,-1.05158e-04,0.00000e+00,1.98537e+00,5.00000e-01,1.00000e+03,1,6.00000e-03,3.00000e-01,6.00000e-03,2.00000e-03
1.77750e-02,3.84126e-04,-1.12177e-04,0.00000e+00,1.98439e+00,5.00000e-01,1.00000e+03,1,6.40000e-03,3.00000e-01,6.40000e-03,2.00000e-03
1.77297e-02,3.84115e-04,-1.19048e-04,0.00000e+00,1.98342e+00,5.00000e-01,1.00000e+03,1,6.80000e-03,3.00000e-01,6.80000e-03,2.00000e-03
1.76795e-02,3.79572e-04,-1.25672e-04,0.00000e+00,1.98244e+00,5.00000e-01,1.00000e+03,1,7.20000e-03,3.00000e-01,7.20000e-03,2.00000e-03
