x_velocity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.00000e+00,1,0.00000e+00,3.00000e+01,0.00000e+00,0.00000e+00
-1.13924e-02,1,4.00000e-02,3.00000e+01,4.00000e-02,0.00000e+00
-1.09502e-02,1,8.00000e-02,3.00000e+01,8.00000e-02,0.00000e+00
-5.80804e-03,1,1.20000e-01,3.00000e+01,1.20000e-01,0.00000e+00
-5.64036e-04,1,1.60000e-01,3.00000e+01,1.60000e-01,0.00000e+00
9.58665e-03,1,2.00000e-01,3.00000e+01,2.00000e-01,0.00000e+00
2.01926e-02,1,2.40000e-01,3.00000e+01,2.40000e-01,0.00000e+00
3.08154e-02,1,2.80000e-01,3.00000e+01,2.80000e-01,0.00000e+00
4.09437e-02,1,3.20000e-01,3.00000e+01,3.20000e-01,0.00000e+00
4.60867e-02,1,3.60000e-01,3.00000e+01,3.60000e-01,0.00000e+00
5.12192e-02,1,4.00000e-01,3.00000e+01,4.00000e-01,0.00000e+00
5.63412e-02,1,4.40000e-01,3.00000e+01,4.40000e-01,0.00000e+00
6.14527e-02,1,4.80000e-01,3.00000e+01,4.80000e-01,0.00000e+00
6.23705e-02,1,5.20000e-01,3.00000e+01,5.20000e-01,0.00000e+00
6.28516e-02,1,5.60000e-01,3.00000e+01,5.60000e-01,0.00000e+00
6.33249e-02,1,6.00000e-01,3.00000e+01,6.00000e-01,0.00000e+00
6.36813e-02,1,6.40000e-01,3.00000e+01,6.40000e-01,0.00000e+00
6.28266e-02,1,6.80000e-01,3.00000e+01,6.80000e-01,0.00000e+00
6.19683e-02,1,7.20000e-01,3.00000e+01,7.20000e-01,0.00000e+00
6.10591e-02,1,7.60000e-01,3.00000e+01,7.60000e-01,0.00000e+00
6.00010e-02,1,8.00000e-01,3.00000e+01,8.00000e-01,0.00000e+00
5.90002e-02,1,8.40000e-01,3.00000e+01,8.40000e-01,0.00000e+00
5.80165e-02,1,8.80000e-01,3.00000e+01,8.80000e-01,0.00000e+00
5.72462e-02,1,9.20000e-01,3.00000e+01,9.20000e-01,0.00000e+00
5.64757e-02,1,9.60000e-01,3.00000e+01,9.60000e-01,0.00000e+00
5.57047e-02,1,1.00000e+00,3.00000e+01,1.00000e+00,0.00000e+00
5.49335e-02,1,1.04000e+00,3.00000e+01,1.04000e+00,0.00000e+00
5.43588e-02,1,1.08000e+00,3.00000e+01,1.08000e+00,0.00000e+00
5.38116e-02,1,1.12000e+00,3.00000e+01,1.12000e+00,0.00000e+00
5.32636e-02,1,1.16000e+00,3.00000e+01,1.16000e+00,0.00000e+00
5.27150e-02,1,1.20000e+00,3.00000e+01,1.20000e+00,0.00000e+00
5.21657e-02,1,1.24000e+00,3.00000e+01,1.24000e+00,0.00000e+00
5.16127e-02,1,1.28000e+00,3.00000e+01,1.28000e+00,0.00000e+00
5.10399e-02,1,1.32000e+00,3.00000e+01,1.32000e+00,0.00000e+00
5.04660e-02,1,1.36000e+00,3.00000e+01,1.36000e+00,0.00000e+00
4.98908e-02,1,1.40000e+00,3.00000e+01,1.40000e+00,0.00000e+00
4.93143e-02,1,1.44000e+00,3.00000e+01,1.44000e+00,0.00000e+00
4.87367e-02,1,1.48000e+00,3.00000e+01,1.48000e+00,0.00000e+00
4.81578e-02,1,1.52000e+00,3.00000e+01,1.52000e+00,0.00000e+00
4.74667e-02,1,1.56000e+00,3.00000e+01,1.56000e+00,0.00000e+00
4.67560e-02,1,1.60000e+00,3.00000e+01,1.60000e+00,0.00000e+00
4.60435e-02,1,1.64000e+00,3.00000e+01,1.64000e+00,0.00000e+00
4.53293e-02,1,1.68000e+00,3.00000e+01,1.68000e+00,0.00000e+00
4.46134e-02,1,1.72000e+00,3.00000e+01,1.72000e+00,0.00000e+00
4.38843e-02,1,1.76000e+00,3.00000e+01,1.76000e+00,0.00000e+00
4.30723e-02,1,1.80000e+00,3.00000e+01,1.80000e+00,0.00000e+00
4.22580e-02,1,1.84000e+00,3.00000e+01,1.84000e+00,0.00000e+00
4.14415e-02,1,1.88000e+00,3.00000e+01,1.88000e+00,0.00000e+00
4.06228e-02,1,1.92000e+00,3.00000e+01,1.92000e+00,0.00000e+00
3.97557e-02,1,1.96000e+00,3.00000e+01,1.96000e+00,0.00000e+00
3.88821e-02,1,2.00000e+00,3.00000e+01,2.00000e+00,0.00000e+00
3.79678e-02,1,2.04000e+00,3.00000e+01,2.04000e+00,0.00000e+00
3.70506e-02,1,2.08000e+00,3.00000e+01,2.08000e+00,0.00000e+00
3.61303e-02,1,2.12000e+00,3.00000e+01,2.12000e+00,0.00000e+00
3.51576e-02,1,2.16000e+00,3.00000e+01,2.16000e+00,0.00000e+00
3.41684e-02,1,2.20000e+00,3.00000e+01,2.20000e+00,0.00000e+00
3.31756e-02,1,2.24000e+00,3.00000e+01,2.24000e+00,0.00000e+00
3.21792e-02,1,2.28000e+00,3.00000e+01,2.28000e+00,0.00000e+00
3.11792e-02,1,2.32000e+00,3.00000e+01,2.32000e+00,0.00000e+00
3.01755e-02,1,2.36000e+00,3.00000e+01,2.36000e+00,0.00000e+00
2.91681e-02,1,2.40000e+00,3.00000e+01,2.40000e+00,0.00000e+00
2.80794e-02,1,2.44000e+00,3.00000e+01,2.44000e+00,0.00000e+00
2.69726e-02,1,2.48000e+00,3.00000e+01,2.48000e+00,0.00000e+00
2.58630e-02,1,2.52000e+00,3.00000e+01,2.52000e+00,0.00000e+00
2.47507e-02,1,2.56000e+00,3.00000e+01,2.56000e+00,0.00000e+00
2.36355e-02,1,2.60000e+00,3.00000e+01,2.60000e+00,0.00000e+00
2.25176e-02,1,2.64000e+00,3.00000e+01,2.64000e+00,0.00000e+00
2.13969e-02,1,2.68000e+00,3.00000e+01,2.68000e+00,0.00000e+00
2.02734e-02,1,2.72000e+00,3.00000e+01,2.72000e+00,0.00000e+00
1.91472e-02,1,2.76000e+00,3.00000e+01,2.76000e+00,0.00000e+00
1.80082e-02,1,2.80000e+00,3.00000e+01,2.80000e+00,0.00000e+00
1.68330e-02,1,2.84000e+00,3.00000e+01,2.84000e+00,0.00000e+00
1.56539e-02,1,2.88000e+00,3.00000e+01,2.88000e+00,0.00000e+00
1.44709e-02,1,2.92000e+00,3.00000e+01,2.92000e+00,0.00000e+00
1.32839e-02,1,2.96000e+00,3.00000e+01,2.96000e+00,0.00000e+00
1.20931e-02,1,3.00000e+00,3.00000e+01,3.00000e+00,0.00000e+00
1.08983e-02,1,3.04000e+00,3.00000e+01,3.04000e+00,0.00000e+00
9.69958e-03,1,3.08000e+00,3.00000e+01,3.08000e+00,0.00000e+00
8.49693e-03,1,3.12000e+00,3.00000e+01,3.12000e+00,0.00000e+00
7.29033e-03,1,3.16000e+00,3.00000e+01,3.16000e+00,0.00000e+00
6.07979e-03,1,3.20000e+00,3.00000e+01,3.20000e+00,0.00000e+00
4.87007e-03,1,3.24000e+00,3.00000e+01,3.24000e+00,0.00000e+00
3.65694e-03,1,3.28000e+00,3.00000e+01,3.28000e+00,0.00000e+00
2.43882e-03,1,3.32000e+00,3.00000e+01,3.32000e+00,0.00000e+00
1.21571e-03,1,3.36000e+00,3.00000e+01,3.36000e+00,0.00000e+00
-1.24047e-05,1,3.40000e+00,3.00000e+01,3.40000e+00,0.00000e+00
-1.24551e-03,1,3.44000e+00,3.00000e+01,3.44000e+00,0.00000e+00
-2.48362e-03,1,3.48000e+00,3.00000e+01,3.48000e+00,0.00000e+00
-3.72674e-03,1,3.52000e+00,3.00000e+01,3.52000e+00,0.00000e+00
-4.97488e-03,1,3.56000e+00,3.00000e+01,3.56000e+00,0.00000e+00
-6.21901e-03,1,3.60000e+00,3.00000e+01,3.60000e+00,0.00000e+00
-7.43410e-03,1,3.64000e+00,3.00000e+01,3.64000e+00,0.00000e+00
-8.65498e-03,1,3.68000e+00,3.00000e+01,3.68000e+00,0.00000e+00
-9.88164e-03,1,3.72000e+00,3.00000e+01,3.72000e+00,0.00000e+00
-1.11141e-02,1,3.76000e+00,3.00000e+01,3.76000e+00,0.00000e+00
-1.23524e-02,1,3.80000e+00,3.00000e+01,3.80000e+00,0.00000e+00
-1.35964e-02,1,3.84000e+00,3.00000e+01,3.84000e+00,0.00000e+00
-1.48373e-02,1,3.88000e+00,3.00000e+01,3.88000e+00,0.00000e+00
-1.60496e-02,1,3.92000e+00,3.00000e+01,3.92000e+00,0.00000e+00
-1.72681e-02,1,3.96000e+00,3.00000e+01,3.96000e+00,0.00000e+00
-1.84929e-02,1,4.00000e+00,3.00000e+01,4.00000e+00,0.00000e+00
-1.96896e-02,1,4.04000e+00,3.00000e+01,4.04000e+00,0.00000e+00
-2.08928e-02,1,4.08000e+00,3.00000e+01,4.08000e+00,0.00000e+00
-2.21024e-02,1,4.12000e+00,3.00000e+01,4.12000e+00,0.00000e+00
-2.32667e-02,1,4.16000e+00,3.00000e+01,4.16000e+00,0.00000e+00
-2.44242e-02,1,4.20000e+00,3.00000e+01,4.20000e+00,0.00000e+00
-2.55885e-02,1,4.24000e+00,3.00000e+01,4.24000e+00,0.00000e+00
-2.67597e-02,1,4.28000e+00,3.00000e+01,4.28000e+00,0.00000e+00
-2.79376e-02,1,4.32000e+00,3.00000e+01,4.32000e+00,0.00000e+00
-2.91224e-02,1,4.36000e+00,3.00000e+01,4.36000e+00,0.00000e+00
-3.03139e-02,1,4.40000e+00,3.00000e+01,4.40000e+00,0.00000e+00
-3.14100e-02,1,4.44000e+00,3.00000e+01,4.44000e+00,0.00000e+00
-3.24864e-02,1,4.48000e+00,3.00000e+01,4.48000e+00,0.00000e+00
-3.35700e-02,1,4.52000e+00,3.00000e+01,4.52000e+00,0.00000e+00
-3.46607e-02,1,4.56000e+00,3.00000e+01,4.56000e+00,0.00000e+00
-3.57317e-02,1,4.60000e+00,3.00000e+01,4.60000e+00,0.00000e+00
-3.68056e-02,1,4.64000e+00,3.00000e+01,4.64000e+00,0.00000e+00
-3.78852e-02,1,4.68000e+00,3.00000e+01,4.68000e+00,0.00000e+00
-3.89703e-02,1,4.72000e+00,3.00000e+01,4.72000e+00,0.00000e+00
