Result,U:0,U:1,U:2,SA,p_rgh,rhok,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-2.91687e-05,2.91687e-05,9.83489e-07,-3.41579e-20,1.99728e+00,-2.47769e-05,9.20109e-01,1,0.00000e+00,3.00000e-01,0.00000e+00,2.00000e-03
-2.63372e-06,2.63372e-06,4.58041e-06,-8.60915e-20,1.99672e+00,-2.46495e-05,9.20131e-01,1,4.00000e-04,3.00000e-01,4.00000e-04,2.00000e-03
2.43628e-05,-2.43628e-05,8.17352e-06,-1.40286e-19,1.99616e+00,-2.45228e-05,9.20154e-01,1,8.00000e-04,3.00000e-01,8.00000e-04,2.00000e-03
5.18214e-05,-5.18214e-05,1.17628e-05,-1.96743e-19,1.99560e+00,-2.43969e-05,9.20176e-01,1,1.20000e-03,3.00000e-01,1.20000e-03,2.00000e-03
1.04670e-04,-1.04670e-04,1.69917e-05,-2.21078e-19,1.99470e+00,-2.42003e-05,9.20212e-01,1,1.60000e-03,3.00000e-01,1.60000e-03,2.00000e-03
1.70189e-04,-1.70189e-04,2.30172e-05,-2.28681e-19,1.99362e+00,-2.39685e-05,9.20255e-01,1,2.00000e-03,3.00000e-01,2.00000e-03,2.00000e-03
2.35864e-04,-2.35864e-04,2.90133e-05,-2.36384e-19,1.99255e+00,-2.37373e-05,9.20298e-01,1,2.40000e-03,3.00000e-01,2.40000e-03,2.00000e-03
2.93881e-04,-2.93881e-04,3.49044e-05,-2.20838e-19,1.99149e+00,-2.35036e-05,9.20340e-01,1,2.80000e-03,3.00000e-01,2.80000e-03,2.00000e-03
3.36285e-04,-3.36285e-04,4.06028e-05,-1.56150e-19,1.99048e+00,-2.32643e-05,9.20381e-01,1,3.20000e-03,3.00000e-01,3.20000e-03,2.00000e-03
3.78631e-04,-3.78631e-04,4.62534e-05,-8.77426e-20,1.98948e+00,-2.30253e-05,9.20421e-01,1,3.60000e-03,3.00000e-01,3.60000e-03,2.00000e-03
4.20918e-04,-4.20918e-04,5.18563e-05,-1.56111e-20,1.98847e+00,-2.27865e-05,9.20461e-01,1,4.00000e-03,3.00000e-01,4.00000e-03,2.00000e-03
4.35386e-04,-4.35386e-04,5.70284e-05,-8.55870e-21,1.98748e+00,-2.25589e-05,9.20501e-01,1,4.40000e-03,3.00000e-01,4.40000e-03,2.00000e-03
4.49781e-04,-4.49781e-04,6.21583e-05,2.51631e-22,1.98650e+00,-2.23316e-05,9.20540e-01,1,4.80000e-03,3.00000e-01,4.80000e-03,2.00000e-03
4.64101e-04,-4.64101e-04,6.72459e-05,1.08217e-20,1.98551e+00,-2.21046e-05,9.20579e-01,1,5.20000e-03,3.00000e-01,5.20000e-03,2.00000e-03
4.68427e-04,-4.68427e-04,7.19943e-05,-1.57270e-22,1.98453e+00,-2.18852e-05,9.20619e-01,1,5.60000e-03,3.00000e-01,5.60000e-03,2.00000e-03
4.67760e-04,-4.67760e-04,7.65498e-05,-2.04161e-20,1.98354e+00,-2.16700e-05,9.20658e-01,1,6.00000e-03,3.00000e-01,6.00000e-03,2.00000e-03
