p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-2.19260e-05,-1.64416e-04,5.13243e-05,0.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,0.00000e+00
-2.15145e-05,-1.66472e-04,5.16003e-05,1.70843e-24,1,1.00008e-03,5.00966e-01,2.58819e-04,1.00000e-05
-2.11031e-05,-1.68527e-04,5.18763e-05,3.41681e-24,1,2.00009e-03,5.01932e-01,5.17638e-04,2.00000e-05
-2.06917e-05,-1.70583e-04,5.21523e-05,5.12524e-24,1,3.00017e-03,5.02898e-01,7.76457e-04,3.00000e-05
-2.02803e-05,-1.72639e-04,5.24283e-05,6.83362e-24,1,4.00019e-03,5.03864e-01,1.03528e-03,4.00000e-05
-1.98688e-05,-1.74694e-04,5.27043e-05,8.54205e-24,1,5.00027e-03,5.04830e-01,1.29410e-03,5.00000e-05
-1.94574e-05,-1.76750e-04,5.29803e-05,1.02504e-23,1,6.00028e-03,5.05796e-01,1.55291e-03,6.00000e-05
-1.90460e-05,-1.78806e-04,5.32563e-05,1.19589e-23,1,7.00036e-03,5.06761e-01,1.81173e-03,7.00000e-05
-1.86345e-05,-1.80861e-04,5.35323e-05,1.36672e-23,1,8.00038e-03,5.07727e-01,2.07055e-03,8.00000e-05
-1.82231e-05,-1.82917e-04,5.38083e-05,1.53757e-23,1,9.00046e-03,5.08693e-01,2.32937e-03,9.00000e-05
-1.78117e-05,-1.84972e-04,5.40843e-05,1.70841e-23,1,1.00005e-02,5.09659e-01,2.58819e-03,1.00000e-04
-1.74002e-05,-1.87028e-04,5.43603e-05,1.87925e-23,1,1.10005e-02,5.10625e-01,2.84701e-03,1.10000e-04
-1.69888e-05,-1.89084e-04,5.46364e-05,2.05009e-23,1,1.20006e-02,5.11591e-01,3.10583e-03,1.20000e-04
-1.65774e-05,-1.91139e-04,5.49123e-05,2.22093e-23,1,1.30006e-02,5.12557e-01,3.36465e-03,1.30000e-04
-1.61659e-05,-1.93195e-04,5.51884e-05,2.39177e-23,1,1.40007e-02,5.13523e-01,3.62347e-03,1.40000e-04
-1.57545e-05,-1.95250e-04,5.54643e-05,2.56261e-23,1,1.50007e-02,5.14489e-01,3.88229e-03,1.50000e-04
-1.53431e-05,-1.97306e-04,5.57404e-05,2.73345e-23,1,1.60008e-02,5.15455e-01,4.14110e-03,1.60000e-04
-1.49317e-05,-1.99362e-04,5.60163e-05,2.90429e-23,1,1.70008e-02,5.16421e-01,4.39992e-03,1.70000e-04
-1.45202e-05,-2.01417e-04,5.62924e-05,3.07513e-23,1,1.80009e-02,5.17387e-01,4.65874e-03,1.80000e-04
-1.41088e-05,-2.03473e-04,5.65683e-05,3.24597e-23,1,1.90009e-02,5.18353e-01,4.91756e-03,1.90000e-04
-1.36974e-05,-2.05528e-04,5.68444e-05,3.41682e-23,1,2.00010e-02,5.19319e-01,5.17638e-03,2.00000e-04
-1.32859e-05,-2.07584e-04,5.71203e-05,3.58765e-23,1,2.10010e-02,5.20284e-01,5.43520e-03,2.10000e-04
-1.28745e-05,-2.09640e-04,5.73964e-05,3.75850e-23,1,2.20011e-02,5.21250e-01,5.69402e-03,2.20000e-04
-1.24631e-05,-2.11695e-04,5.76724e-05,3.92934e-23,1,2.30012e-02,5.22216e-01,5.95284e-03,2.30000e-04
-1.20516e-05,-2.13751e-04,5.79484e-05,4.10018e-23,1,2.40012e-02,5.23182e-01,6.21166e-03,2.40000e-04
-1.16402e-05,-2.15807e-04,5.82244e-05,4.27102e-23,1,2.50013e-02,5.24148e-01,6.47048e-03,2.50000e-04
-1.12288e-05,-2.17862e-04,5.85004e-05,4.44186e-23,1,2.60013e-02,5.25114e-01,6.72930e-03,2.60000e-04
-1.08173e-05,-2.19918e-04,5.87764e-05,4.61270e-23,1,2.70014e-02,5.26080e-01,6.98811e-03,2.70000e-04
-1.04059e-05,-2.21973e-04,5.90524e-05,4.78354e-23,1,2.80014e-02,5.27046e-01,7.24693e-03,2.80000e-04
-9.99449e-06,-2.24029e-04,5.93284e-05,4.95438e-23,1,2.90015e-02,5.28012e-01,7.50575e-03,2.90000e-04
-9.58307e-06,-2.26085e-04,5.96044e-05,5.12522e-23,1,3.00015e-02,5.28978e-01,7.76457e-03,3.00000e-04
-9.17163e-06,-2.28140e-04,5.98804e-05,5.29606e-23,1,3.10016e-02,5.29944e-01,8.02339e-03,3.10000e-04
-8.76021e-06,-2.30196e-04,6.01564e-05,5.46690e-23,1,3.20016e-02,5.30910e-01,8.28221e-03,3.20000e-04
-8.34877e-06,-2.32251e-04,6.04324e-05,5.63774e-23,1,3.30017e-02,5.31876e-01,8.54103e-03,3.30000e-04
-7.93733e-06,-2.34307e-04,6.07084e-05,5.80859e-23,1,3.40017e-02,5.32842e-01,8.79985e-03,3.40000e-04
-7.52591e-06,-2.36363e-04,6.09844e-05,5.97943e-23,1,3.50017e-02,5.33807e-01,9.05867e-03,3.50000e-04
-7.11447e-06,-2.38418e-04,6.12604e-05,6.15027e-23,1,3.60018e-02,5.34773e-01,9.31749e-03,3.60000e-04
-6.70306e-06,-2.40474e-04,6.15364e-05,6.32111e-23,1,3.70018e-02,5.35739e-01,9.57630e-03,3.70000e-04
-6.29161e-06,-2.42530e-04,6.18124e-05,6.49195e-23,1,3.80019e-02,5.36705e-01,9.83512e-03,3.80000e-04
-5.88020e-06,-2.44585e-04,6.20884e-05,6.66279e-23,1,3.90019e-02,5.37671e-01,1.00939e-02,3.90000e-04
-5.46875e-06,-2.46641e-04,6.23644e-05,6.83363e-23,1,4.00020e-02,5.38637e-01,1.03528e-02,4.00000e-04
-5.05734e-06,-2.48696e-04,6.26404e-05,7.00447e-23,1,4.10020e-02,5.39603e-01,1.06116e-02,4.10000e-04
