p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-3.07808e-04,-6.23579e-04,-2.68360e-04,6.11245e-22,1,0.00000e+00,4.33013e-01,2.50000e-01,5.00000e-03
-3.01262e-04,-6.35067e-04,-2.83535e-04,6.00907e-22,1,9.99987e-04,4.34013e-01,2.50000e-01,5.00000e-03
-2.94715e-04,-6.46555e-04,-2.98710e-04,5.90569e-22,1,2.00000e-03,4.35013e-01,2.50000e-01,5.00000e-03
-2.88169e-04,-6.58043e-04,-3.13884e-04,5.80231e-22,1,2.99999e-03,4.36013e-01,2.50000e-01,5.00000e-03
-2.81623e-04,-6.69531e-04,-3.29059e-04,5.69893e-22,1,4.00001e-03,4.37013e-01,2.50000e-01,5.00000e-03
-2.75076e-04,-6.81019e-04,-3.44233e-04,5.59555e-22,1,5.00000e-03,4.38013e-01,2.50000e-01,5.00000e-03
-2.68530e-04,-6.92507e-04,-3.59408e-04,5.49216e-22,1,6.00001e-03,4.39013e-01,2.50000e-01,5.00000e-03
-2.61984e-04,-7.03995e-04,-3.74583e-04,5.38879e-22,1,7.00000e-03,4.40013e-01,2.50000e-01,5.00000e-03
-2.55438e-04,-7.15483e-04,-3.89757e-04,5.28541e-22,1,7.99999e-03,4.41013e-01,2.50000e-01,5.00000e-03
-2.48891e-04,-7.26971e-04,-4.04932e-04,5.18202e-22,1,9.00000e-03,4.42013e-01,2.50000e-01,5.00000e-03
-2.42345e-04,-7.38459e-04,-4.20107e-04,5.07865e-22,1,9.99999e-03,4.43013e-01,2.50000e-01,5.00000e-03
-2.35798e-04,-7.49947e-04,-4.35281e-04,4.97526e-22,1,1.10000e-02,4.44013e-01,2.50000e-01,5.00000e-03
-2.29252e-04,-7.61435e-04,-4.50456e-04,4.87188e-22,1,1.20000e-02,4.45013e-01,2.50000e-01,5.00000e-03
-2.22706e-04,-7.72923e-04,-4.65631e-04,4.76850e-22,1,1.30000e-02,4.46013e-01,2.50000e-01,5.00000e-03
-2.16160e-04,-7.84411e-04,-4.80805e-04,4.66512e-22,1,1.40000e-02,4.47013e-01,2.50000e-01,5.00000e-03
-2.09613e-04,-7.95899e-04,-4.95980e-04,4.56174e-22,1,1.50000e-02,4.48013e-01,2.50000e-01,5.00000e-03
-2.03067e-04,-8.07387e-04,-5.11155e-04,4.45836e-22,1,1.60000e-02,4.49013e-01,2.50000e-01,5.00000e-03
-1.96521e-04,-8.18875e-04,-5.26329e-04,4.35498e-22,1,1.70000e-02,4.50013e-01,2.50000e-01,5.00000e-03
-1.89974e-04,-8.30363e-04,-5.41504e-04,4.25160e-22,1,1.80000e-02,4.51013e-01,2.50000e-01,5.00000e-03
-1.83428e-04,-8.41851e-04,-5.56678e-04,4.14822e-22,1,1.90000e-02,4.52013e-01,2.50000e-01,5.00000e-03
-1.76882e-04,-8.53339e-04,-5.71853e-04,4.04484e-22,1,2.00000e-02,4.53013e-01,2.50000e-01,5.00000e-03
-1.70335e-04,-8.64827e-04,-5.87028e-04,3.94146e-22,1,2.10000e-02,4.54013e-01,2.50000e-01,5.00000e-03
-1.63789e-04,-8.76315e-04,-6.02203e-04,3.83808e-22,1,2.20000e-02,4.55013e-01,2.50000e-01,5.00000e-03
-1.57243e-04,-8.87803e-04,-6.17377e-04,3.73470e-22,1,2.30000e-02,4.56013e-01,2.50000e-01,5.00000e-03
-1.50697e-04,-8.99290e-04,-6.32552e-04,3.63132e-22,1,2.40000e-02,4.57013e-01,2.50000e-01,5.00000e-03
-1.44150e-04,-9.10779e-04,-6.47727e-04,3.52794e-22,1,2.50000e-02,4.58013e-01,2.50000e-01,5.00000e-03
-1.37604e-04,-9.22267e-04,-6.62901e-04,3.42456e-22,1,2.60000e-02,4.59013e-01,2.50000e-01,5.00000e-03
-1.31057e-04,-9.33755e-04,-6.78076e-04,3.32118e-22,1,2.70000e-02,4.60013e-01,2.50000e-01,5.00000e-03
-1.24511e-04,-9.45243e-04,-6.93250e-04,3.21780e-22,1,2.80000e-02,4.61013e-01,2.50000e-01,5.00000e-03
-1.17965e-04,-9.56731e-04,-7.08425e-04,3.11442e-22,1,2.90000e-02,4.62013e-01,2.50000e-01,5.00000e-03
-1.11419e-04,-9.68219e-04,-7.23600e-04,3.01104e-22,1,3.00000e-02,4.63013e-01,2.50000e-01,5.00000e-03
-1.04872e-04,-9.79706e-04,-7.38774e-04,2.90766e-22,1,3.10000e-02,4.64013e-01,2.50000e-01,5.00000e-03
-9.83260e-05,-9.91195e-04,-7.53949e-04,2.80428e-22,1,3.20000e-02,4.65013e-01,2.50000e-01,5.00000e-03
-9.17797e-05,-1.00268e-03,-7.69124e-04,2.70090e-22,1,3.30000e-02,4.66013e-01,2.50000e-01,5.00000e-03
-8.52333e-05,-1.01417e-03,-7.84298e-04,2.59751e-22,1,3.40000e-02,4.67013e-01,2.50000e-01,5.00000e-03
-7.86871e-05,-1.02566e-03,-7.99473e-04,2.49414e-22,1,3.50000e-02,4.68013e-01,2.50000e-01,5.00000e-03
