p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.86503e-07,2.54866e-07,-3.56881e-08,-1.38584e-25,1,0.00000e+00,5.00000e-01,0.00000e+00,0.00000e+00
-1.91660e-07,2.63739e-07,-3.43649e-08,-1.17926e-25,1,1.00008e-03,5.00966e-01,2.58819e-04,1.00000e-05
-1.96816e-07,2.72612e-07,-3.30417e-08,-9.72674e-26,1,2.00009e-03,5.01932e-01,5.17638e-04,2.00000e-05
-2.01973e-07,2.81484e-07,-3.17185e-08,-7.66087e-26,1,3.00017e-03,5.02898e-01,7.76457e-04,3.00000e-05
-2.07130e-07,2.90357e-07,-3.03953e-08,-5.59505e-26,1,4.00019e-03,5.03864e-01,1.03528e-03,4.00000e-05
-2.12287e-07,2.99230e-07,-2.90721e-08,-3.52919e-26,1,5.00027e-03,5.04830e-01,1.29410e-03,5.00000e-05
-2.17443e-07,3.08103e-07,-2.77489e-08,-1.46336e-26,1,6.00028e-03,5.05796e-01,1.55291e-03,6.00000e-05
-2.22600e-07,3.16976e-07,-2.64257e-08,6.02497e-27,1,7.00036e-03,5.06761e-01,1.81173e-03,7.00000e-05
-2.27756e-07,3.25849e-07,-2.51025e-08,2.66833e-26,1,8.00038e-03,5.07727e-01,2.07055e-03,8.00000e-05
-2.32913e-07,3.34721e-07,-2.37793e-08,4.73418e-26,1,9.00046e-03,5.08693e-01,2.32937e-03,9.00000e-05
-2.38069e-07,3.43595e-07,-2.24561e-08,6.80001e-26,1,1.00005e-02,5.09659e-01,2.58819e-03,1.00000e-04
-2.43226e-07,3.52467e-07,-2.11329e-08,8.86587e-26,1,1.10005e-02,5.10625e-01,2.84701e-03,1.10000e-04
-2.48383e-07,3.61340e-07,-1.98096e-08,1.09317e-25,1,1.20006e-02,5.11591e-01,3.10583e-03,1.20000e-04
-2.55651e-07,3.61273e-07,-1.53816e-08,1.15064e-25,1,1.30006e-02,5.12557e-01,3.36465e-03,1.30000e-04
-2.65030e-07,3.52267e-07,-7.84858e-09,1.05900e-25,1,1.40007e-02,5.13523e-01,3.62347e-03,1.40000e-04
-2.74409e-07,3.43261e-07,-3.15677e-10,9.67355e-26,1,1.50007e-02,5.14489e-01,3.88229e-03,1.50000e-04
-2.83788e-07,3.34255e-07,7.21734e-09,8.75713e-26,1,1.60008e-02,5.15455e-01,4.14110e-03,1.60000e-04
-2.93167e-07,3.25249e-07,1.47502e-08,7.84069e-26,1,1.70008e-02,5.16421e-01,4.39992e-03,1.70000e-04
-3.02546e-07,3.16243e-07,2.22832e-08,6.92426e-26,1,1.80009e-02,5.17387e-01,4.65874e-03,1.80000e-04
-3.11925e-07,3.07237e-07,2.98161e-08,6.00783e-26,1,1.90009e-02,5.18353e-01,4.91756e-03,1.90000e-04
-3.21304e-07,2.98231e-07,3.73491e-08,5.09140e-26,1,2.00010e-02,5.19319e-01,5.17638e-03,2.00000e-04
-3.30683e-07,2.89225e-07,4.48819e-08,4.17497e-26,1,2.10010e-02,5.20284e-01,5.43520e-03,2.10000e-04
-3.40062e-07,2.80219e-07,5.24150e-08,3.25854e-26,1,2.20011e-02,5.21250e-01,5.69402e-03,2.20000e-04
-3.49441e-07,2.71212e-07,5.99480e-08,2.34212e-26,1,2.30012e-02,5.22216e-01,5.95284e-03,2.30000e-04
-3.58820e-07,2.62207e-07,6.74808e-08,1.42568e-26,1,2.40012e-02,5.23182e-01,6.21166e-03,2.40000e-04
-3.68199e-07,2.53200e-07,7.50139e-08,5.09251e-27,1,2.50013e-02,5.24148e-01,6.47048e-03,2.50000e-04
-3.75526e-07,1.74187e-07,1.00146e-07,-1.00226e-26,1,2.60013e-02,5.25114e-01,6.72930e-03,2.60000e-04
-3.82852e-07,9.51714e-08,1.25278e-07,-2.51376e-26,1,2.70014e-02,5.26080e-01,6.98811e-03,2.70000e-04
-3.90179e-07,1.61583e-08,1.50410e-07,-4.02527e-26,1,2.80014e-02,5.27046e-01,7.24693e-03,2.80000e-04
-3.97505e-07,-6.28572e-08,1.75543e-07,-5.53678e-26,1,2.90015e-02,5.28012e-01,7.50575e-03,2.90000e-04
-4.04831e-07,-1.41870e-07,2.00675e-07,-7.04829e-26,1,3.00015e-02,5.28978e-01,7.76457e-03,3.00000e-04
-4.12158e-07,-2.20886e-07,2.25807e-07,-8.55979e-26,1,3.10016e-02,5.29944e-01,8.02339e-03,3.10000e-04
-4.19484e-07,-2.99898e-07,2.50939e-07,-1.00713e-25,1,3.20016e-02,5.30910e-01,8.28221e-03,3.20000e-04
-4.26811e-07,-3.78914e-07,2.76071e-07,-1.15828e-25,1,3.30017e-02,5.31876e-01,8.54103e-03,3.30000e-04
-4.34138e-07,-4.57931e-07,3.01204e-07,-1.30943e-25,1,3.40017e-02,5.32842e-01,8.79985e-03,3.40000e-04
-4.41464e-07,-5.36943e-07,3.26336e-07,-1.46058e-25,1,3.50017e-02,5.33807e-01,9.05867e-03,3.50000e-04
-4.48791e-07,-6.15960e-07,3.51468e-07,-1.61173e-25,1,3.60018e-02,5.34773e-01,9.31749e-03,3.60000e-04
-4.56117e-07,-6.94971e-07,3.76600e-07,-1.76288e-25,1,3.70018e-02,5.35739e-01,9.57630e-03,3.70000e-04
-4.62005e-07,-8.24982e-07,4.18330e-07,-1.76492e-25,1,3.80019e-02,5.36705e-01,9.83512e-03,3.80000e-04
-4.66452e-07,-1.00598e-06,4.76657e-07,-1.61784e-25,1,3.90019e-02,5.37671e-01,1.00939e-02,3.90000e-04
-4.70900e-07,-1.18699e-06,5.34985e-07,-1.47077e-25,1,4.00020e-02,5.38637e-01,1.03528e-02,4.00000e-04
-4.75347e-07,-1.36798e-06,5.93311e-07,-1.32369e-25,1,4.10020e-02,5.39603e-01,1.06116e-02,4.10000e-04
-4.79795e-07,-1.54899e-06,6.51639e-07,-1.17661e-25,1,4.20021e-02,5.40569e-01,1.08704e-02,4.20000e-04
-4.84243e-07,-1.72999e-06,7.09966e-07,-1.02954e-25,1,4.30021e-02,5.41535e-01,1.11292e-02,4.30000e-04
-4.88690e-07,-1.91099e-06,7.68294e-07,-8.82460e-26,1,4.40022e-02,5.42501e-01,1.13880e-02,4.40000e-04
-4.93138e-07,-2.09200e-06,8.26622e-07,-7.35384e-26,1,4.50023e-02,5.43467e-01,1.16469e-02,4.50000e-04
-4.97586e-07,-2.27299e-06,8.84948e-07,-5.88307e-26,1,4.60023e-02,5.44433e-01,1.19057e-02,4.60000e-04
-5.02034e-07,-2.45400e-06,9.43276e-07,-4.41230e-26,1,4.70024e-02,5.45399e-01,1.21645e-02,4.70000e-04
