p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
7.81344e-06,8.47700e-07,1.93333e-07,7.63004e-24,1,1.80009e-02,4.83926e-01,1.29410e-01,1.80000e-04
7.77865e-06,9.83355e-07,2.45121e-07,7.13081e-24,1,1.90009e-02,4.84926e-01,1.29410e-01,1.90000e-04
7.74386e-06,1.11901e-06,2.96912e-07,6.63157e-24,1,2.00010e-02,4.85926e-01,1.29410e-01,2.00000e-04
7.70907e-06,1.25467e-06,3.48700e-07,6.13235e-24,1,2.10010e-02,4.86926e-01,1.29410e-01,2.10000e-04
7.67428e-06,1.39033e-06,4.00491e-07,5.63311e-24,1,2.20011e-02,4.87926e-01,1.29410e-01,2.20000e-04
7.63948e-06,1.52599e-06,4.52279e-07,5.13388e-24,1,2.30012e-02,4.88926e-01,1.29410e-01,2.30000e-04
7.60469e-06,1.66164e-06,5.04068e-07,4.63466e-24,1,2.40012e-02,4.89926e-01,1.29410e-01,2.40000e-04
7.56990e-06,1.79730e-06,5.55858e-07,4.13542e-24,1,2.50013e-02,4.90926e-01,1.29410e-01,2.50000e-04
7.53511e-06,1.93296e-06,6.07647e-07,3.63619e-24,1,2.60013e-02,4.91926e-01,1.29410e-01,2.60000e-04
7.50032e-06,2.06862e-06,6.59437e-07,3.13696e-24,1,2.70014e-02,4.92926e-01,1.29410e-01,2.70000e-04
7.46552e-06,2.20427e-06,7.11226e-07,2.63773e-24,1,2.80014e-02,4.93926e-01,1.29410e-01,2.80000e-04
7.43073e-06,2.33993e-06,7.63016e-07,2.13849e-24,1,2.90015e-02,4.94926e-01,1.29410e-01,2.90000e-04
7.34493e-06,2.57716e-06,8.57971e-07,1.68226e-24,1,3.00015e-02,4.95926e-01,1.29410e-01,3.00000e-04
7.19994e-06,2.93224e-06,1.00301e-06,1.27592e-24,1,3.10015e-02,4.96926e-01,1.29410e-01,3.10000e-04
7.05494e-06,3.28734e-06,1.14806e-06,8.69574e-25,1,3.20016e-02,4.97926e-01,1.29410e-01,3.20000e-04
6.90995e-06,3.64242e-06,1.29310e-06,4.63235e-25,1,3.30016e-02,4.98926e-01,1.29410e-01,3.30000e-04
6.76496e-06,3.99751e-06,1.43815e-06,5.68844e-26,1,3.40017e-02,4.99926e-01,1.29410e-01,3.40000e-04
6.61996e-06,4.35261e-06,1.58319e-06,-3.49466e-25,1,3.50018e-02,5.00926e-01,1.29410e-01,3.50000e-04
6.47497e-06,4.70769e-06,1.72823e-06,-7.55805e-25,1,3.60018e-02,5.01926e-01,1.29410e-01,3.60000e-04
6.32998e-06,5.06277e-06,1.87328e-06,-1.16214e-24,1,3.70019e-02,5.02926e-01,1.29410e-01,3.70000e-04
6.18499e-06,5.41785e-06,2.01832e-06,-1.56848e-24,1,3.80019e-02,5.03926e-01,1.29410e-01,3.80000e-04
6.04000e-06,5.77294e-06,2.16336e-06,-1.97482e-24,1,3.90019e-02,5.04926e-01,1.29410e-01,3.90000e-04
5.89500e-06,6.12804e-06,2.30841e-06,-2.38118e-24,1,4.00020e-02,5.05926e-01,1.29410e-01,4.00000e-04
5.75001e-06,6.48312e-06,2.45345e-06,-2.78752e-24,1,4.10021e-02,5.06926e-01,1.29410e-01,4.10000e-04
5.60502e-06,6.83821e-06,2.59849e-06,-3.19386e-24,1,4.20021e-02,5.07926e-01,1.29410e-01,4.20000e-04
5.31342e-06,7.33975e-06,2.81872e-06,-3.15389e-24,1,4.30021e-02,5.08926e-01,1.29410e-01,4.30000e-04
5.01614e-06,7.84698e-06,3.04186e-06,-3.09670e-24,1,4.40022e-02,5.09926e-01,1.29410e-01,4.40000e-04
4.71889e-06,8.35417e-06,3.26498e-06,-3.03952e-24,1,4.50023e-02,5.10926e-01,1.29410e-01,4.50000e-04
4.42163e-06,8.86137e-06,3.48811e-06,-2.98233e-24,1,4.60023e-02,5.11926e-01,1.29410e-01,4.60000e-04
4.12438e-06,9.36856e-06,3.71124e-06,-2.92515e-24,1,4.70023e-02,5.12926e-01,1.29410e-01,4.70000e-04
3.82713e-06,9.87576e-06,3.93436e-06,-2.86796e-24,1,4.80024e-02,5.13926e-01,1.29410e-01,4.80000e-04
3.52985e-06,1.03830e-05,4.15750e-06,-2.81078e-24,1,4.90025e-02,5.14926e-01,1.29410e-01,4.90000e-04
3.23260e-06,1.08902e-05,4.38063e-06,-2.75359e-24,1,5.00025e-02,5.15926e-01,1.29410e-01,5.00000e-04
2.93534e-06,1.13974e-05,4.60375e-06,-2.69641e-24,1,5.10025e-02,5.16926e-01,1.29410e-01,5.10000e-04
2.63809e-06,1.19046e-05,4.82688e-06,-2.63922e-24,1,5.20026e-02,5.17926e-01,1.29410e-01,5.20000e-04
2.34083e-06,1.24118e-05,5.05000e-06,-2.58204e-24,1,5.30026e-02,5.18926e-01,1.29410e-01,5.30000e-04
2.04356e-06,1.29190e-05,5.27314e-06,-2.52485e-24,1,5.40027e-02,5.19926e-01,1.29410e-01,5.40000e-04
1.67464e-06,1.34717e-05,5.51757e-06,-2.52625e-24,1,5.50028e-02,5.20926e-01,1.29410e-01,5.50000e-04
1.22255e-06,1.40772e-05,5.78670e-06,-2.59563e-24,1,5.60028e-02,5.21926e-01,1.29410e-01,5.60000e-04
7.70460e-07,1.46827e-05,6.05583e-06,-2.66501e-24,1,5.70028e-02,5.22926e-01,1.29410e-01,5.70000e-04
3.18346e-07,1.52883e-05,6.32498e-06,-2.73439e-24,1,5.80029e-02,5.23926e-01,1.29410e-01,5.80000e-04
-1.33742e-07,1.58938e-05,6.59412e-06,-2.80377e-24,1,5.90030e-02,5.24926e-01,1.29410e-01,5.90000e-04
-5.85830e-07,1.64993e-05,6.86325e-06,-2.87314e-24,1,6.00030e-02,5.25926e-01,1.29410e-01,6.00000e-04
-1.03792e-06,1.71048e-05,7.13238e-06,-2.94252e-24,1,6.10030e-02,5.26926e-01,1.29410e-01,6.10000e-04
-1.49000e-06,1.77103e-05,7.40152e-06,-3.01190e-24,1,6.20031e-02,5.27926e-01,1.29410e-01,6.20000e-04
-1.94212e-06,1.83159e-05,7.67066e-06,-3.08128e-24,1,6.30032e-02,5.28926e-01,1.29410e-01,6.30000e-04
-2.39421e-06,1.89214e-05,7.93980e-06,-3.15066e-24,1,6.40032e-02,5.29926e-01,1.29410e-01,6.40000e-04
-2.84629e-06,1.95269e-05,8.20893e-06,-3.22004e-24,1,6.50032e-02,5.30926e-01,1.29410e-01,6.50000e-04
-3.29838e-06,2.01324e-05,8.47806e-06,-3.28942e-24,1,6.60033e-02,5.31926e-01,1.29410e-01,6.60000e-04
-3.75047e-06,2.07380e-05,8.74720e-06,-3.35879e-24,1,6.70033e-02,5.32926e-01,1.29410e-01,6.70000e-04
-4.34861e-06,2.13385e-05,8.98103e-06,-3.42058e-24,1,6.80034e-02,5.33926e-01,1.29410e-01,6.80000e-04
-4.95235e-06,2.19389e-05,9.21349e-06,-3.48207e-24,1,6.90035e-02,5.34926e-01,1.29410e-01,6.90000e-04
-5.55609e-06,2.25393e-05,9.44595e-06,-3.54356e-24,1,7.00035e-02,5.35926e-01,1.29410e-01,7.00000e-04
-6.15983e-06,2.31396e-05,9.67840e-06,-3.60506e-24,1,7.10035e-02,5.36926e-01,1.29410e-01,7.10000e-04
-6.76361e-06,2.37400e-05,9.91088e-06,-3.66655e-24,1,7.20036e-02,5.37926e-01,1.29410e-01,7.20000e-04
-7.36735e-06,2.43404e-05,1.01433e-05,-3.72804e-24,1,7.30037e-02,5.38926e-01,1.29410e-01,7.30000e-04
-7.97109e-06,2.49407e-05,1.03758e-05,-3.78953e-24,1,7.40037e-02,5.39926e-01,1.29410e-01,7.40000e-04
-8.57483e-06,2.55411e-05,1.06082e-05,-3.85103e-24,1,7.50037e-02,5.40926e-01,1.29410e-01,7.50000e-04
-9.17857e-06,2.61415e-05,1.08407e-05,-3.91252e-24,1,7.60038e-02,5.41926e-01,1.29410e-01,7.60000e-04
-9.78235e-06,2.67419e-05,1.10732e-05,-3.97401e-24,1,7.70039e-02,5.42926e-01,1.29410e-01,7.70000e-04
-1.03861e-05,2.73422e-05,1.13056e-05,-4.03550e-24,1,7.80039e-02,5.43926e-01,1.29410e-01,7.80000e-04
-1.09898e-05,2.79426e-05,1.15381e-05,-4.09699e-24,1,7.90039e-02,5.44926e-01,1.29410e-01,7.90000e-04
-1.16553e-05,2.84672e-05,1.16865e-05,-4.15083e-24,1,8.00040e-02,5.45926e-01,1.29410e-01,8.00000e-04
-1.23925e-05,2.89040e-05,1.17375e-05,-4.19577e-24,1,8.10040e-02,5.46926e-01,1.29410e-01,8.10000e-04
-1.31297e-05,2.93408e-05,1.17885e-05,-4.24071e-24,1,8.20041e-02,5.47926e-01,1.29410e-01,8.20000e-04
-1.38669e-05,2.97776e-05,1.18395e-05,-4.28565e-24,1,8.30042e-02,5.48926e-01,1.29410e-01,8.30000e-04
-1.46040e-05,3.02144e-05,1.18904e-05,-4.33060e-24,1,8.40042e-02,5.49926e-01,1.29410e-01,8.40000e-04
-1.53412e-05,3.06512e-05,1.19414e-05,-4.37554e-24,1,8.50042e-02,5.50926e-01,1.29410e-01,8.50000e-04
-1.60784e-05,3.10880e-05,1.19924e-05,-4.42048e-24,1,8.60043e-02,5.51926e-01,1.29410e-01,8.60000e-04
-1.68156e-05,3.15248e-05,1.20433e-05,-4.46542e-24,1,8.70044e-02,5.52926e-01,1.29410e-01,8.70000e-04
-1.75527e-05,3.19616e-05,1.20943e-05,-4.51037e-24,1,8.80044e-02,5.53926e-01,1.29410e-01,8.80000e-04
-1.82899e-05,3.23984e-05,1.21453e-05,-4.55531e-24,1,8.90044e-02,5.54926e-01,1.29410e-01,8.90000e-04
-1.90271e-05,3.28352e-05,1.21962e-05,-4.60025e-24,1,9.00045e-02,5.55926e-01,1.29410e-01,9.00000e-04
-1.97643e-05,3.32720e-05,1.22472e-05,-4.64519e-24,1,9.10046e-02,5.56926e-01,1.29410e-01,9.10000e-04
-2.05014e-05,3.37088e-05,1.22982e-05,-4.69014e-24,1,9.20046e-02,5.57926e-01,1.29410e-01,9.20000e-04
-2.13301e-05,3.37828e-05,1.19661e-05,-4.70949e-24,1,9.30046e-02,5.58926e-01,1.29410e-01,9.30000e-04
-2.21623e-05,3.38428e-05,1.16193e-05,-4.72787e-24,1,9.40047e-02,5.59926e-01,1.29410e-01,9.40000e-04
-2.29945e-05,3.39029e-05,1.12724e-05,-4.74624e-24,1,9.50048e-02,5.60926e-01,1.29410e-01,9.50000e-04
-2.38267e-05,3.39629e-05,1.09256e-05,-4.76461e-24,1,9.60048e-02,5.61926e-01,1.29410e-01,9.60000e-04
-2.46589e-05,3.40229e-05,1.05788e-05,-4.78299e-24,1,9.70049e-02,5.62926e-01,1.29410e-01,9.70000e-04
-2.54911e-05,3.40830e-05,1.02319e-05,-4.80136e-24,1,9.80049e-02,5.63926e-01,1.29410e-01,9.80000e-04
-2.63232e-05,3.41430e-05,9.88510e-06,-4.81973e-24,1,9.90049e-02,5.64926e-01,1.29410e-01,9.90000e-04
-2.71555e-05,3.42030e-05,9.53825e-06,-4.83811e-24,1,1.00005e-01,5.65926e-01,1.29410e-01,1.00000e-03
-2.79877e-05,3.42630e-05,9.19142e-06,-4.85648e-24,1,1.01005e-01,5.66926e-01,1.29410e-01,1.01000e-03
-2.88198e-05,3.43231e-05,8.84459e-06,-4.87485e-24,1,1.02005e-01,5.67926e-01,1.29410e-01,1.02000e-03
-2.96520e-05,3.43831e-05,8.49776e-06,-4.89323e-24,1,1.03005e-01,5.68926e-01,1.29410e-01,1.03000e-03
-3.04842e-05,3.44431e-05,8.15093e-06,-4.91160e-24,1,1.04005e-01,5.69926e-01,1.29410e-01,1.04000e-03
-3.13325e-05,3.42078e-05,7.48505e-06,-4.91259e-24,1,1.05005e-01,5.70926e-01,1.29410e-01,1.05000e-03
-3.21993e-05,3.36297e-05,6.44902e-06,-4.89340e-24,1,1.06005e-01,5.71926e-01,1.29410e-01,1.06000e-03
-3.30662e-05,3.30516e-05,5.41299e-06,-4.87421e-24,1,1.07005e-01,5.72926e-01,1.29410e-01,1.07000e-03
-3.39330e-05,3.24735e-05,4.37696e-06,-4.85503e-24,1,1.08005e-01,5.73926e-01,1.29410e-01,1.08000e-03
-3.47999e-05,3.18954e-05,3.34087e-06,-4.83584e-24,1,1.09005e-01,5.74926e-01,1.29410e-01,1.09000e-03
-3.56667e-05,3.13173e-05,2.30483e-06,-4.81665e-24,1,1.10006e-01,5.75926e-01,1.29410e-01,1.10000e-03
-3.65336e-05,3.07393e-05,1.26880e-06,-4.79746e-24,1,1.11006e-01,5.76926e-01,1.29410e-01,1.11000e-03
-3.74004e-05,3.01612e-05,2.32772e-07,-4.77828e-24,1,1.12006e-01,5.77926e-01,1.29410e-01,1.12000e-03
-3.82672e-05,2.95831e-05,-8.03259e-07,-4.75909e-24,1,1.13006e-01,5.78926e-01,1.29410e-01,1.13000e-03
-3.91341e-05,2.90050e-05,-1.83935e-06,-4.73990e-24,1,1.14006e-01,5.79926e-01,1.29410e-01,1.14000e-03
-4.00010e-05,2.84269e-05,-2.87538e-06,-4.72071e-24,1,1.15006e-01,5.80926e-01,1.29410e-01,1.15000e-03
-4.08678e-05,2.78488e-05,-3.91141e-06,-4.70153e-24,1,1.16006e-01,5.81926e-01,1.29410e-01,1.16000e-03
-4.17346e-05,2.72707e-05,-4.94745e-06,-4.68234e-24,1,1.17006e-01,5.82926e-01,1.29410e-01,1.17000e-03
-4.25533e-05,2.57939e-05,-6.99455e-06,-4.61546e-24,1,1.18006e-01,5.83926e-01,1.29410e-01,1.18000e-03
-4.33700e-05,2.42824e-05,-9.08077e-06,-4.54674e-24,1,1.19006e-01,5.84926e-01,1.29410e-01,1.19000e-03
-4.41868e-05,2.27709e-05,-1.11669e-05,-4.47802e-24,1,1.20006e-01,5.85926e-01,1.29410e-01,1.20000e-03
-4.50035e-05,2.12594e-05,-1.32530e-05,-4.40930e-24,1,1.21006e-01,5.86926e-01,1.29410e-01,1.21000e-03
-4.58203e-05,1.97480e-05,-1.53391e-05,-4.34058e-24,1,1.22006e-01,5.87926e-01,1.29410e-01,1.22000e-03
-4.66371e-05,1.82364e-05,-1.74253e-05,-4.27186e-24,1,1.23006e-01,5.88926e-01,1.29410e-01,1.23000e-03
-4.74538e-05,1.67250e-05,-1.95114e-05,-4.20314e-24,1,1.24006e-01,5.89926e-01,1.29410e-01,1.24000e-03
-4.82706e-05,1.52135e-05,-2.15975e-05,-4.13442e-24,1,1.25006e-01,5.90926e-01,1.29410e-01,1.25000e-03
-4.90873e-05,1.37020e-05,-2.36836e-05,-4.06571e-24,1,1.26006e-01,5.91926e-01,1.29410e-01,1.26000e-03
-4.99041e-05,1.21906e-05,-2.57697e-05,-3.99699e-24,1,1.27006e-01,5.92926e-01,1.29410e-01,1.27000e-03
-5.07209e-05,1.06790e-05,-2.78559e-05,-3.92826e-24,1,1.28006e-01,5.93926e-01,1.29410e-01,1.28000e-03
-5.15376e-05,9.16757e-06,-2.99420e-05,-3.85955e-24,1,1.29006e-01,5.94926e-01,1.29410e-01,1.29000e-03
-5.22797e-05,7.08216e-06,-3.27048e-05,-3.76266e-24,1,1.30006e-01,5.95926e-01,1.29410e-01,1.30000e-03
-5.29351e-05,4.33079e-06,-3.62528e-05,-3.63309e-24,1,1.31007e-01,5.96926e-01,1.29410e-01,1.31000e-03
-5.35906e-05,1.57925e-06,-3.98009e-05,-3.50352e-24,1,1.32007e-01,5.97926e-01,1.29410e-01,1.32000e-03
-5.42460e-05,-1.17213e-06,-4.33489e-05,-3.37395e-24,1,1.33007e-01,5.98926e-01,1.29410e-01,1.33000e-03
-5.49015e-05,-3.92350e-06,-4.68969e-05,-3.24438e-24,1,1.34007e-01,5.99926e-01,1.29410e-01,1.34000e-03
-5.55569e-05,-6.67487e-06,-5.04449e-05,-3.11481e-24,1,1.35007e-01,6.00926e-01,1.29410e-01,1.35000e-03
-5.62123e-05,-9.42625e-06,-5.39929e-05,-2.98524e-24,1,1.36007e-01,6.01926e-01,1.29410e-01,1.36000e-03
-5.68678e-05,-1.21778e-05,-5.75411e-05,-2.85567e-24,1,1.37007e-01,6.02926e-01,1.29410e-01,1.37000e-03
-5.75232e-05,-1.49292e-05,-6.10890e-05,-2.72610e-24,1,1.38007e-01,6.03926e-01,1.29410e-01,1.38000e-03
-5.81787e-05,-1.76805e-05,-6.46370e-05,-2.59653e-24,1,1.39007e-01,6.04926e-01,1.29410e-01,1.39000e-03
-5.88341e-05,-2.04319e-05,-6.81850e-05,-2.46696e-24,1,1.40007e-01,6.05926e-01,1.29410e-01,1.40000e-03
-5.94895e-05,-2.31833e-05,-7.17330e-05,-2.33739e-24,1,1.41007e-01,6.06926e-01,1.29410e-01,1.41000e-03
-6.01450e-05,-2.59348e-05,-7.52812e-05,-2.20782e-24,1,1.42007e-01,6.07926e-01,1.29410e-01,1.42000e-03
-6.05146e-05,-3.01563e-05,-8.06484e-05,-2.01251e-24,1,1.43007e-01,6.08926e-01,1.29410e-01,1.43000e-03
-6.08732e-05,-3.44343e-05,-8.60857e-05,-1.81467e-24,1,1.44007e-01,6.09926e-01,1.29410e-01,1.44000e-03
-6.12318e-05,-3.87124e-05,-9.15230e-05,-1.61683e-24,1,1.45007e-01,6.10926e-01,1.29410e-01,1.45000e-03
-6.15905e-05,-4.29907e-05,-9.69606e-05,-1.41898e-24,1,1.46007e-01,6.11926e-01,1.29410e-01,1.46000e-03
-6.19491e-05,-4.72687e-05,-1.02398e-04,-1.22114e-24,1,1.47007e-01,6.12926e-01,1.29410e-01,1.47000e-03
-6.23077e-05,-5.15468e-05,-1.07835e-04,-1.02330e-24,1,1.48007e-01,6.13926e-01,1.29410e-01,1.48000e-03
-6.26663e-05,-5.58248e-05,-1.13272e-04,-8.25459e-25,1,1.49007e-01,6.14926e-01,1.29410e-01,1.49000e-03
-6.30249e-05,-6.01029e-05,-1.18710e-04,-6.27620e-25,1,1.50007e-01,6.15926e-01,1.29410e-01,1.50000e-03
-6.33836e-05,-6.43812e-05,-1.24147e-04,-4.29769e-25,1,1.51008e-01,6.16926e-01,1.29410e-01,1.51000e-03
-6.37422e-05,-6.86592e-05,-1.29585e-04,-2.31929e-25,1,1.52008e-01,6.17926e-01,1.29410e-01,1.52000e-03
-6.41008e-05,-7.29373e-05,-1.35022e-04,-3.40899e-26,1,1.53008e-01,6.18926e-01,1.29410e-01,1.53000e-03
-6.44594e-05,-7.72154e-05,-1.40459e-04,1.63749e-25,1,1.54008e-01,6.19926e-01,1.29410e-01,1.54000e-03
-6.46111e-05,-8.23056e-05,-1.46950e-04,3.93648e-25,1,1.55008e-01,6.20926e-01,1.29410e-01,1.55000e-03
-6.45227e-05,-8.83385e-05,-1.54664e-04,6.60761e-25,1,1.56008e-01,6.21926e-01,1.29410e-01,1.56000e-03
-6.44344e-05,-9.43711e-05,-1.62378e-04,9.27859e-25,1,1.57008e-01,6.22926e-01,1.29410e-01,1.57000e-03
-6.43460e-05,-1.00404e-04,-1.70092e-04,1.19496e-24,1,1.58008e-01,6.23926e-01,1.29410e-01,1.58000e-03
-6.42576e-05,-1.06436e-04,-1.77806e-04,1.46205e-24,1,1.59008e-01,6.24926e-01,1.29410e-01,1.59000e-03
-6.41692e-05,-1.12469e-04,-1.85520e-04,1.72917e-24,1,1.60008e-01,6.25926e-01,1.29410e-01,1.60000e-03
-6.40808e-05,-1.18502e-04,-1.93234e-04,1.99626e-24,1,1.61008e-01,6.26926e-01,1.29410e-01,1.61000e-03
-6.39924e-05,-1.24534e-04,-2.00948e-04,2.26336e-24,1,1.62008e-01,6.27926e-01,1.29410e-01,1.62000e-03
-6.39041e-05,-1.30567e-04,-2.08661e-04,2.53046e-24,1,1.63008e-01,6.28926e-01,1.29410e-01,1.63000e-03
-6.38157e-05,-1.36600e-04,-2.16375e-04,2.79756e-24,1,1.64008e-01,6.29926e-01,1.29410e-01,1.64000e-03
-6.37273e-05,-1.42633e-04,-2.24089e-04,3.06467e-24,1,1.65008e-01,6.30926e-01,1.29410e-01,1.65000e-03
-6.36389e-05,-1.48665e-04,-2.31803e-04,3.33177e-24,1,1.66008e-01,6.31926e-01,1.29410e-01,1.66000e-03
-6.35505e-05,-1.54698e-04,-2.39517e-04,3.59886e-24,1,1.67008e-01,6.32926e-01,1.29410e-01,1.67000e-03
-6.28868e-05,-1.62537e-04,-2.49681e-04,3.92839e-24,1,1.68008e-01,6.33926e-01,1.29410e-01,1.68000e-03
-6.22008e-05,-1.70446e-04,-2.59939e-04,4.26035e-24,1,1.69008e-01,6.34926e-01,1.29410e-01,1.69000e-03
-6.15149e-05,-1.78355e-04,-2.70198e-04,4.59228e-24,1,1.70009e-01,6.35926e-01,1.29410e-01,1.70000e-03
-6.08290e-05,-1.86263e-04,-2.80456e-04,4.92422e-24,1,1.71009e-01,6.36926e-01,1.29410e-01,1.71000e-03
-6.01431e-05,-1.94172e-04,-2.90714e-04,5.25615e-24,1,1.72009e-01,6.37926e-01,1.29410e-01,1.72000e-03
