p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.22987e-03,-6.56175e-05,-3.21957e-05,0.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,5.00000e-03
-1.23063e-03,-8.13957e-05,-2.74035e-05,0.00000e+00,1,9.99988e-04,5.00707e-01,7.07107e-04,5.00000e-03
-1.23140e-03,-9.71742e-05,-2.26113e-05,0.00000e+00,1,2.00002e-03,5.01414e-01,1.41421e-03,5.00000e-03
-1.23216e-03,-1.12952e-04,-1.78190e-05,0.00000e+00,1,3.00001e-03,5.02121e-01,2.12132e-03,5.00000e-03
-1.23293e-03,-1.28731e-04,-1.30268e-05,0.00000e+00,1,3.99999e-03,5.02828e-01,2.82843e-03,5.00000e-03
-1.23369e-03,-1.44509e-04,-8.23459e-06,0.00000e+00,1,4.99998e-03,5.03536e-01,3.53553e-03,5.00000e-03
-1.23446e-03,-1.60287e-04,-3.44235e-06,0.00000e+00,1,6.00001e-03,5.04243e-01,4.24264e-03,5.00000e-03
-1.23523e-03,-1.76065e-04,1.34988e-06,0.00000e+00,1,7.00000e-03,5.04950e-01,4.94975e-03,5.00000e-03
-1.23599e-03,-1.91844e-04,6.14210e-06,0.00000e+00,1,7.99999e-03,5.05657e-01,5.65685e-03,5.00000e-03
-1.23676e-03,-2.07622e-04,1.09343e-05,0.00000e+00,1,9.00002e-03,5.06364e-01,6.36396e-03,5.00000e-03
-1.23752e-03,-2.23400e-04,1.57266e-05,0.00000e+00,1,1.00000e-02,5.07071e-01,7.07107e-03,5.00000e-03
-1.23829e-03,-2.39178e-04,2.05188e-05,0.00000e+00,1,1.10000e-02,5.07778e-01,7.77817e-03,5.00000e-03
-1.23905e-03,-2.54957e-04,2.53110e-05,0.00000e+00,1,1.20000e-02,5.08485e-01,8.48528e-03,5.00000e-03
-1.23982e-03,-2.70735e-04,3.01033e-05,0.00000e+00,1,1.30000e-02,5.09192e-01,9.19239e-03,5.00000e-03
-1.24058e-03,-2.86513e-04,3.48955e-05,0.00000e+00,1,1.40000e-02,5.09899e-01,9.89950e-03,5.00000e-03
-1.24135e-03,-3.02291e-04,3.96877e-05,0.00000e+00,1,1.50000e-02,5.10607e-01,1.06066e-02,5.00000e-03
-1.24211e-03,-3.18070e-04,4.44800e-05,0.00000e+00,1,1.60000e-02,5.11314e-01,1.13137e-02,5.00000e-03
-1.24288e-03,-3.33848e-04,4.92722e-05,0.00000e+00,1,1.70000e-02,5.12021e-01,1.20208e-02,5.00000e-03
