p,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.67500e-03,1.94691e-04,-3.63160e-04,0.00000e+00,1,0.00000e+00,3.53553e-01,3.53553e-01,5.00000e-03
1.67529e-03,2.15700e-04,-3.20325e-04,0.00000e+00,1,9.99987e-04,3.54553e-01,3.53553e-01,5.00000e-03
1.67558e-03,2.36709e-04,-2.77488e-04,0.00000e+00,1,2.00000e-03,3.55553e-01,3.53553e-01,5.00000e-03
1.67587e-03,2.57718e-04,-2.34653e-04,0.00000e+00,1,2.99999e-03,3.56553e-01,3.53553e-01,5.00000e-03
1.67616e-03,2.78727e-04,-1.91816e-04,0.00000e+00,1,4.00001e-03,3.57553e-01,3.53553e-01,5.00000e-03
1.67644e-03,2.99735e-04,-1.48981e-04,0.00000e+00,1,5.00000e-03,3.58553e-01,3.53553e-01,5.00000e-03
1.67673e-03,3.20744e-04,-1.06145e-04,0.00000e+00,1,6.00001e-03,3.59553e-01,3.53553e-01,5.00000e-03
1.67702e-03,3.41753e-04,-6.33093e-05,0.00000e+00,1,7.00000e-03,3.60553e-01,3.53553e-01,5.00000e-03
1.67731e-03,3.62762e-04,-2.04741e-05,0.00000e+00,1,7.99999e-03,3.61553e-01,3.53553e-01,5.00000e-03
1.67760e-03,3.83771e-04,2.23624e-05,0.00000e+00,1,9.00000e-03,3.62553e-01,3.53553e-01,5.00000e-03
1.67789e-03,4.04779e-04,6.51977e-05,0.00000e+00,1,9.99999e-03,3.63553e-01,3.53553e-01,5.00000e-03
1.67818e-03,4.25788e-04,1.08034e-04,0.00000e+00,1,1.10000e-02,3.64553e-01,3.53553e-01,5.00000e-03
1.67846e-03,4.46797e-04,1.50869e-04,0.00000e+00,1,1.20000e-02,3.65553e-01,3.53553e-01,5.00000e-03
1.67875e-03,4.67806e-04,1.93706e-04,0.00000e+00,1,1.30000e-02,3.66553e-01,3.53553e-01,5.00000e-03
1.67904e-03,4.88815e-04,2.36541e-04,0.00000e+00,1,1.40000e-02,3.67553e-01,3.53553e-01,5.00000e-03
1.67933e-03,5.09823e-04,2.79377e-04,0.00000e+00,1,1.50000e-02,3.68553e-01,3.53553e-01,5.00000e-03
1.67962e-03,5.30832e-04,3.22213e-04,0.00000e+00,1,1.60000e-02,3.69553e-01,3.53553e-01,5.00000e-03
1.67991e-03,5.51841e-04,3.65048e-04,0.00000e+00,1,1.70000e-02,3.70553e-01,3.53553e-01,5.00000e-03
1.68019e-03,5.72850e-04,4.07885e-04,0.00000e+00,1,1.80000e-02,3.71553e-01,3.53553e-01,5.00000e-03
1.68048e-03,5.93859e-04,4.50720e-04,0.00000e+00,1,1.90000e-02,3.72553e-01,3.53553e-01,5.00000e-03
1.68077e-03,6.14868e-04,4.93557e-04,0.00000e+00,1,2.00000e-02,3.73553e-01,3.53553e-01,5.00000e-03
1.68106e-03,6.35876e-04,5.36392e-04,0.00000e+00,1,2.10000e-02,3.74553e-01,3.53553e-01,5.00000e-03
