p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-2.23274e-07,2.51013e-07,-4.73781e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,0.00000e+00
-2.27484e-07,2.58842e-07,-4.61749e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.01557e-03,5.00982e-01,2.58819e-04,1.00000e-05
-2.31694e-07,2.66637e-07,-4.49652e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.03114e-03,5.01964e-01,5.17638e-04,2.00000e-05
-2.35906e-07,2.74399e-07,-4.37489e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.04677e-03,5.02946e-01,7.76457e-04,3.00000e-05
-2.40118e-07,2.82128e-07,-4.25261e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.06234e-03,5.03928e-01,1.03528e-03,4.00000e-05
-2.44332e-07,2.89824e-07,-4.12967e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.07791e-03,5.04910e-01,1.29410e-03,5.00000e-05
-2.48546e-07,2.97486e-07,-4.00608e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.09348e-03,5.05892e-01,1.55291e-03,6.00000e-05
-2.52762e-07,3.05115e-07,-3.88183e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.10911e-03,5.06874e-01,1.81173e-03,7.00000e-05
-2.56978e-07,3.12711e-07,-3.75692e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,8.12468e-03,5.07856e-01,2.07055e-03,8.00000e-05
-2.61195e-07,3.20274e-07,-3.63137e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.14026e-03,5.08838e-01,2.32937e-03,9.00000e-05
-2.65414e-07,3.27803e-07,-3.50516e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.01558e-02,5.09820e-01,2.58819e-03,1.00000e-04
