p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
9.16943e-04,2.65557e-04,-1.78113e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,0.00000e+00
9.14467e-04,2.82739e-04,-1.88250e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.00008e-03,5.00966e-01,2.58819e-04,1.00000e-05
9.11992e-04,2.99920e-04,-1.98386e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00009e-03,5.01932e-01,5.17638e-04,2.00000e-05
9.09516e-04,3.17102e-04,-2.08522e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.00017e-03,5.02898e-01,7.76457e-04,3.00000e-05
9.07040e-04,3.34284e-04,-2.18659e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00019e-03,5.03864e-01,1.03528e-03,4.00000e-05
9.04564e-04,3.51466e-04,-2.28795e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.00027e-03,5.04830e-01,1.29410e-03,5.00000e-05
9.02088e-04,3.68647e-04,-2.38931e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00028e-03,5.05796e-01,1.55291e-03,6.00000e-05
8.99613e-04,3.85829e-04,-2.49068e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00036e-03,5.06761e-01,1.81173e-03,7.00000e-05
8.97137e-04,4.03010e-04,-2.59204e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,8.00038e-03,5.07727e-01,2.07055e-03,8.00000e-05
8.94661e-04,4.20192e-04,-2.69341e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.00046e-03,5.08693e-01,2.32937e-03,9.00000e-05
8.92185e-04,4.37374e-04,-2.79477e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.00005e-02,5.09659e-01,2.58819e-03,1.00000e-04
8.89710e-04,4.54556e-04,-2.89614e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10005e-02,5.10625e-01,2.84701e-03,1.10000e-04
8.87234e-04,4.71738e-04,-2.99750e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.20006e-02,5.11591e-01,3.10583e-03,1.20000e-04
