p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
2.00369e-07,-2.31444e-07,-1.02501e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.00002e-03,4.83000e-01,1.29410e-01,5.00000e-03
2.04488e-07,-2.40819e-07,-1.03942e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-03,4.84000e-01,1.29410e-01,5.00000e-03
2.08607e-07,-2.50194e-07,-1.05383e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.00002e-03,4.85000e-01,1.29410e-01,5.00000e-03
2.12726e-07,-2.59569e-07,-1.06824e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00001e-03,4.86000e-01,1.29410e-01,5.00000e-03
2.16845e-07,-2.68944e-07,-1.08264e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.00000e-03,4.87000e-01,1.29410e-01,5.00000e-03
2.20964e-07,-2.78320e-07,-1.09705e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00001e-03,4.88000e-01,1.29410e-01,5.00000e-03
2.25083e-07,-2.87695e-07,-1.11146e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00000e-03,4.89000e-01,1.29410e-01,5.00000e-03
2.29202e-07,-2.97070e-07,-1.12587e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,8.00002e-03,4.90000e-01,1.29410e-01,5.00000e-03
2.33321e-07,-3.06445e-07,-1.14027e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.00000e-03,4.91000e-01,1.29410e-01,5.00000e-03
2.37440e-07,-3.15820e-07,-1.15468e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.00000e-02,4.92000e-01,1.29410e-01,5.00000e-03
2.41559e-07,-3.25195e-07,-1.16909e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10000e-02,4.93000e-01,1.29410e-01,5.00000e-03
2.45678e-07,-3.34570e-07,-1.18350e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.20000e-02,4.94000e-01,1.29410e-01,5.00000e-03
2.49797e-07,-3.43945e-07,-1.19790e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.30000e-02,4.95000e-01,1.29410e-01,5.00000e-03
2.56058e-07,-3.46451e-07,-1.15727e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.40000e-02,4.96000e-01,1.29410e-01,5.00000e-03
2.64164e-07,-3.43034e-07,-1.06920e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.50000e-02,4.97000e-01,1.29410e-01,5.00000e-03
2.72271e-07,-3.39618e-07,-9.81132e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.60000e-02,4.98000e-01,1.29410e-01,5.00000e-03
2.80378e-07,-3.36201e-07,-8.93059e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.70000e-02,4.99000e-01,1.29410e-01,5.00000e-03
2.88484e-07,-3.32785e-07,-8.04989e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.80000e-02,5.00000e-01,1.29410e-01,5.00000e-03
2.96591e-07,-3.29368e-07,-7.16919e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.90000e-02,5.01000e-01,1.29410e-01,5.00000e-03
3.04697e-07,-3.25952e-07,-6.28849e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-02,5.02000e-01,1.29410e-01,5.00000e-03
3.12804e-07,-3.22535e-07,-5.40774e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.10000e-02,5.03000e-01,1.29410e-01,5.00000e-03
3.20911e-07,-3.19119e-07,-4.52703e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.20000e-02,5.04000e-01,1.29410e-01,5.00000e-03
3.29017e-07,-3.15702e-07,-3.64633e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.30000e-02,5.05000e-01,1.29410e-01,5.00000e-03
3.37123e-07,-3.12286e-07,-2.76563e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.40000e-02,5.06000e-01,1.29410e-01,5.00000e-03
3.45230e-07,-3.08869e-07,-1.88488e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.50000e-02,5.07000e-01,1.29410e-01,5.00000e-03
3.53303e-07,-3.03311e-07,-8.79244e-09,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.60000e-02,5.08000e-01,1.29410e-01,5.00000e-03
3.60492e-07,-2.42116e-07,3.37131e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.70000e-02,5.09000e-01,1.29410e-01,5.00000e-03
3.67681e-07,-1.80922e-07,7.62186e-08,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.80000e-02,5.10000e-01,1.29410e-01,5.00000e-03
3.74870e-07,-1.19727e-07,1.18724e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.90000e-02,5.11000e-01,1.29410e-01,5.00000e-03
3.82060e-07,-5.85291e-08,1.61232e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.00000e-02,5.12000e-01,1.29410e-01,5.00000e-03
3.89249e-07,2.66540e-09,2.03738e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.10000e-02,5.13000e-01,1.29410e-01,5.00000e-03
3.96438e-07,6.38599e-08,2.46243e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.20000e-02,5.14000e-01,1.29410e-01,5.00000e-03
4.03627e-07,1.25054e-07,2.88749e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.30000e-02,5.15000e-01,1.29410e-01,5.00000e-03
4.10816e-07,1.86249e-07,3.31254e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.40000e-02,5.16000e-01,1.29410e-01,5.00000e-03
4.18006e-07,2.47447e-07,3.73762e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.50000e-02,5.17000e-01,1.29410e-01,5.00000e-03
4.25195e-07,3.08642e-07,4.16268e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.60000e-02,5.18000e-01,1.29410e-01,5.00000e-03
4.32384e-07,3.69836e-07,4.58773e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.70000e-02,5.19000e-01,1.29410e-01,5.00000e-03
4.39573e-07,4.31031e-07,5.01279e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.80000e-02,5.20000e-01,1.29410e-01,5.00000e-03
4.45505e-07,5.37495e-07,5.73314e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.90000e-02,5.21000e-01,1.29410e-01,5.00000e-03
4.50354e-07,6.82968e-07,6.70793e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00000e-02,5.22000e-01,1.29410e-01,5.00000e-03
4.55202e-07,8.28441e-07,7.68273e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.10000e-02,5.23000e-01,1.29410e-01,5.00000e-03
4.60051e-07,9.73914e-07,8.65752e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.20000e-02,5.24000e-01,1.29410e-01,5.00000e-03
4.64899e-07,1.11939e-06,9.63232e-07,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.30000e-02,5.25000e-01,1.29410e-01,5.00000e-03
4.69748e-07,1.26487e-06,1.06072e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.40000e-02,5.26000e-01,1.29410e-01,5.00000e-03
4.74597e-07,1.41034e-06,1.15820e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.50000e-02,5.27000e-01,1.29410e-01,5.00000e-03
4.79445e-07,1.55581e-06,1.25568e-06,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.60000e-02,5.28000e-01,1.29410e-01,5.00000e-03
