p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-2.50763e-04,-5.75514e-04,-3.71923e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,4.33013e-01,2.50000e-01,5.00000e-03
-2.44382e-04,-5.86365e-04,-3.87124e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99987e-04,4.34013e-01,2.50000e-01,5.00000e-03
-2.38002e-04,-5.97216e-04,-4.02326e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-03,4.35013e-01,2.50000e-01,5.00000e-03
-2.31621e-04,-6.08067e-04,-4.17527e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.99999e-03,4.36013e-01,2.50000e-01,5.00000e-03
-2.25240e-04,-6.18919e-04,-4.32729e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00001e-03,4.37013e-01,2.50000e-01,5.00000e-03
-2.18860e-04,-6.29770e-04,-4.47930e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.00000e-03,4.38013e-01,2.50000e-01,5.00000e-03
-2.12479e-04,-6.40621e-04,-4.63132e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00001e-03,4.39013e-01,2.50000e-01,5.00000e-03
-2.06098e-04,-6.51472e-04,-4.78333e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00000e-03,4.40013e-01,2.50000e-01,5.00000e-03
-1.99718e-04,-6.62323e-04,-4.93534e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.99999e-03,4.41013e-01,2.50000e-01,5.00000e-03
-1.93337e-04,-6.73174e-04,-5.08735e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.00000e-03,4.42013e-01,2.50000e-01,5.00000e-03
-1.86957e-04,-6.84025e-04,-5.23937e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99999e-03,4.43013e-01,2.50000e-01,5.00000e-03
-1.80576e-04,-6.94877e-04,-5.39138e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10000e-02,4.44013e-01,2.50000e-01,5.00000e-03
-1.74195e-04,-7.05728e-04,-5.54339e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.20000e-02,4.45013e-01,2.50000e-01,5.00000e-03
-1.67815e-04,-7.16579e-04,-5.69541e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.30000e-02,4.46013e-01,2.50000e-01,5.00000e-03
-1.61434e-04,-7.27430e-04,-5.84742e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.40000e-02,4.47013e-01,2.50000e-01,5.00000e-03
-1.55054e-04,-7.38281e-04,-5.99943e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.50000e-02,4.48013e-01,2.50000e-01,5.00000e-03
-1.48673e-04,-7.49133e-04,-6.15145e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.60000e-02,4.49013e-01,2.50000e-01,5.00000e-03
-1.42292e-04,-7.59984e-04,-6.30346e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.70000e-02,4.50013e-01,2.50000e-01,5.00000e-03
-1.35912e-04,-7.70835e-04,-6.45547e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.80000e-02,4.51013e-01,2.50000e-01,5.00000e-03
-1.29531e-04,-7.81686e-04,-6.60749e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.90000e-02,4.52013e-01,2.50000e-01,5.00000e-03
-1.23151e-04,-7.92537e-04,-6.75950e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-02,4.53013e-01,2.50000e-01,5.00000e-03
-1.16770e-04,-8.03388e-04,-6.91151e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.10000e-02,4.54013e-01,2.50000e-01,5.00000e-03
-1.10389e-04,-8.14240e-04,-7.06353e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.20000e-02,4.55013e-01,2.50000e-01,5.00000e-03
-1.04009e-04,-8.25091e-04,-7.21554e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.30000e-02,4.56013e-01,2.50000e-01,5.00000e-03
-9.76282e-05,-8.35942e-04,-7.36755e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.40000e-02,4.57013e-01,2.50000e-01,5.00000e-03
-9.12475e-05,-8.46793e-04,-7.51957e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.50000e-02,4.58013e-01,2.50000e-01,5.00000e-03
-8.48670e-05,-8.57644e-04,-7.67158e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.60000e-02,4.59013e-01,2.50000e-01,5.00000e-03
-7.84863e-05,-8.68496e-04,-7.82359e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.70000e-02,4.60013e-01,2.50000e-01,5.00000e-03
-7.21057e-05,-8.79347e-04,-7.97561e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.80000e-02,4.61013e-01,2.50000e-01,5.00000e-03
-6.57250e-05,-8.90198e-04,-8.12762e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.90000e-02,4.62013e-01,2.50000e-01,5.00000e-03
-5.93445e-05,-9.01049e-04,-8.27963e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.00000e-02,4.63013e-01,2.50000e-01,5.00000e-03
-5.29640e-05,-9.11900e-04,-8.43164e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.10000e-02,4.64013e-01,2.50000e-01,5.00000e-03
-4.65833e-05,-9.22751e-04,-8.58366e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.20000e-02,4.65013e-01,2.50000e-01,5.00000e-03
-4.02027e-05,-9.33603e-04,-8.73567e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.30000e-02,4.66013e-01,2.50000e-01,5.00000e-03
-3.38220e-05,-9.44454e-04,-8.88769e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.40000e-02,4.67013e-01,2.50000e-01,5.00000e-03
-2.74415e-05,-9.55305e-04,-9.03970e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.50000e-02,4.68013e-01,2.50000e-01,5.00000e-03
-2.10608e-05,-9.66156e-04,-9.19171e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.60000e-02,4.69013e-01,2.50000e-01,5.00000e-03
-1.46803e-05,-9.77007e-04,-9.34373e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.70000e-02,4.70013e-01,2.50000e-01,5.00000e-03
-8.29973e-06,-9.87858e-04,-9.49574e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.80000e-02,4.71013e-01,2.50000e-01,5.00000e-03
-1.91901e-06,-9.98710e-04,-9.64775e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.90000e-02,4.72013e-01,2.50000e-01,5.00000e-03
4.46151e-06,-1.00956e-03,-9.79976e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00000e-02,4.73013e-01,2.50000e-01,5.00000e-03
1.08422e-05,-1.02041e-03,-9.95178e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.10000e-02,4.74013e-01,2.50000e-01,5.00000e-03
1.72228e-05,-1.03126e-03,-1.01038e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.20000e-02,4.75013e-01,2.50000e-01,5.00000e-03
2.36035e-05,-1.04211e-03,-1.02558e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.30000e-02,4.76013e-01,2.50000e-01,5.00000e-03
2.99840e-05,-1.05297e-03,-1.04078e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.40000e-02,4.77013e-01,2.50000e-01,5.00000e-03
3.63645e-05,-1.06382e-03,-1.05598e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.50000e-02,4.78013e-01,2.50000e-01,5.00000e-03
4.27452e-05,-1.07467e-03,-1.07118e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.60000e-02,4.79013e-01,2.50000e-01,5.00000e-03
4.91258e-05,-1.08552e-03,-1.08639e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.70000e-02,4.80013e-01,2.50000e-01,5.00000e-03
5.55065e-05,-1.09637e-03,-1.10159e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.80000e-02,4.81013e-01,2.50000e-01,5.00000e-03
