p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
2.76173e-04,2.21606e-03,-2.72419e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,5.00000e-01,0.00000e+00,5.00000e-03
2.75335e-04,2.27278e-03,-2.84635e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99988e-04,5.00707e-01,7.07107e-04,5.00000e-03
2.74497e-04,2.32949e-03,-2.96850e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00002e-03,5.01414e-01,1.41421e-03,5.00000e-03
2.73659e-04,2.38621e-03,-3.09066e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.00001e-03,5.02121e-01,2.12132e-03,5.00000e-03
2.72821e-04,2.44292e-03,-3.21281e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.99999e-03,5.02828e-01,2.82843e-03,5.00000e-03
2.71983e-04,2.49964e-03,-3.33496e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.99998e-03,5.03536e-01,3.53553e-03,5.00000e-03
2.71145e-04,2.55635e-03,-3.45712e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00001e-03,5.04243e-01,4.24264e-03,5.00000e-03
2.70307e-04,2.61307e-03,-3.57927e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00000e-03,5.04950e-01,4.94975e-03,5.00000e-03
2.69469e-04,2.66978e-03,-3.70143e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.99999e-03,5.05657e-01,5.65685e-03,5.00000e-03
2.68631e-04,2.72650e-03,-3.82358e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.00002e-03,5.06364e-01,6.36396e-03,5.00000e-03
2.67793e-04,2.78321e-03,-3.94573e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.00000e-02,5.07071e-01,7.07107e-03,5.00000e-03
2.66955e-04,2.83992e-03,-4.06789e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10000e-02,5.07778e-01,7.77817e-03,5.00000e-03
2.66117e-04,2.89664e-03,-4.19004e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.20000e-02,5.08485e-01,8.48528e-03,5.00000e-03
2.65279e-04,2.95335e-03,-4.31220e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.30000e-02,5.09192e-01,9.19239e-03,5.00000e-03
2.64441e-04,3.01007e-03,-4.43435e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.40000e-02,5.09899e-01,9.89950e-03,5.00000e-03
2.63603e-04,3.06678e-03,-4.55650e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.50000e-02,5.10607e-01,1.06066e-02,5.00000e-03
2.62765e-04,3.12350e-03,-4.67866e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.60000e-02,5.11314e-01,1.13137e-02,5.00000e-03
2.61927e-04,3.18021e-03,-4.80081e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.70000e-02,5.12021e-01,1.20208e-02,5.00000e-03
2.61089e-04,3.23692e-03,-4.92297e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.80000e-02,5.12728e-01,1.27279e-02,5.00000e-03
2.60251e-04,3.29364e-03,-5.04512e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.90000e-02,5.13435e-01,1.34350e-02,5.00000e-03
2.59413e-04,3.35035e-03,-5.16727e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-02,5.14142e-01,1.41421e-02,5.00000e-03
2.58575e-04,3.40707e-03,-5.28943e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.10000e-02,5.14849e-01,1.48492e-02,5.00000e-03
2.57737e-04,3.46378e-03,-5.41158e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.20000e-02,5.15556e-01,1.55563e-02,5.00000e-03
2.56899e-04,3.52050e-03,-5.53374e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.30000e-02,5.16263e-01,1.62635e-02,5.00000e-03
2.56061e-04,3.57721e-03,-5.65589e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.40000e-02,5.16971e-01,1.69706e-02,5.00000e-03
2.55223e-04,3.63393e-03,-5.77804e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.50000e-02,5.17678e-01,1.76777e-02,5.00000e-03
2.54385e-04,3.69064e-03,-5.90020e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.60000e-02,5.18385e-01,1.83848e-02,5.00000e-03
2.53547e-04,3.74736e-03,-6.02235e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.70000e-02,5.19092e-01,1.90919e-02,5.00000e-03
2.52709e-04,3.80407e-03,-6.14451e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.80000e-02,5.19799e-01,1.97990e-02,5.00000e-03
2.51871e-04,3.86078e-03,-6.26666e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.90000e-02,5.20506e-01,2.05061e-02,5.00000e-03
2.51033e-04,3.91750e-03,-6.38881e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.00000e-02,5.21213e-01,2.12132e-02,5.00000e-03
2.50195e-04,3.97421e-03,-6.51097e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.10000e-02,5.21920e-01,2.19203e-02,5.00000e-03
2.49357e-04,4.03093e-03,-6.63312e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.20000e-02,5.22627e-01,2.26274e-02,5.00000e-03
2.48519e-04,4.08764e-03,-6.75527e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.30000e-02,5.23335e-01,2.33345e-02,5.00000e-03
2.47681e-04,4.14436e-03,-6.87743e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.40000e-02,5.24042e-01,2.40416e-02,5.00000e-03
2.46843e-04,4.20107e-03,-6.99958e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.50000e-02,5.24749e-01,2.47487e-02,5.00000e-03
2.46005e-04,4.25779e-03,-7.12174e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.60000e-02,5.25456e-01,2.54558e-02,5.00000e-03
2.45167e-04,4.31450e-03,-7.24389e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.70000e-02,5.26163e-01,2.61630e-02,5.00000e-03
2.44329e-04,4.37122e-03,-7.36605e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.80000e-02,5.26870e-01,2.68701e-02,5.00000e-03
2.43491e-04,4.42793e-03,-7.48820e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,3.90000e-02,5.27577e-01,2.75772e-02,5.00000e-03
2.42653e-04,4.48464e-03,-7.61035e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00000e-02,5.28284e-01,2.82843e-02,5.00000e-03
2.41815e-04,4.54136e-03,-7.73251e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.10000e-02,5.28991e-01,2.89914e-02,5.00000e-03
2.40977e-04,4.59807e-03,-7.85466e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.20000e-02,5.29698e-01,2.96985e-02,5.00000e-03
2.40139e-04,4.65479e-03,-7.97682e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.30000e-02,5.30406e-01,3.04056e-02,5.00000e-03
2.39301e-04,4.71150e-03,-8.09897e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.40000e-02,5.31113e-01,3.11127e-02,5.00000e-03
2.38463e-04,4.76822e-03,-8.22112e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.50000e-02,5.31820e-01,3.18198e-02,5.00000e-03
2.37625e-04,4.82493e-03,-8.34328e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.60000e-02,5.32527e-01,3.25269e-02,5.00000e-03
2.36787e-04,4.88164e-03,-8.46543e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.70000e-02,5.33234e-01,3.32340e-02,5.00000e-03
2.35949e-04,4.93836e-03,-8.58759e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.80000e-02,5.33941e-01,3.39411e-02,5.00000e-03
2.35111e-04,4.99507e-03,-8.70974e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.90000e-02,5.34648e-01,3.46482e-02,5.00000e-03
2.34273e-04,5.05179e-03,-8.83189e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.00000e-02,5.35355e-01,3.53553e-02,5.00000e-03
2.32000e-04,5.16291e-03,-9.19190e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.10000e-02,5.36062e-01,3.60624e-02,5.00000e-03
2.29726e-04,5.27403e-03,-9.55190e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.20000e-02,5.36770e-01,3.67696e-02,5.00000e-03
2.27452e-04,5.38514e-03,-9.91191e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.30000e-02,5.37477e-01,3.74767e-02,5.00000e-03
2.25179e-04,5.49626e-03,-1.02719e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.40000e-02,5.38184e-01,3.81838e-02,5.00000e-03
2.22905e-04,5.60738e-03,-1.06319e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.50000e-02,5.38891e-01,3.88909e-02,5.00000e-03
2.20631e-04,5.71850e-03,-1.09919e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.60000e-02,5.39598e-01,3.95980e-02,5.00000e-03
2.18358e-04,5.82962e-03,-1.13519e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.70000e-02,5.40305e-01,4.03051e-02,5.00000e-03
2.16084e-04,5.94074e-03,-1.17119e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.80000e-02,5.41012e-01,4.10122e-02,5.00000e-03
2.13811e-04,6.05186e-03,-1.20719e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.90000e-02,5.41719e-01,4.17193e-02,5.00000e-03
2.11537e-04,6.16298e-03,-1.24319e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00000e-02,5.42426e-01,4.24264e-02,5.00000e-03
2.09264e-04,6.27409e-03,-1.27919e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.10000e-02,5.43133e-01,4.31335e-02,5.00000e-03
2.06990e-04,6.38522e-03,-1.31519e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.20000e-02,5.43841e-01,4.38406e-02,5.00000e-03
2.04716e-04,6.49633e-03,-1.35120e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.30000e-02,5.44548e-01,4.45477e-02,5.00000e-03
2.02443e-04,6.60745e-03,-1.38720e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.40000e-02,5.45255e-01,4.52548e-02,5.00000e-03
2.00169e-04,6.71857e-03,-1.42320e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.50000e-02,5.45962e-01,4.59619e-02,5.00000e-03
1.97895e-04,6.82969e-03,-1.45920e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.60000e-02,5.46669e-01,4.66690e-02,5.00000e-03
1.95622e-04,6.94081e-03,-1.49520e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.70000e-02,5.47376e-01,4.73762e-02,5.00000e-03
1.93348e-04,7.05193e-03,-1.53120e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.80000e-02,5.48083e-01,4.80833e-02,5.00000e-03
1.91075e-04,7.16305e-03,-1.56720e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.90000e-02,5.48790e-01,4.87904e-02,5.00000e-03
1.88801e-04,7.27417e-03,-1.60320e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00000e-02,5.49497e-01,4.94975e-02,5.00000e-03
1.86528e-04,7.38528e-03,-1.63920e-03,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.10000e-02,5.50205e-01,5.02046e-02,5.00000e-03
