p,U:0,U:1,U:2,T,alphaQGD,rho,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-1.52153e-04,-2.49588e-04,-2.12321e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,0.00000e+00,3.53553e-01,3.53553e-01,5.00000e-03
-1.52195e-04,-2.68937e-04,-2.40832e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99987e-04,3.54553e-01,3.53553e-01,5.00000e-03
-1.52237e-04,-2.88287e-04,-2.69344e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.00000e-03,3.55553e-01,3.53553e-01,5.00000e-03
-1.52278e-04,-3.07636e-04,-2.97855e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,2.99999e-03,3.56553e-01,3.53553e-01,5.00000e-03
-1.52320e-04,-3.26985e-04,-3.26367e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,4.00001e-03,3.57553e-01,3.53553e-01,5.00000e-03
-1.52362e-04,-3.46334e-04,-3.54877e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,5.00000e-03,3.58553e-01,3.53553e-01,5.00000e-03
-1.52404e-04,-3.65684e-04,-3.83389e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,6.00001e-03,3.59553e-01,3.53553e-01,5.00000e-03
-1.52445e-04,-3.85033e-04,-4.11900e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.00000e-03,3.60553e-01,3.53553e-01,5.00000e-03
-1.52487e-04,-4.04381e-04,-4.40411e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,7.99999e-03,3.61553e-01,3.53553e-01,5.00000e-03
-1.52529e-04,-4.23731e-04,-4.68923e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.00000e-03,3.62553e-01,3.53553e-01,5.00000e-03
-1.52571e-04,-4.43080e-04,-4.97433e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,9.99999e-03,3.63553e-01,3.53553e-01,5.00000e-03
-1.52613e-04,-4.62429e-04,-5.25945e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.10000e-02,3.64553e-01,3.53553e-01,5.00000e-03
-1.52654e-04,-4.81778e-04,-5.54456e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.20000e-02,3.65553e-01,3.53553e-01,5.00000e-03
-1.52696e-04,-5.01128e-04,-5.82968e-04,0.00000e+00,0.00000e+00,5.00000e-01,1.00000e+00,1,1.30000e-02,3.66553e-01,3.53553e-01,5.00000e-03
