x,y,z,U_0,U_1,U_2
0.5,0,0.005,-8.59785118e-09,1.5120402e-10,0
0.501917969,0.000505505859,0.005,-8.59785118e-09,1.5120402e-10,0
0.503835938,0.00101101172,0.005,-8.59785118e-09,1.5120402e-10,0
0.505753906,0.00151651758,0.005,-8.59785118e-09,1.5120402e-10,0
0.507671875,0.00202202344,0.005,-6.60920908e-08,9.76503956e-09,0
0.509589844,0.0025275293,0.005,-6.60920908e-08,9.76503956e-09,0
0.511507813,0.00303303516,0.005,-6.60920908e-08,9.76503956e-09,0
0.513425781,0.00353854102,0.005,-1.77468141e-07,2.90408786e-08,0
0.51534375,0.00404404688,0.005,-1.77468141e-07,2.90408786e-08,0
0.517261719,0.00454955273,0.005,-1.77468141e-07,2.90408786e-08,0
0.519179688,0.00505505859,0.005,-3.57049592e-07,6.37795922e-08,0
0.521097656,0.00556056445,0.005,-3.57049592e-07,6.37795922e-08,0
0.523015625,0.00606607031,0.005,-3.57049592e-07,6.37795922e-08,0
0.524933594,0.00657157617,0.005,-6.19500401e-07,1.19738767e-07,0
0.526851563,0.00707708203,0.005,-6.19500401e-07,1.19738767e-07,0
0.528769531,0.00758258789,0.005,-6.19500401e-07,1.19738767e-07,0
0.5306875,0.00808809375,0.005,-6.19500401e-07,1.19738767e-07,0
0.532605469,0.00859359961,0.005,-9.79126262e-07,2.03213089e-07,0
0.534523438,0.00909910547,0.005,-9.79126262e-07,2.03213089e-07,0
0.536441406,0.00960461133,0.005,-9.79126262e-07,2.03213089e-07,0
0.538359375,0.0101101172,0.005,-1.44902779e-06,3.20437926e-07,0
0.540277344,0.010615623,0.005,-1.44902779e-06,3.20437926e-07,0
0.542195313,0.0111211289,0.005,-1.44902779e-06,3.20437926e-07,0
0.544113281,0.0116266348,0.005,-2.04009393e-06,4.7701204e-07,0
0.54603125,0.0121321406,0.005,-2.04009393e-06,4.7701204e-07,0
0.547949219,0.0126376465,0.005,-2.04009393e-06,4.7701204e-07,0
0.549867188,0.0131431523,0.005,-2.75983971e-06,6.77116682e-07,0
0.551785156,0.0136486582,0.005,-2.75983971e-06,6.77116682e-07,0
0.553703125,0.0141541641,0.005,-2.75983971e-06,6.77116682e-07,0
0.555621094,0.0146596699,0.005,-3.61109543e-06,9.22544773e-07,0
0.557539063,0.0151651758,0.005,-3.61109543e-06,9.22544773e-07,0
0.559457031,0.0156706816,0.005,-3.61109543e-06,9.22544773e-07,0
0.561375,0.0161761875,0.005,-3.61109543e-06,9.22544773e-07,0
0.563292969,0.0166816934,0.005,-4.59056059e-06,1.21152015e-06,0
0.565210938,0.0171871992,0.005,-4.59056059e-06,1.21152015e-06,0
0.567128906,0.0176927051,0.005,-4.59056059e-06,1.21152015e-06,0
0.569046875,0.0181982109,0.005,-5.68724141e-06,1.53729749e-06,0
0.570964844,0.0187037168,0.005,-5.68724141e-06,1.53729749e-06,0
0.572882813,0.0192092227,0.005,-5.68724141e-06,1.53729749e-06,0
0.574800781,0.0197147285,0.005,-6.88079794e-06,1.88653858e-06,0
0.57671875,0.0202202344,0.005,-6.88079794e-06,1.88653858e-06,0
0.578636719,0.0207257402,0.005,-6.88079794e-06,1.88653858e-06,0
