x,y,z,U_0,U_1,U_2
0.5,0,0.005,-1.78646706e-06,7.65567861e-07,0
0.512275,0.0032352375,0.005,-1.78646706e-06,7.65567861e-07,0
0.52455,0.006470475,0.005,-7.88347106e-06,2.95543333e-06,0
0.536825,0.0097057125,0.005,-1.6052668e-05,5.66354783e-06,0
0.5491,0.01294095,0.005,-2.5008866e-05,8.14179145e-06,0
0.561375,0.0161761875,0.005,-3.25651925e-05,9.04603185e-06,0
0.57365,0.019411425,0.005,-3.56113955e-05,6.30172568e-06,0
0.585925,0.0226466625,0.005,-3.02068671e-05,-2.94410677e-06,0
0.5982,0.0258819,0.005,-1.18066185e-05,-2.2254264e-05,0
0.610475,0.0291171375,0.005,2.43750105e-05,-5.56719324e-05,0
0.62275,0.032352375,0.005,8.28717752e-05,-0.000107290177,0
0.635025,0.0355876125,0.005,0.000167366868,-0.000180589858,0
0.6473,0.03882285,0.005,0.00028002291,-0.000277529959,0
0.659575,0.0420580875,0.005,0.000420783302,-0.000397393507,0
0.67185,0.045293325,0.005,0.000586689858,-0.000535415163,0
0.684125,0.0485285625,0.005,0.00077125702,-0.000681242288,0
0.6964,0.0517638,0.005,0.000963930898,-0.000817308939,0
0.708675,0.0549990375,0.005,0.00114964252,-0.000917230953,0
0.72095,0.058234275,0.005,0.00130844061,-0.000944359119,0
0.733225,0.0614695125,0.005,0.00141516286,-0.000850654979,0
0.7455,0.06470475,0.005,0.00143908031,-0.00057607757,0
0.757775,0.0679399875,0.005,0.00134343362,-4.86860347e-05,0
0.77005,0.071175225,0.005,0.00108477971,0.000814332438,0
0.782325,0.0744104625,0.005,0.000612090319,0.00210451268,0
0.7946,0.0776457,0.005,-0.000134401921,0.00391867819,0
0.806875,0.0808809375,0.005,-0.00122452748,0.00635412516,0
0.81915,0.084116175,0.005,-0.0027394734,0.00950241551,0
0.831425,0.0873514125,0.005,-0.00477270873,0.0134418903,0
0.8437,0.09058665,0.005,-0.00743006868,0.0182291605,0
0.855975,0.0938218875,0.005,-0.0108284201,0.0238899986,0
0.86825,0.097057125,0.005,-0.015092292,0.0304102304,0
0.880525,0.100292363,0.005,-0.020347916,0.0377274002,0
0.8928,0.1035276,0.005,-0.0267143137,0.045724129,0
0.905075,0.106762838,0.005,-0.0342913942,0.0542241831,0
0.91735,0.109998075,0.005,-0.0431454866,0.0629922733,0
0.929625,0.113233313,0.005,-0.0532932763,0.0717384917,0
0.9419,0.11646855,0.005,-0.0646856764,0.08012802,0
0.954175,0.119703788,0.005,-0.0771936402,0.0877963028,0
0.96645,0.122939025,0.005,-0.0905981946,0.0943692894,0
0.978725,0.126174263,0.005,-0.104586942,0.0994876538,0
0.991,0.1294095,0.005,-0.118758855,0.102833193,0
1.003275,0.132644738,0.005,-0.132638362,0.104155009,0
1.01555,0.135879975,0.005,-0.145698584,0.103292699,0
1.027825,0.139115213,0.005,-0.157392242,0.100193759,0
1.0401,0.14235045,0.005,-0.167187477,0.0949227822,0
1.052375,0.145585687,0.005,-0.174604822,0.0876608126,0
1.06465,0.148820925,0.005,-0.179251064,0.0786943565,0
1.076925,0.152056162,0.005,-0.180845911,0.0683948292,0
1.0892,0.1552914,0.005,-0.179238157,0.0571904966,0
1.101475,0.158526637,0.005,-0.174409428,0.0455339951,0
1.11375,0.161761875,0.005,-0.16646528,0.0338690946,0
1.126025,0.164997112,0.005,-0.155615115,0.0226003896,0
1.1383,0.16823235,0.005,-0.142143831,0.01206908,0
1.150575,0.171467587,0.005,-0.126379033,0.00253700222,0
1.16285,0.174702825,0.005,-0.108657894,-0.00582020653,0
1.175125,0.177938062,0.005,-0.0892973892,-0.0129112082,0
1.1874,0.1811733,0.005,-0.0685707158,-0.0187198508,0
1.199675,0.184408537,0.005,-0.0466914888,-0.0232911039,0
1.21195,0.187643775,0.005,-0.0238060105,-0.0267145823,0
1.224225,0.190879012,0.005,7.23129125e-06,-0.0291080395,0
1.2365,0.19411425,0.005,0.0247324913,-0.0306027041,0
1.248775,0.197349487,0.005,0.0504081769,-0.031331605,0
1.26105,0.200584725,0.005,0.0771167585,-0.0314213167,0
1.273325,0.203819962,0.005,0.0952861267,-0.0327563274,0
1.2856,0.2070552,0.005,0.124093292,-0.0316384974,0
1.297875,0.210290437,0.005,0.154446867,-0.030238057,0
1.31015,0.213525675,0.005,0.186521962,-0.0286168575,0
1.322425,0.216760912,0.005,0.22050563,-0.0268264573,0
1.3347,0.21999615,0.005,0.256597059,-0.0249096174,0
1.346975,0.223231387,0.005,0.295008782,-0.022901718,0
1.35925,0.226466625,0.005,0.335968662,-0.0208320083,0
1.371525,0.229701862,0.005,0.379722532,-0.0187246282,0
1.3838,0.2329371,0.005,0.426537387,-0.0165993554,0
1.396075,0.236172337,0.005,0.476705132,-0.0144720431,0
1.40835,0.239407575,0.005,0.530546886,-0.0123546296,0
1.420625,0.242642812,0.005,0.588417933,-0.0102550301,0
1.4329,0.24587805,0.005,0.650713383,-0.00817476982,0
1.445175,0.249113287,0.005,0.717874741,-0.00611549701,0
1.45745,0.252348525,0.005,0.790397006,-0.00403244043,0
1.469725,0.255583762,0.005,0.868839308,-0.00207438551,0
1.482,0.258819,0.005,0.953822804,0.000761342487,0
