x,y,z,U_0,U_1,U_2
0.5,0,0.005,0,0,0
0.51243038,0.00327618987,0.005,-9.79921128e-05,2.70652933e-05,0
0.524860759,0.00655237975,0.005,-0.000195984226,5.41305866e-05,0
0.537291139,0.00982856962,0.005,-0.000293976338,8.11958799e-05,0
0.549721519,0.0131047595,0.005,-0.000391539978,0.000108562731,0
0.562151899,0.0163809494,0.005,-0.000454937753,0.000116117771,0
0.574582278,0.0196571392,0.005,-0.000517581414,0.000122858787,0
0.587012658,0.0229333291,0.005,-0.000580225076,0.000129599803,0
0.599443038,0.026209519,0.005,-0.000600058858,0.000113966485,0
0.611873418,0.0294857089,0.005,-0.000453651749,-7.93220234e-06,0
0.624303797,0.0327618987,0.005,-0.000305874618,-0.000132168477,0
0.636734177,0.0360380886,0.005,-0.000158097487,-0.000256404751,0
0.649164557,0.0393142785,0.005,8.95118838e-05,-0.000425434435,0
0.661594937,0.0425904684,0.005,0.000527781741,-0.000714390874,0
0.674025316,0.0458666582,0.005,0.000967251247,-0.00100714131,0
0.686455696,0.0491428481,0.005,0.00140672075,-0.00129989175,0
0.698886076,0.052419038,0.005,0.00197271593,-0.00161422713,0
0.711316456,0.0556952278,0.005,0.00266860026,-0.00197204458,0
0.723746835,0.0589714177,0.005,0.00336397836,-0.0023342115,0
0.736177215,0.0622476076,0.005,0.00405935646,-0.00269637842,0
0.748607595,0.0655237975,0.005,0.00481139567,-0.00295922281,0
0.761037975,0.0687999873,0.005,0.0055663919,-0.00312792836,0
0.773468354,0.0720761772,0.005,0.00631652594,-0.00330071854,0
0.785898734,0.0753523671,0.005,0.00706665997,-0.00347350871,0
0.798329114,0.078628557,0.005,0.00761836352,-0.00334251532,0
0.810759494,0.0819047468,0.005,0.00799806781,-0.00298568496,0
0.823189873,0.0851809367,0.005,0.00836453237,-0.00263224688,0
0.835620253,0.0884571266,0.005,0.00873099693,-0.0022788088,0
0.848050633,0.0917333165,0.005,0.00836315409,-0.00142196389,0
0.860481013,0.0950095063,0.005,0.00763310432,-0.000253010838,0
0.872911392,0.0982856962,0.005,0.00687624199,0.000913597378,0
0.885341772,0.101561886,0.005,0.00611937966,0.00208020559,0
0.897772152,0.104838076,0.005,0.00375828751,0.00381399604,0
0.910202532,0.108114266,0.005,0.000897276068,0.0058988664,0
0.922632911,0.111390456,0.005,-0.0020085966,0.00798282156,0
0.935063291,0.114666646,0.005,-0.00494670691,0.0100680644,0
0.947493671,0.117942835,0.005,-0.0105328917,0.0125533764,0
0.959924051,0.121219025,0.005,-0.0166012794,0.0154145192,0
0.97235443,0.124495215,0.005,-0.0227275469,0.0182775021,0
0.98478481,0.127771405,0.005,-0.029229499,0.0211103869,0
0.99721519,0.131047595,0.005,-0.0385438075,0.0240713291,0
1.00964557,0.134323785,0.005,-0.0482274074,0.0274087411,0
1.02207595,0.137599975,0.005,-0.0579432244,0.0307525281,0
1.03450633,0.140876165,0.005,-0.0682078421,0.0339713442,0
1.04693671,0.144152354,0.005,-0.080338621,0.0370597732,0
1.05936709,0.147428544,0.005,-0.0921264749,0.040202288,0
1.07179747,0.150704734,0.005,-0.10383305,0.043312888,0
1.08422785,0.153980924,0.005,-0.115505523,0.0460928754,0
1.09665823,0.157257114,0.005,-0.126719573,0.0484425586,0
1.10908861,0.160533304,0.005,-0.136235765,0.0508530641,0
1.12151899,0.163809494,0.005,-0.145448979,0.0532504977,0
1.13394937,0.167085684,0.005,-0.152895693,0.055185264,0
1.14637975,0.170361873,0.005,-0.15694221,0.0566279694,0
1.15881013,0.173638063,0.005,-0.15791471,0.0570045043,0
1.17124051,0.176914253,0.005,-0.158340052,0.0571269525,0
1.18367089,0.180190443,0.005,-0.15477902,0.0558136357,0
1.19610127,0.183466633,0.005,-0.145945549,0.0535785265,0
1.20853165,0.186742823,0.005,-0.133340927,0.0518334418,0
1.22096203,0.190019013,0.005,-0.12002754,0.0501981726,0
1.23339241,0.193295203,0.005,-0.101216392,0.0484254305,0
1.24582278,0.196571392,0.005,-0.0768268311,0.0470904231,0
1.25825316,0.199847582,0.005,-0.0481620113,0.0434962884,0
1.27068354,0.203123772,0.005,-0.018591484,0.0392259815,0
1.28311392,0.206399962,0.005,0.0170356991,0.0317877518,0
1.2955443,0.209676152,0.005,0.0574248056,0.0238988201,0
1.30797468,0.212952342,0.005,0.102074954,0.0186003715,0
1.32040506,0.216228532,0.005,0.147770097,0.014060773,0
1.33283544,0.219504722,0.005,0.19815796,0.0129614,0
1.34526582,0.222780911,0.005,0.251531458,0.0137182976,0
1.3576962,0.226057101,0.005,0.30962442,0.0103867486,0
1.37012658,0.229333291,0.005,0.36919637,0.0054963036,0
1.38255696,0.232609481,0.005,0.431810631,-0.00447555855,0
1.39498734,0.235885671,0.005,0.496114703,-0.0147803717,0
1.40741772,0.239161861,0.005,0.56308214,-0.0186475182,0
1.4198481,0.242438051,0.005,0.630821296,-0.0186744359,0
1.43227848,0.245714241,0.005,0.697899394,-0.00898115063,0
1.44470886,0.24899043,0.005,0.765215911,0.00365099304,0
1.45713924,0.25226662,0.005,0.838022746,0.00880886451,0
1.46956962,0.25554281,0.005,0.915353834,0.00839793477,0
1.482,0.258819,0.005,0.999998835,1.15604303e-07,0
