x,y,z,U_0,U_1,U_2
0.4945,0.1294,0.005,9.04951311e-07,7.58168812e-07,0
0.507,0.1294,0.005,4.68912614e-06,3.52980277e-06,0
0.5195,0.1294,0.005,1.04780019e-05,7.56093009e-06,0
0.532,0.1294,0.005,1.78278463e-05,1.23894534e-05,0
0.5445,0.1294,0.005,2.57352098e-05,1.69775684e-05,0
0.557,0.1294,0.005,3.25600834e-05,1.95579077e-05,0
0.5695,0.1294,0.005,3.59953033e-05,1.75065824e-05,0
0.582,0.1294,0.005,3.30976377e-05,7.27438682e-06,0
0.5945,0.1294,0.005,2.03990245e-05,-1.55927437e-05,0
0.607,0.1294,0.005,-5.88151643e-06,-5.63037093e-05,0
0.6195,0.1294,0.005,-4.95023555e-05,-0.000120495446,0
0.632,0.1294,0.005,-0.000113716639,-0.000213675109,0
0.6445,0.1294,0.005,-0.000200622843,-0.000340371467,0
0.657,0.1294,0.005,-0.000310341189,-0.000502932131,0
0.6695,0.1294,0.005,-0.000440036789,-0.000699902398,0
0.682,0.1294,0.005,-0.000582863296,-0.000923926217,0
0.6945,0.1294,0.005,-0.000726986244,-0.00115912869,0
0.707,0.1294,0.005,-0.000854962924,-0.00137798962,0
0.7195,0.1294,0.005,-0.000943888683,-0.00153782208,0
0.732,0.1294,0.005,-0.000966828226,-0.00157714916,0
0.7445,0.1294,0.005,-0.000896074295,-0.00141252607,0
0.757,0.1294,0.005,-0.000708648622,-0.000936644862,0
0.7695,0.1294,0.005,-0.000394135259,-1.88029055e-05,0
0.782,0.1294,0.005,3.55810001e-05,0.0014911047,0
0.7945,0.1294,0.005,0.000535733267,0.00375410872,0
0.807,0.1294,0.005,0.00101891947,0.00692878905,0
0.8195,0.1294,0.005,0.00134825124,0.0111534403,0
0.832,0.1294,0.005,0.00133550823,0.0165252554,0
0.8445,0.1294,0.005,0.000745963079,0.0230789866,0
0.857,0.1294,0.005,-0.00068934769,0.0307682151,0
0.8695,0.1294,0.005,-0.00325433798,0.039452519,0
0.882,0.1294,0.005,-0.00722329448,0.0488933546,0
0.8945,0.1294,0.005,-0.0128338385,0.0587604128,0
0.907,0.1294,0.005,-0.0202609368,0.0686487399,0
0.9195,0.1294,0.005,-0.0295955568,0.0781052981,0
0.932,0.1294,0.005,-0.0408310126,0.0866621861,0
0.9445,0.1294,0.005,-0.053858964,0.0938727204,0
0.957,0.1294,0.005,-0.0684756095,0.0993461663,0
0.9695,0.1294,0.005,-0.0843971433,0.102777167,0
0.982,0.1294,0.005,-0.101282284,0.103966768,0
0.9945,0.1294,0.005,-0.118758855,0.102833193,0
1.007,0.1294,0.005,-0.136451101,0.0994119339,0
1.0195,0.1294,0.005,-0.15400465,0.093846082,0
1.032,0.1294,0.005,-0.171106706,0.0863688583,0
1.0445,0.1294,0.005,-0.187499925,0.0772809671,0
1.057,0.1294,0.005,-0.202989464,0.0669256103,0
1.0695,0.1294,0.005,-0.217443532,0.0556638119,0
1.082,0.1294,0.005,-0.230788511,0.0438522247,0
1.0945,0.1294,0.005,-0.243000103,0.0318249318,0
1.107,0.1294,0.005,-0.254092135,0.0198800526,0
1.1195,0.1294,0.005,-0.264104539,0.00827130822,0
1.132,0.1294,0.005,-0.273091803,-0.00279582038,0
1.1445,0.1294,0.005,-0.281112809,-0.0131640706,0
1.157,0.1294,0.005,-0.288222615,-0.02272143,0
1.1695,0.1294,0.005,-0.294466389,-0.0313961778,0
1.182,0.1294,0.005,-0.299875442,-0.0391508166,0
1.1945,0.1294,0.005,-0.304465101,-0.0459756187,0
1.207,0.1294,0.005,-0.308234076,-0.0518823267,0
1.2195,0.1294,0.005,-0.311164904,-0.0568983619,0
1.232,0.1294,0.005,-0.31322509,-0.0610617249,0
1.2445,0.1294,0.005,-0.314368596,-0.0644166529,0
1.257,0.1294,0.005,-0.314537387,-0.0670100096,0
1.2695,0.1294,0.005,-0.31366282,-0.068888335,0
1.282,0.1294,0.005,-0.311666723,-0.0700954676,0
1.2945,0.1294,0.005,-0.308462081,-0.0706706501,0
1.307,0.1294,0.005,-0.303953281,-0.0706470418,0
1.3195,0.1294,0.005,-0.298035927,-0.0700505766,0
1.332,0.1294,0.005,-0.290596243,-0.0688991207,0
1.3445,0.1294,0.005,-0.281510123,-0.0672018915,0
1.357,0.1294,0.005,-0.27064186,-0.0649591143,0
1.3695,0.1294,0.005,-0.257842614,-0.062161891,0
1.382,0.1294,0.005,-0.242948656,-0.05879227,0
1.3945,0.1294,0.005,-0.225779401,-0.0548234934,0
1.407,0.1294,0.005,-0.206135233,-0.0502204849,0
1.4195,0.1294,0.005,-0.183795187,-0.044940244,0
1.432,0.1294,0.005,-0.158513961,-0.0389340602,0
1.4445,0.1294,0.005,-0.130020885,-0.0321412499,0
1.457,0.1294,0.005,-0.0980060295,-0.0245314059,0
1.4695,0.1294,0.005,-0.0621744571,-0.0158819745,0
1.482,0.1294,0.005,-0.0219216785,-0.00701810163,0
